nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
CRO,FW,29,1989,30.0,118,3.93,85,12,5,15,0,1,9,0.3,4,2,0,3,0,0
POR,"MF,FW",25,1993,12.0,45,3.74,35,3,2,2,2,1,5,0.42,5,0,0,0,0,0
SEN,FW,23,1995,9.9,43,4.35,31,0,6,2,4,0,5,0.51,3,0,2,0,0,0
GHA,DF,29,1988,29.7,87,2.93,73,3,5,2,3,1,2,0.07,2,0,0,0,0,0
ARG,"FW,MF",20,1997,14.9,41,2.75,27,1,1,8,4,0,3,0.2,2,0,0,1,0,0
CRO,MF,25,1992,29.4,144,4.89,117,19,2,1,1,4,6,0.2,3,2,0,0,0,1
ITA,FW,24,1993,28.3,137,4.84,92,26,7,7,4,1,12,0.42,9,1,1,0,1,0
URU,MF,26,1991,22.4,69,3.08,50,2,4,9,2,2,9,0.4,4,0,1,3,0,1
ARG,FW,25,1993,25.2,61,2.42,46,0,2,5,6,2,8,0.32,6,0,0,0,2,0
SVK,DF,23,1995,35.0,25,0.71,22,0,0,1,2,0,2,0.06,1,0,0,0,1,0
BRA,DF,33,1984,12.9,12,0.93,9,1,0,1,0,1,0,0.0,0,0,0,0,0,0
BEL,MF,30,1988,21.9,85,3.89,68,1,4,7,2,3,6,0.27,4,0,1,0,1,0
ITA,MF,24,1994,12.1,31,2.57,30,1,0,0,0,0,1,0.08,1,0,0,0,0,0
SVN,GK,34,1984,38.0,2,0.05,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
NED,DF,26,1992,28.0,16,0.57,14,0,0,2,0,0,1,0.04,1,0,0,0,0,0
FRA,"FW,MF",20,1998,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
CRO,DF,26,1992,8.1,27,3.34,16,11,0,0,0,0,3,0.37,2,1,0,0,0,0
BRA,DF,27,1991,26.5,77,2.9,69,2,2,1,2,1,6,0.23,5,0,0,0,0,1
ITA,DF,37,1981,2.9,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA,MF,31,1987,26.9,66,2.46,56,0,1,3,4,2,8,0.3,6,0,0,1,1,0
ITA,GK,28,1990,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POR,FW,33,1985,29.9,145,4.85,92,2,10,23,17,1,14,0.47,8,0,1,4,1,0
ITA,DF,24,1994,15.0,4,0.27,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
BRA,"FW,MF",27,1990,6.9,39,5.64,29,1,4,2,3,0,2,0.29,1,0,0,1,0,0
GER,MF,24,1994,20.1,46,2.29,35,1,4,2,2,2,2,0.1,2,0,0,0,0,0
ITA,"MF,FW",24,1994,16.4,86,5.25,52,15,6,8,5,0,5,0.31,3,2,0,0,0,0
ITA,DF,33,1984,22.1,28,1.27,25,0,0,2,1,0,2,0.09,2,0,0,0,0,0
CYP,MF,20,1998,0.7,2,3.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,18,2000,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POR,DF,24,1994,21.9,84,3.84,66,1,6,6,2,3,9,0.41,5,0,0,3,1,0
COL,"MF,DF",30,1988,13.6,63,4.65,52,0,2,3,4,2,4,0.3,3,0,0,0,1,0
ITA,DF,31,1987,27.5,24,0.87,22,0,1,1,0,0,2,0.07,2,0,0,0,0,0
ITA,DF,25,1993,6.7,22,3.29,17,0,2,3,0,0,2,0.3,1,0,0,1,0,0
ITA,MF,18,2000,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
CRO,FW,32,1986,22.4,56,2.5,46,0,0,5,4,1,10,0.45,7,0,0,1,1,1
URU,DF,31,1987,7.0,3,0.43,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,20,1998,1.0,3,2.93,2,1,0,0,0,0,1,0.98,1,0,0,0,0,0
ITA,DF,25,1992,19.4,38,1.96,31,0,1,2,3,1,3,0.15,2,0,0,0,1,0
ITA,GK,25,1992,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
MAR,DF,31,1987,5.0,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BIH,MF,28,1990,25.3,121,4.78,73,43,0,2,1,2,10,0.39,3,5,0,1,0,1
ITA,FW,18,2000,6.0,8,1.33,5,0,1,1,1,0,2,0.33,0,0,1,0,1,0
ITA,DF,17,2001,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ARG,"FW,MF",24,1993,23.7,115,4.84,70,20,12,4,9,0,15,0.63,10,0,2,1,2,0
URU,MF,21,1997,22.3,54,2.43,49,0,1,2,0,2,9,0.4,9,0,0,0,0,0
GER,MF,31,1987,7.8,13,1.66,12,0,0,1,0,0,2,0.25,1,0,0,1,0,0
ENG,FW,20,1998,0.2,1,4.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POL,GK,28,1990,28.0,3,0.11,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
MNE,DF,25,1992,23.5,47,2.0,41,1,2,1,2,0,3,0.13,3,0,0,0,0,0
ITA,MF,21,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ANG,DF,27,1991,12.7,9,0.71,7,0,2,0,0,0,0,0.0,0,0,0,0,0,0
POR,"MF,DF",19,1998,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,FW,28,1990,31.8,133,4.19,102,0,8,13,10,0,12,0.38,11,0,0,1,0,0
ITA,"MF,FW",23,1994,6.4,34,5.29,16,15,0,2,1,0,3,0.47,1,2,0,0,0,0
ECU,FW,29,1988,15.2,50,3.28,33,0,7,2,5,3,8,0.52,2,0,3,0,1,2
ITA,DF,30,1988,36.8,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0
ITA,GK,22,1996,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ARG,"FW,MF",23,1994,21.4,125,5.84,81,5,20,9,10,0,17,0.79,10,0,2,3,2,0
BEL,"DF,MF",24,1994,1.9,6,3.09,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,FW,18,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,31,1987,22.1,53,2.4,41,6,0,1,1,4,4,0.18,4,0,0,0,0,0
ESP,"MF,FW",25,1992,22.1,154,6.97,103,34,4,10,2,1,10,0.45,4,4,0,2,0,0
ITA,DF,21,1997,14.3,9,0.63,9,0,0,0,0,0,2,0.14,2,0,0,0,0,0
ITA,MF,33,1985,28.5,61,2.14,52,0,2,7,0,0,4,0.14,4,0,0,0,0,0
URU,DF,31,1987,3.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
CRO,MF,29,1989,12.7,32,2.52,26,2,1,0,2,1,2,0.16,1,0,1,0,0,0
ITA,DF,17,2001,0.4,1,2.37,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP,DF,25,1993,12.1,18,1.49,16,1,0,0,0,1,0,0.0,0,0,0,0,0,0
POR,"FW,DF",18,2000,0.5,2,3.91,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
DEN,DF,24,1994,3.6,16,4.42,14,0,0,0,0,2,2,0.55,2,0,0,0,0,0
ITA,DF,31,1987,8.6,19,2.2,16,3,0,0,0,0,2,0.23,2,0,0,0,0,0
BIH,"DF,FW",32,1986,32.5,121,3.73,106,5,4,2,2,2,6,0.18,4,0,1,1,0,0
SRB,MF,23,1995,26.6,115,4.32,92,3,3,13,3,1,8,0.3,8,0,0,0,0,0
BEL,GK,35,1983,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ALB,GK,23,1995,35.0,8,0.23,5,3,0,0,0,0,1,0.03,0,1,0,0,0,0
KVX,"MF,FW",25,1993,2.2,7,3.18,5,1,0,0,1,0,1,0.45,0,0,0,0,1,0
BRA,DF,23,1994,13.7,10,0.73,7,0,0,1,0,2,1,0.07,1,0,0,0,0,0
ROU,DF,31,1986,24.9,31,1.24,25,2,0,2,2,0,1,0.04,0,0,0,1,0,0
ITA,DF,23,1995,31.6,20,0.63,17,0,0,2,0,1,3,0.09,2,0,0,1,0,0
ITA,DF,24,1994,5.6,16,2.89,13,3,0,0,0,0,2,0.36,2,0,0,0,0,0
COL,DF,31,1986,11.4,6,0.53,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ITA,DF,21,1996,21.7,48,2.21,42,1,2,1,1,1,5,0.23,5,0,0,0,0,0
URU,"DF,MF",25,1993,7.2,16,2.22,15,0,0,1,0,0,1,0.14,1,0,0,0,0,0
ITA,"FW,DF",27,1991,11.7,37,3.16,25,0,5,3,3,1,3,0.26,2,0,0,1,0,0
CIV,MF,21,1996,33.5,112,3.34,99,2,4,5,0,2,6,0.18,6,0,0,0,0,0
ITA,MF,28,1989,7.2,36,5.01,28,1,2,4,1,0,3,0.42,3,0,0,0,0,0
ITA,GK,19,1999,34.3,8,0.23,6,2,0,0,0,0,1,0.03,1,0,0,0,0,0
ARG,FW,30,1987,14.2,43,3.03,33,0,4,5,1,0,3,0.21,2,0,1,0,0,0
TUR,"MF,FW",24,1994,32.0,161,5.02,118,23,4,10,4,2,13,0.41,8,2,0,2,1,0
ITA,DF,31,1986,14.5,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0
ITA,MF,22,1996,2.3,8,3.46,7,0,0,0,0,1,2,0.87,2,0,0,0,0,0
POL,FW,23,1995,15.3,36,2.36,22,0,2,5,7,0,3,0.2,0,0,0,1,2,0
ARG,MF,32,1986,12.4,27,2.18,21,2,0,1,1,2,2,0.16,2,0,0,0,0,0
BRA,MF,20,1997,9.4,26,2.78,19,0,2,1,3,1,6,0.64,3,0,1,1,1,0
ARG,DF,27,1990,29.0,20,0.69,18,0,0,1,1,0,1,0.03,0,0,0,0,1,0
ITA,FW,20,1998,16.2,30,1.85,28,0,1,1,0,0,2,0.12,2,0,0,0,0,0
ESP,GK,35,1982,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SUI,DF,25,1992,33.9,60,1.77,53,3,2,0,1,1,5,0.15,4,0,1,0,0,0
ESP,"FW,MF",23,1995,11.4,47,4.13,36,7,3,1,0,0,3,0.26,2,0,1,0,0,0
ESP,"FW,MF",24,1993,33.5,196,5.84,150,17,18,3,7,1,18,0.54,15,1,1,1,0,0
FRA,MF,23,1994,25.6,76,2.97,60,0,5,1,5,5,7,0.27,6,0,0,0,0,1
ALG,"MF,FW",21,1996,6.0,37,6.19,28,1,3,3,1,1,1,0.17,0,0,0,1,0,0
ITA,GK,21,1997,12.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,27,1991,29.1,88,3.03,75,0,7,2,2,2,10,0.34,9,0,1,0,0,0
GUI,MF,21,1997,7.3,21,2.86,16,0,2,1,0,2,1,0.14,1,0,0,0,0,0
GER,"MF,FW",24,1993,5.5,39,7.05,28,0,6,1,4,0,9,1.63,5,0,2,1,1,0
POL,FW,24,1994,26.6,70,2.63,56,0,1,9,2,2,6,0.23,4,0,0,1,1,0
COL,GK,29,1988,16.2,3,0.19,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BEL,FW,31,1987,25.0,122,4.88,87,12,9,6,5,3,15,0.6,9,2,1,2,1,0
ALB,DF,24,1994,23.4,38,1.62,35,1,1,0,0,1,3,0.13,3,0,0,0,0,0
ESP,MF,22,1996,22.1,128,5.78,107,0,12,4,1,4,9,0.41,5,0,3,0,0,1
ALG,DF,27,1991,12.8,48,3.74,35,11,1,1,0,0,5,0.39,3,2,0,0,0,0
ITA,"MF,FW",18,2000,0.1,2,22.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ESP,"MF,FW",31,1987,29.4,125,4.25,103,11,2,7,2,0,19,0.65,13,1,0,4,1,0
SEN,DF,27,1991,34.8,41,1.18,34,1,0,2,1,3,5,0.14,4,0,0,0,0,1
MAR,DF,27,1991,20.1,47,2.34,38,1,5,2,1,0,3,0.15,3,0,0,0,0,0
ITA,"FW,MF",27,1991,23.0,133,5.77,109,7,2,11,4,0,12,0.52,12,0,0,0,0,0
SVK,MF,31,1987,10.2,40,3.93,38,0,1,0,0,1,4,0.39,4,0,0,0,0,0
CRO,MF,23,1995,3.7,4,1.08,2,0,0,0,0,2,1,0.27,1,0,0,0,0,0
POR,DF,27,1991,15.7,60,3.81,55,2,1,0,2,0,4,0.25,4,0,0,0,0,0
SRB,DF,26,1991,15.3,18,1.18,17,0,0,0,0,1,1,0.07,1,0,0,0,0,0
GRE,GK,33,1985,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POL,MF,24,1994,31.9,133,4.16,119,4,2,5,2,1,9,0.28,8,0,0,1,0,0
ESP,DF,32,1985,19.0,20,1.05,20,0,0,0,0,0,2,0.11,2,0,0,0,0,0
ITA,DF,21,1996,8.1,9,1.11,8,0,0,0,0,1,3,0.37,3,0,0,0,0,0
ITA,"MF,FW",26,1992,7.8,40,5.11,30,4,1,4,0,1,7,0.89,6,0,0,1,0,0
ROU,DF,28,1989,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SEN,MF,19,1998,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,23,1995,5.1,5,0.97,4,0,0,0,1,0,2,0.39,2,0,0,0,0,0
ITA,DF,19,1999,18.8,4,0.21,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"MF,FW",22,1995,6.1,6,0.99,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0
CPV,"FW,MF",21,1997,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"FW,MF",24,1993,1.5,5,3.24,3,1,1,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,30,1988,29.1,47,1.62,35,2,1,2,4,3,4,0.14,3,0,1,0,0,0
ITA,FW,28,1989,7.8,9,1.16,5,0,1,1,2,0,1,0.13,0,0,0,0,1,0
POR,DF,36,1981,32.5,24,0.74,18,3,1,1,0,1,2,0.06,2,0,0,0,0,0
ITA,FW,31,1987,13.2,29,2.2,22,0,1,5,1,0,0,0.0,0,0,0,0,0,0
ITA,"DF,MF",20,1997,9.9,18,1.82,10,4,2,1,1,0,2,0.2,0,0,1,0,1,0
CHI,DF,21,1997,3.0,4,1.34,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
CIV,FW,31,1987,25.6,70,2.74,33,0,22,7,8,0,12,0.47,4,0,5,2,1,0
ITA,MF,35,1983,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,26,1992,1.0,1,1.0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
FRA,FW,30,1988,11.9,24,2.02,17,1,3,0,3,0,0,0.0,0,0,0,0,0,0
SVK,MF,31,1987,17.1,36,2.11,22,4,0,5,4,1,4,0.23,2,0,0,2,0,0
SVN,MF,23,1994,16.1,44,2.73,25,10,4,2,1,2,4,0.25,4,0,0,0,0,0
ITA,MF,33,1984,19.6,22,1.12,19,0,0,2,0,1,2,0.1,1,0,0,1,0,0
ITA,FW,30,1988,18.2,55,3.02,25,12,8,4,5,1,7,0.38,2,2,0,0,3,0
ITA,GK,27,1991,37.0,5,0.14,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"DF,MF",33,1985,10.2,11,1.07,7,3,0,0,1,0,0,0.0,0,0,0,0,0,0
ITA,DF,37,1980,13.1,21,1.6,18,1,0,0,1,1,1,0.08,1,0,0,0,0,0
ITA,MF,30,1988,16.2,34,2.1,18,13,1,1,0,1,7,0.43,4,2,0,0,0,1
ITA,"FW,MF",25,1993,7.2,25,3.49,15,2,1,2,5,0,1,0.14,0,0,0,0,1,0
URU,"FW,MF",19,1999,0.9,5,5.56,1,0,2,0,2,0,0,0.0,0,0,0,0,0,0
EQG,MF,21,1996,0.9,1,1.17,1,0,0,0,0,0,1,1.17,1,0,0,0,0,0
ITA,GK,32,1985,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SWE,DF,28,1990,33.8,37,1.09,30,2,0,3,1,1,7,0.21,4,2,0,1,0,0
ITA,FW,26,1991,21.8,37,1.7,24,0,5,4,3,1,4,0.18,0,0,0,3,1,0
ITA,DF,31,1987,37.2,22,0.59,17,3,0,1,1,0,0,0.0,0,0,0,0,0,0
SRB,DF,32,1985,32.3,114,3.53,70,30,3,5,4,2,9,0.28,6,1,1,0,0,1
ITA,"DF,FW",27,1991,24.2,94,3.88,67,15,2,5,3,2,10,0.41,8,2,0,0,0,0
CRO,MF,21,1997,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,GK,35,1983,11.0,3,0.27,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,23,1995,26.9,71,2.64,61,1,2,5,1,1,9,0.33,7,0,0,2,0,0
TUR,FW,21,1997,15.3,73,4.79,49,9,8,3,4,0,12,0.79,8,1,2,0,1,0
ITA,MF,35,1983,14.1,38,2.7,36,0,0,0,1,1,5,0.35,4,0,0,0,1,0
ITA,DF,27,1991,11.2,28,2.5,22,2,0,0,4,0,3,0.27,1,0,0,0,2,0
ARG,"FW,MF",30,1988,7.4,35,4.72,24,4,1,4,2,0,1,0.13,0,0,0,1,0,0
BIH,FW,32,1986,28.7,108,3.77,73,0,15,11,8,1,16,0.56,13,0,2,0,1,0
ARG,DF,31,1987,31.2,21,0.67,17,0,1,1,0,2,2,0.06,2,0,0,0,0,0
ESP,DF,31,1987,9.0,13,1.44,9,1,0,2,0,1,0,0.0,0,0,0,0,0,0
ARG,"MF,FW",29,1989,6.6,45,6.78,31,5,4,3,1,1,1,0.15,1,0,0,0,0,0
BRA,DF,27,1991,15.6,10,0.64,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0
NED,FW,19,1999,14.9,73,4.9,49,4,11,3,4,2,9,0.6,7,0,1,0,1,0
NED,MF,28,1990,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
GRE,DF,27,1991,25.8,15,0.58,9,3,0,2,0,1,4,0.15,1,2,0,1,0,0
ITA,MF,22,1996,20.2,98,4.84,53,30,5,3,6,1,6,0.3,3,2,0,0,1,0
ITA,DF,19,1999,1.8,3,1.67,3,0,0,0,0,0,1,0.56,1,0,0,0,0,0
ITA,"MF,FW",19,1999,19.6,63,3.21,39,0,7,9,6,2,6,0.31,4,0,0,1,1,0
CZE,"FW,MF",22,1996,14.6,34,2.33,23,0,3,6,2,0,5,0.34,1,0,1,1,2,0
NED,DF,23,1995,6.6,13,1.97,10,3,0,0,0,0,3,0.45,3,0,0,0,0,0
SWE,GK,28,1990,27.0,5,0.19,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"FW,MF",25,1992,23.4,90,3.85,70,1,8,9,2,0,12,0.51,8,0,1,1,2,0
FRA,MF,29,1988,29.1,58,1.99,51,1,1,3,0,2,2,0.07,2,0,0,0,0,0
SVN,FW,19,1999,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,FW,28,1990,9.6,10,1.04,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ITA,MF,21,1996,11.9,33,2.77,19,12,0,0,1,1,6,0.5,3,3,0,0,0,0
SEN,GK,24,1993,19.2,3,0.16,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,FW,23,1995,33.7,84,2.5,65,1,7,4,6,1,8,0.24,7,0,0,0,1,0
ITA,GK,32,1985,16.9,4,0.24,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,MF,30,1988,3.5,3,0.85,3,0,0,0,0,0,1,0.28,1,0,0,0,0,0
BRA,DF,34,1984,26.2,26,0.99,21,2,0,2,1,0,3,0.11,2,0,0,1,0,0
ITA,"DF,FW",23,1995,6.3,13,2.07,9,1,1,2,0,0,1,0.16,1,0,0,0,0,0
ITA,DF,23,1994,25.9,11,0.42,10,0,0,0,0,1,2,0.08,2,0,0,0,0,0
ITA,MF,22,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,GK,30,1988,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SVN,MF,29,1989,28.4,89,3.13,48,23,4,5,9,0,12,0.42,5,4,1,1,1,0
SUI,DF,31,1987,3.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,DF,22,1996,25.6,25,0.98,22,0,1,1,1,0,1,0.04,1,0,0,0,0,0
CRO,DF,22,1996,2.6,3,1.13,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA,"DF,MF",21,1996,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,DF,24,1993,31.5,110,3.49,89,3,8,2,7,1,15,0.48,11,1,1,1,1,0
MNE,"DF,MF",23,1995,0.6,6,10.0,4,1,0,0,1,0,1,1.67,0,0,0,0,1,0
ITA,MF,24,1993,13.6,30,2.21,23,0,1,2,4,0,2,0.15,2,0,0,0,0,0
ITA,FW,33,1984,23.7,64,2.7,46,0,3,6,7,2,5,0.21,3,0,1,0,1,0
ITA,MF,32,1986,7.4,37,4.99,19,13,1,1,2,1,2,0.27,0,1,0,1,0,0
ALG,DF,22,1996,32.8,80,2.44,59,4,4,7,3,3,3,0.09,0,1,1,1,0,0
ITA,MF,31,1987,20.5,74,3.62,50,18,0,1,4,1,8,0.39,4,4,0,0,0,0
ITA,FW,36,1981,10.8,17,1.57,12,0,0,0,5,0,4,0.37,1,0,0,0,3,0
ITA,MF,32,1986,30.5,68,2.23,57,0,3,2,3,3,3,0.1,3,0,0,0,0,0
POL,DF,32,1986,28.2,40,1.42,34,1,0,3,2,0,5,0.18,4,0,0,0,1,0
SRB,GK,21,1997,1.8,1,0.55,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"DF,FW",27,1990,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SWE,MF,29,1989,29.4,56,1.9,43,2,4,3,2,2,4,0.14,1,0,1,1,1,0
ITA,DF,24,1994,6.0,3,0.5,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
POL,DF,26,1992,24.4,33,1.35,31,1,0,0,1,0,4,0.16,4,0,0,0,0,0
POL,FW,21,1997,1.9,13,6.96,10,0,1,0,1,1,2,1.07,1,0,0,0,1,0
BEL,MF,24,1994,32.1,94,2.93,74,7,4,2,5,2,6,0.19,6,0,0,0,0,0
IDN,GK,21,1997,36.0,6,0.17,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,FW,35,1983,35.5,97,2.73,66,1,3,18,9,0,19,0.53,15,0,1,3,0,0
URU,MF,27,1990,17.5,61,3.48,40,14,3,1,3,0,8,0.46,4,2,1,0,1,0
ITA,"FW,MF",25,1993,11.5,33,2.88,18,6,4,0,3,2,5,0.44,3,0,1,0,1,0
MTQ,"FW,MF",27,1991,26.0,82,3.15,64,1,4,5,6,2,10,0.38,7,0,2,0,1,0
ITA,DF,26,1991,16.9,38,2.25,30,2,3,1,1,1,6,0.36,6,0,0,0,0,0
CZE,MF,22,1996,10.7,24,2.25,19,1,0,4,0,0,2,0.19,1,0,0,1,0,0
DEN,DF,22,1996,32.0,27,0.84,23,1,0,2,0,1,3,0.09,3,0,0,0,0,0
BRA,DF,21,1996,2.0,4,1.96,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
POL,MF,23,1995,27.9,75,2.69,60,0,2,3,6,4,9,0.32,8,0,0,0,1,0
ITA,DF,28,1990,18.4,13,0.71,11,0,0,1,1,0,3,0.16,3,0,0,0,0,0
ITA,FW,26,1991,9.0,31,3.44,22,5,1,0,2,1,4,0.44,3,0,0,0,1,0
ITA,"MF,FW",30,1987,0.6,1,1.64,0,0,0,0,1,0,1,1.64,0,0,0,0,1,0
ITA,DF,23,1994,32.6,58,1.78,50,5,1,1,0,1,7,0.21,6,0,0,1,0,0
GAM,DF,25,1992,19.6,7,0.36,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
BRA,GK,28,1990,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,26,1991,10.1,51,5.08,40,2,5,1,2,1,8,0.8,7,0,1,0,0,0
ENG,MF,20,1998,6.7,12,1.81,9,1,0,1,0,1,0,0.0,0,0,0,0,0,0
PAR,MF,34,1984,8.7,18,2.06,16,2,0,0,0,0,3,0.34,3,0,0,0,0,0
ITA,FW,33,1984,6.7,19,2.84,13,0,2,3,0,1,1,0.15,0,0,0,1,0,0
GHA,MF,25,1993,20.5,63,3.07,56,0,4,3,0,0,8,0.39,6,0,1,1,0,0
ITA,GK,31,1987,35.7,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,"MF,FW",20,1998,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,DF,24,1994,1.2,4,3.27,2,0,1,1,0,0,1,0.82,1,0,0,0,0,0
ITA,"FW,MF",23,1994,31.9,144,4.51,96,13,12,11,9,3,13,0.41,8,3,0,1,1,0
ITA,"FW,MF",19,1999,1.9,3,1.54,3,0,0,0,0,0,1,0.51,1,0,0,0,0,0
ITA,"FW,MF",24,1994,11.9,28,2.35,25,0,0,0,3,0,6,0.5,5,0,0,0,1,0
ITA,DF,34,1984,15.1,5,0.33,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
SRB,"FW,MF",26,1992,13.9,52,3.74,37,3,2,2,5,3,2,0.14,1,0,0,0,1,0
ITA,MF,33,1984,20.7,40,1.94,38,1,1,0,0,0,2,0.1,2,0,0,0,0,0
ITA,DF,18,2000,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,DF,26,1992,31.0,26,0.84,22,0,0,2,1,1,0,0.0,0,0,0,0,0,0
ITA,DF,22,1995,16.8,6,0.36,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ITA,GK,37,1981,2.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
DEN,FW,19,1999,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
CIV,"FW,MF",21,1997,16.0,41,2.56,24,0,9,3,5,0,4,0.25,2,0,1,1,0,0
GHA,FW,31,1987,10.4,29,2.78,26,0,0,1,2,0,4,0.38,3,0,0,1,0,0
SEN,FW,25,1993,16.5,37,2.24,24,0,2,9,2,0,10,0.6,5,0,0,4,1,0
ITA,FW,21,1997,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA,MF,20,1998,20.5,86,4.19,64,9,2,6,3,2,5,0.24,2,2,0,1,0,0
ITA,MF,25,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
BRA,DF,22,1995,16.8,17,1.01,15,0,0,1,1,0,1,0.06,0,0,0,0,1,0
URU,DF,22,1995,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
MAR,MF,26,1991,22.3,57,2.55,45,3,2,7,0,0,2,0.09,2,0,0,0,0,0
TUR,DF,20,1998,14.0,7,0.5,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
