nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
ENG,DF,31,1984,21.7,,,,,,,,,,,,,,,,
IRL,MF,32,1984,25.3,,,,,,,,,,,,,,,,
NED,"FW,MF",30,1986,4.3,,,,,,,,,,,,,,,,
ENG,GK,23,1993,5.0,,,,,,,,,,,,,,,,
WAL,MF,26,1990,32.6,,,,,,,,,,,,,,,,
IRL,"FW,MF",32,1983,14.5,,,,,,,,,,,,,,,,
BEL,"FW,MF",18,1997,0.5,,,,,,,,,,,,,,,,
ENG,GK,33,1983,28.0,,,,,,,,,,,,,,,,
SEN,"FW,MF",28,1987,15.4,,,,,,,,,,,,,,,,
ESP,"DF,MF",24,1992,7.2,,,,,,,,,,,,,,,,
AUT,"FW,MF",27,1989,30.2,,,,,,,,,,,,,,,,
ENG,FW,35,1981,14.9,,,,,,,,,,,,,,,,
SCO,DF,31,1985,13.0,,,,,,,,,,,,,,,,
GER,DF,27,1989,2.0,,,,,,,,,,,,,,,,
EGY,MF,19,1997,9.5,,,,,,,,,,,,,,,,
ENG,DF,28,1987,35.0,,,,,,,,,,,,,,,,
BDI,"FW,MF",22,1993,8.0,,,,,,,,,,,,,,,,
IRL,GK,40,1976,5.0,,,,,,,,,,,,,,,,
CIV,FW,27,1988,7.6,,,,,,,,,,,,,,,,
SUI,"FW,MF",24,1991,18.9,,,,,,,,,,,,,,,,
BEL,"FW,MF",21,1995,18.1,,,,,,,,,,,,,,,,
ENG,DF,29,1987,25.2,,,,,,,,,,,,,,,,
CRC,"DF,MF",26,1990,9.4,,,,,,,,,,,,,,,,
IRL,MF,28,1987,7.1,,,,,,,,,,,,,,,,
GAB,"DF,MF",22,1994,28.0,,,,,,,,,,,,,,,,
SCO,"DF,MF",21,1994,6.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",22,1994,11.4,,,,,,,,,,,,,,,,
ITA,"FW,MF",25,1991,19.3,,,,,,,,,,,,,,,,
ENG,"FW,MF",21,1994,2.6,,,,,,,,,,,,,,,,
ENG,"DF,MF",25,1991,16.6,,,,,,,,,,,,,,,,
GER,"DF,MF",25,1990,4.8,,,,,,,,,,,,,,,,
BEL,DF,21,1995,20.9,,,,,,,,,,,,,,,,
ESP,DF,22,1994,15.9,,,,,,,,,,,,,,,,
NED,"FW,MF",28,1987,0.8,,,,,,,,,,,,,,,,
ENG,FW,33,1982,36.9,,,,,,,,,,,,,,,,
SWE,"FW,MF",17,1999,0.1,,,,,,,,,,,,,,,,
IRL,"DF,MF",35,1981,24.0,,,,,,,,,,,,,,,,
ENG,DF,33,1982,1.4,,,,,,,,,,,,,,,,
ENG,GK,22,1994,29.0,,,,,,,,,,,,,,,,
