nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP,"FW,MF",23,1993,35,2830,81,82.7,31.4,33,,20,2,,1,1.74,47,31,16,0.51,0.81,42.7,30.3,12.4,0.39,0.1
POR,FW,19,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
ALG,FW,20,1996,7,96,14,2.8,1.1,0,,0,7,,28,1.43,1,0,1,0.94,-0.34,1.5,0.2,1.2,1.18,0.13
BRA,MF,26,1991,38,2850,75,83.3,31.7,32,,19,6,,0,2.39,62,21,41,1.29,0.19,57.8,21.9,35.9,1.13,0.48
GUI,MF,20,1997,18,655,36,19.2,7.3,5,,5,13,,20,2.78,19,8,11,1.51,0.31,14.3,6.0,8.3,1.14,0.11
POL,"FW,MF",23,1994,15,448,30,13.1,5.0,3,,0,12,,3,2.07,18,8,10,2.01,0.86,11.9,4.7,7.2,1.45,0.46
ITA,DF,35,1982,13,641,49,18.7,7.1,6,,6,7,,25,2.46,14,4,10,1.4,0.17,12.0,3.8,8.1,1.14,0.1
BEL,FW,30,1987,38,3002,79,87.8,33.4,35,,21,3,,0,2.39,63,23,40,1.2,-0.52,58.1,22.8,35.4,1.06,0.05
ALB,DF,23,1994,35,3125,89,91.4,34.7,35,,33,0,,2,2.34,66,25,41,1.18,-0.95,60.2,24.0,36.2,1.04,-0.11
ITA,"FW,MF",32,1985,4,64,16,1.9,0.7,0,,0,4,,18,3.0,2,1,1,1.41,0.15,2.2,1.2,1.0,1.46,0.41
ALG,DF,26,1991,11,985,90,28.8,10.9,11,,10,0,,3,2.82,32,8,24,2.19,1.31,22.7,6.3,16.4,1.49,0.62
CRO,"DF,FW",28,1989,0,,,,,0,,0,0,,13,,,,,,,,,,,
ITA,MF,25,1991,33,2650,80,77.5,29.4,33,,18,0,,4,2.3,56,17,39,1.32,0.27,50.8,18.0,32.8,1.11,0.26
ESP,FW,30,1987,38,3238,85,94.7,36.0,38,,22,0,,0,2.39,73,26,47,1.31,0.81,63.8,23.6,40.2,1.12,1.19
SEN,DF,26,1991,35,3066,88,89.6,34.1,35,,34,0,,1,2.4,68,21,47,1.38,1.13,60.9,20.9,40.0,1.17,1.16
BRA,MF,18,1998,0,,,,,0,,0,0,,11,,,,,,,,,,,
ITA,FW,26,1991,37,3090,84,90.4,34.3,36,,24,1,,0,2.43,72,27,45,1.31,0.49,61.2,25.3,35.8,1.04,-0.12
ITA,DF,27,1990,4,351,88,10.3,3.9,3,,3,1,,18,2.25,10,7,3,0.77,-0.55,7.7,5.9,1.8,0.46,-0.66
ITA,GK,26,1991,1,90,90,2.6,1.0,1,,1,0,,37,1.0,0,0,0,0.0,-1.3,0.7,0.5,0.2,0.19,-0.89
SVK,MF,30,1987,38,2371,62,69.3,26.3,32,,7,6,,0,2.39,52,19,33,1.25,-0.03,46.8,17.9,28.9,1.09,0.13
CRO,"MF,FW",22,1995,28,289,10,8.5,3.2,0,,0,28,,10,2.71,5,4,1,0.31,-1.04,5.8,2.8,2.9,0.94,-0.13
GHA,DF,18,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
POR,DF,26,1991,25,2087,83,61.0,23.2,24,,20,1,,11,2.24,42,20,22,0.95,-0.81,39.5,19.0,20.5,0.88,-0.44
SRB,DF,25,1991,2,96,48,2.8,1.1,1,,1,1,,18,3.0,3,2,1,0.94,-0.34,1.8,0.3,1.5,1.44,0.4
ESP,GK,34,1982,37,3330,90,97.4,37.0,37,,37,0,,1,2.43,77,29,48,1.3,1.3,66.4,26.5,39.9,1.08,0.89
POL,"MF,FW",23,1994,36,1667,46,48.7,18.5,14,,6,22,,2,2.36,39,17,22,1.19,-0.15,27.9,15.3,12.6,0.68,-0.74
BRA,GK,27,1990,0,,,,,0,,0,0,,38,,,,,,,,,,,
ESP,DF,31,1985,31,2742,88,80.2,30.5,30,,29,1,,5,2.26,58,21,37,1.21,-0.25,52.8,21.4,31.4,1.03,-0.11
ROU,DF,27,1989,7,582,83,17.0,6.5,7,,6,0,,21,2.71,15,7,8,1.24,-0.03,11.0,5.5,5.5,0.85,-0.25
FRA,"FW,MF",21,1996,0,,,,,0,,0,0,,15,,,,,,,,,,,
SRB,DF,31,1985,35,3060,87,89.5,34.0,34,,32,1,,2,1.94,55,25,30,0.88,0.13,56.0,34.4,21.6,0.64,-0.51
ITA,DF,26,1991,32,2387,75,69.8,26.5,26,,20,6,,5,2.09,45,19,26,0.98,0.37,45.2,25.6,19.6,0.74,0.16
ITA,FW,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
BRA,GK,24,1992,37,3330,90,97.4,37.0,37,,37,0,,0,2.0,60,28,32,0.86,-0.14,62.2,36.1,26.2,0.71,0.7
ITA,MF,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,GK,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
ROU,GK,39,1978,0,,,,,0,,0,0,,36,,,,,,,,,,,
BRA,DF,27,1990,18,1155,64,33.8,12.8,13,,9,5,,15,2.0,18,8,10,0.78,-0.13,17.7,11.9,5.9,0.46,-0.35
TUR,FW,20,1997,26,1249,48,36.5,13.9,15,,0,11,,10,1.92,24,8,16,1.15,0.45,26.6,11.4,15.1,1.09,0.63
ITA,MF,34,1983,22,1829,83,53.5,20.3,21,,14,1,,9,2.14,31,10,21,1.03,0.35,28.6,18.7,9.9,0.49,-0.44
ITA,DF,15,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ARG,"FW,MF",29,1988,25,1609,64,47.0,17.9,17,,10,8,,3,1.96,28,17,11,0.62,-0.48,27.8,18.2,9.7,0.54,-0.28
BIH,FW,31,1986,36,3018,84,88.2,33.5,33,,29,3,,1,1.97,55,23,32,0.95,0.73,56.3,33.6,22.7,0.68,-0.1
UGA,DF,21,1996,2,83,42,2.4,0.9,1,,0,1,,14,3.0,1,0,1,1.08,0.22,1.2,0.5,0.6,0.68,-0.01
ITA,DF,22,1994,1,16,16,0.5,0.2,0,,0,1,,11,3.0,0,0,0,0.0,-0.87,0.8,0.0,0.8,4.52,3.85
ARG,DF,30,1987,34,2922,86,85.4,32.5,32,,32,2,,2,2.0,53,25,28,0.86,-0.04,54.1,31.9,22.2,0.68,-0.03
BRA,"MF,FW",20,1997,24,909,38,26.6,10.1,8,,2,16,,14,2.42,20,8,12,1.19,0.44,17.1,8.6,8.5,0.84,0.21
MTQ,"FW,MF",26,1991,15,485,32,14.2,5.4,5,,0,10,,6,1.8,11,8,3,0.56,-0.36,10.9,8.2,2.6,0.49,-0.23
MEX,DF,29,1988,5,230,46,6.7,2.6,2,,2,3,,17,3.0,2,1,1,0.39,-0.51,4.6,1.8,2.8,1.1,0.44
ARG,DF,23,1994,2,112,56,3.3,1.2,1,,1,1,,11,3.0,3,0,3,2.41,1.59,1.4,0.9,0.5,0.37,-0.33
BRA,DF,26,1991,22,1658,75,48.5,18.4,18,,17,4,,15,1.91,23,12,11,0.6,-0.53,28.2,17.2,11.0,0.59,-0.18
NED,MF,27,1990,32,2258,71,66.0,25.1,26,,18,6,,3,2.0,40,22,18,0.72,-0.44,42.2,28.0,14.2,0.57,-0.36
GRE,DF,26,1991,29,2338,81,68.4,26.0,27,,21,2,,6,1.93,46,25,21,0.81,-0.19,46.4,28.6,17.8,0.68,-0.01
BRA,DF,30,1986,0,,,,,0,,0,0,,15,,,,,,,,,,,
ITA,MF,21,1996,28,1797,64,52.5,20.0,22,,7,6,,8,2.18,32,13,19,0.95,0.18,34.7,18.3,16.3,0.82,0.27
ITA,DF,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,DF,18,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,
ITA,FW,18,1998,1,1,1,0.0,0.0,0,,0,1,,1,0.0,0,0,0,0.0,-0.87,0.1,0.2,-0.1,-9.97,-10.66
FRA,MF,28,1989,16,1096,69,32.0,12.2,12,,11,4,,15,2.25,23,9,14,1.15,0.41,22.9,10.8,12.1,0.99,0.45
ITA,FW,18,1999,2,31,16,0.9,0.3,0,,0,2,,14,0.5,1,1,0,0.0,-0.88,1.1,1.2,-0.2,-0.49,-1.18
NGA,DF,19,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,
CZE,"FW,MF",21,1996,22,992,45,29.0,11.0,10,,5,12,,6,1.73,14,4,10,0.91,0.05,19.1,8.1,11.0,1.0,0.44
BEL,MF,29,1988,31,2613,84,76.4,29.0,31,,23,0,,2,1.9,42,20,22,0.76,-0.47,46.8,29.6,17.2,0.59,-0.41
NED,DF,22,1995,1,81,81,2.4,0.9,1,,0,0,,3,3.0,1,0,1,1.11,0.25,2.1,0.4,1.8,1.96,1.3
ITA,DF,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,FW,24,1992,33,2155,65,63.0,23.9,25,,9,8,,3,2.12,40,20,20,0.84,-0.09,40.5,21.7,18.8,0.79,0.26
POL,GK,26,1991,1,90,90,2.6,1.0,1,,1,0,,37,3.0,1,0,1,1.0,0.14,1.2,1.2,0.0,0.01,-0.7
ITA,MF,22,1995,28,2253,80,65.9,25.0,26,,17,2,,3,1.04,30,35,-5,-0.2,0.96,25.9,36.8,-10.9,-0.43,0.42
ITA,FW,27,1990,36,2184,61,63.9,24.3,25,,7,11,,2,0.94,28,42,-14,-0.58,-0.14,26.2,38.1,-11.9,-0.49,0.24
ITA,MF,21,1995,0,,,,,0,,0,0,,19,,,,,,,,,,,
ITA,GK,20,1997,13,1158,89,33.9,12.9,13,,12,0,,6,1.0,8,16,-8,-0.62,-0.14,7.5,20.1,-12.6,-0.98,-0.61
SEN,GK,23,1993,26,2261,87,66.1,25.1,25,,24,1,,12,0.96,31,43,-12,-0.48,0.14,28.2,37.6,-9.3,-0.37,0.61
POL,DF,26,1991,22,1725,78,50.4,19.2,20,,18,2,,9,0.95,21,39,-18,-0.94,-0.83,18.7,29.8,-11.1,-0.58,0.0
SEN,"DF,MF",32,1985,5,95,19,2.8,1.1,1,,0,4,,10,1.0,0,3,-3,-2.84,-2.38,0.1,1.6,-1.5,-1.44,-0.88
ITA,DF,29,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,"MF,DF",34,1983,12,390,33,11.4,4.3,3,,2,9,,20,1.08,4,7,-3,-0.69,-0.19,2.7,6.6,-3.9,-0.93,-0.4
BRA,MF,29,1988,11,642,58,18.8,7.1,7,,6,4,,5,1.27,7,9,-2,-0.28,0.3,5.3,12.7,-7.5,-1.04,-0.57
ITA,DF,20,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA,"FW,DF",20,1997,11,176,16,5.1,2.0,2,,0,9,,25,0.45,2,3,-1,-0.51,0.02,2.2,3.4,-1.1,-0.58,-0.01
ITA,DF,22,1995,29,2204,76,64.4,24.5,24,,17,5,,2,1.17,31,40,-9,-0.37,0.45,28.1,33.9,-5.8,-0.24,0.92
ITA,MF,25,1992,29,2480,86,72.5,27.6,29,,21,0,,5,0.9,27,44,-17,-0.62,-0.33,27.1,40.3,-13.3,-0.48,0.35
BRA,DF,33,1984,30,2573,86,75.2,28.6,30,,27,0,,5,0.87,25,41,-16,-0.56,-0.13,23.5,42.0,-18.5,-0.65,-0.28
ITA,DF,22,1995,23,1473,64,43.1,16.4,14,,8,9,,5,0.91,15,21,-6,-0.37,0.28,11.9,25.2,-13.4,-0.82,-0.42
ITA,DF,22,1994,34,2850,84,83.3,31.7,34,,27,0,,1,1.09,32,43,-11,-0.35,1.07,31.6,44.8,-13.2,-0.42,0.96
BRA,FW,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,GK,21,1996,1,1,1,0.0,0.0,0,,0,1,,37,3.0,0,0,0,0.0,0.53,0.0,0.0,0.0,0.0,0.58
ITA,DF,18,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,GK,29,1988,0,,,,,0,,0,0,,17,,,,,,,,,,,
SVN,"MF,FW",28,1989,16,1440,90,42.1,16.0,16,,16,0,,0,1.31,17,20,-3,-0.19,0.59,13.2,20.1,-6.9,-0.43,0.26
CRO,DF,21,1996,6,318,53,9.3,3.5,3,,3,3,,6,1.67,6,9,-3,-0.85,-0.36,4.6,5.6,-0.9,-0.26,0.35
ITA,MF,29,1988,17,934,55,27.3,10.4,10,,3,7,,3,0.76,7,18,-11,-1.06,-0.73,7.6,16.6,-8.9,-0.86,-0.39
ITA,MF,25,1992,11,488,44,14.3,5.4,4,,2,7,,6,0.55,6,13,-7,-1.29,-0.89,6.8,11.4,-4.7,-0.86,-0.33
ITA,GK,17,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA,DF,23,1993,36,3116,87,91.1,34.6,36,,31,0,,0,0.97,33,55,-22,-0.64,-1.23,31.8,53.0,-21.2,-0.61,-0.38
ITA,FW,35,1982,15,773,52,22.6,8.6,9,,4,6,,2,0.73,8,15,-7,-0.82,-0.37,6.8,11.4,-4.6,-0.53,0.06
GRE,DF,24,1992,4,170,43,5.0,1.9,2,,0,2,,9,0.5,1,5,-4,-2.12,-1.67,1.2,3.4,-2.2,-1.18,-0.63
ITA,"MF,FW",19,1997,2,98,49,2.9,1.1,1,,1,1,,33,1.0,0,0,0,0.0,0.54,0.5,2.3,-1.7,-1.62,-1.07
ITA,DF,29,1988,5,385,77,11.3,4.3,4,,3,1,,16,1.2,5,8,-3,-0.7,-0.2,6.0,8.9,-2.9,-0.68,-0.11
ITA,FW,32,1984,33,2571,78,75.2,28.6,28,,21,5,,2,1.09,33,40,-7,-0.25,1.13,27.2,42.4,-15.2,-0.53,0.19
GUI,DF,23,1994,0,,,,,0,,0,0,,24,,,,,,,,,,,
ITA,MF,30,1987,31,1990,64,58.2,22.1,22,,14,9,,3,0.94,22,37,-15,-0.68,-0.36,21.9,35.9,-14.0,-0.63,-0.13
ITA,MF,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
BRA,DF,19,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,MF,16,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
FIN,DF,23,1994,7,541,77,15.8,6.0,6,,3,1,,22,0.57,5,11,-6,-1.0,-0.56,4.7,9.5,-4.8,-0.8,-0.27
ITA,FW,35,1981,20,883,44,25.8,9.8,9,,4,11,,7,1.25,9,14,-5,-0.51,0.02,9.7,15.2,-5.5,-0.56,0.02
POL,DF,31,1986,15,1350,90,39.5,15.0,15,,15,0,,0,1.33,15,15,0,0.0,0.87,11.5,20.4,-8.9,-0.59,-0.03
ITA,MF,17,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,
ITA,GK,24,1992,0,,,,,0,,0,0,,37,,,,,,,,,,,
POL,DF,25,1992,31,2480,80,72.5,27.6,28,,24,3,,4,1.45,37,39,-2,-0.07,0.12,36.7,45.9,-9.3,-0.34,-0.57
ITA,GK,36,1981,9,810,90,23.7,9.0,9,,9,0,,13,1.89,18,12,6,0.67,1.01,13.9,14.6,-0.6,-0.07,0.14
BIH,DF,29,1988,1,90,90,2.6,1.0,1,,1,0,,0,3.0,2,1,1,1.0,1.14,2.7,0.9,1.8,1.79,2.02
POL,FW,20,1997,22,823,37,24.1,9.1,6,,3,16,,13,1.18,14,19,-5,-0.55,-0.58,12.4,16.2,-3.8,-0.42,-0.32
BEL,MF,23,1994,32,2657,83,77.7,29.5,31,,22,1,,2,1.38,43,44,-1,-0.03,0.32,41.3,45.6,-4.4,-0.15,0.14
BRA,DF,25,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
COL,FW,26,1991,31,2108,68,61.6,23.4,24,,13,7,,1,1.35,36,38,-2,-0.09,0.05,33.4,37.9,-4.4,-0.19,-0.03
SVK,MF,22,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,DF,14,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA,GK,31,1985,27,2430,90,71.1,27.0,27,,27,0,,1,1.37,37,43,-6,-0.22,-0.4,38.2,42.7,-4.5,-0.17,0.04
ITA,FW,34,1983,35,2719,78,79.5,30.2,33,,21,2,,1,1.37,50,41,9,0.3,1.97,44.7,44.7,0.0,0.0,0.87
ITA,FW,20,1997,1,28,28,0.8,0.3,0,,0,1,,0,3.0,0,0,0,0.0,0.11,0.8,0.2,0.7,2.18,2.38
SRB,MF,25,1992,1,7,7,0.2,0.1,0,,0,1,,8,3.0,0,0,0,0.0,0.11,0.1,0.0,0.0,0.43,0.61
URU,MF,26,1990,37,2214,60,64.7,24.6,28,,6,9,,0,1.38,33,42,-9,-0.37,-0.74,31.6,41.6,-10.1,-0.41,-0.65
HUN,GK,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA,DF,25,1992,30,2645,88,77.3,29.4,29,,29,1,,8,1.43,41,48,-7,-0.24,-0.59,38.9,50.0,-11.2,-0.38,-0.89
ITA,"FW,MF",24,1993,34,1809,53,52.9,20.1,19,,5,15,,3,1.38,25,28,-3,-0.15,-0.09,28.8,30.4,-1.5,-0.08,0.22
CRO,DF,30,1987,17,1251,74,36.6,13.9,16,,10,1,,15,1.71,26,20,6,0.43,0.85,18.8,23.2,-4.5,-0.32,-0.23
ITA,DF,25,1991,13,992,76,29.0,11.0,12,,7,1,,20,1.54,21,16,5,0.45,0.79,18.0,12.9,5.1,0.47,0.91
DEN,DF,21,1996,7,546,78,16.0,6.1,6,,6,1,,25,1.29,7,13,-6,-0.99,-1.05,6.5,9.0,-2.5,-0.41,-0.27
POL,MF,22,1995,29,2139,74,62.5,23.8,21,,18,8,,3,1.62,40,31,9,0.38,1.29,35.6,36.3,-0.7,-0.03,0.39
ITA,MF,22,1995,6,214,36,6.3,2.4,2,,1,4,,30,2.0,4,5,-1,-0.42,-0.34,3.3,3.7,-0.4,-0.16,0.01
URU,MF,21,1996,36,3180,88,93.0,35.3,36,,31,0,,1,1.42,51,53,-2,-0.06,0.69,49.9,56.0,-6.1,-0.17,0.07
ARG,DF,32,1984,34,3060,90,89.5,34.0,34,,34,0,,4,1.5,53,50,3,0.09,1.84,50.0,53.4,-3.4,-0.1,0.75
FRA,DF,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
SVK,MF,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA,DF,22,1994,20,1449,72,42.4,16.1,16,,13,4,,12,1.2,19,28,-9,-0.56,-0.79,23.0,26.2,-3.2,-0.2,-0.03
MNE,"FW,MF",17,1999,1,6,6,0.2,0.1,0,,0,1,,4,0.0,0,0,0,0.0,0.11,0.0,0.0,0.0,-0.23,-0.05
ARG,MF,29,1988,12,267,22,7.8,3.0,2,,0,10,,21,1.83,5,5,0,0.0,0.11,4.1,4.3,-0.2,-0.06,0.13
LTU,GK,18,1999,0,,,,,0,,0,0,,9,,,,,,,,,,,
ITA,MF,23,1994,18,360,20,10.5,4.0,2,,1,16,,18,1.44,5,11,-6,-1.5,-1.56,6.4,7.9,-1.4,-0.36,-0.2
ITA,DF,26,1990,14,1077,77,31.5,12.0,10,,9,4,,24,1.29,16,19,-3,-0.25,-0.21,17.7,16.1,1.6,0.13,0.45
SVN,GK,27,1990,2,180,90,5.3,2.0,2,,2,0,,11,0.0,1,5,-4,-2.0,-2.0,1.3,3.0,-1.7,-0.84,-0.7
PAR,MF,33,1984,28,1965,70,57.5,21.8,24,,13,4,,5,1.32,30,42,-12,-0.55,-1.04,29.2,36.2,-7.0,-0.32,-0.33
ITA,FW,32,1984,23,914,40,26.7,10.2,7,,4,16,,13,0.91,7,20,-13,-1.28,-0.67,16.0,16.8,-0.9,-0.09,-0.03
GHA,MF,24,1993,26,1947,75,56.9,21.6,23,,12,3,,6,1.27,14,30,-16,-0.74,0.12,28.1,26.2,2.0,0.09,0.37
ITA,GK,30,1987,37,3316,90,97.0,36.8,37,,36,0,,1,1.16,29,58,-29,-0.79,0.08,45.0,47.5,-2.5,-0.07,0.04
ITA,"FW,MF",27,1990,30,825,28,24.1,9.2,7,,0,23,,7,1.17,7,23,-16,-1.75,-1.26,11.4,12.8,-1.5,-0.16,-0.12
ITA,"DF,FW",19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,0.2,15.9,16.7,-0.8,-0.06,0.02
ITA,DF,23,1994,8,421,53,12.3,4.7,5,,4,3,,10,2.25,8,6,2,0.43,1.39,4.3,5.3,-1.1,-0.23,-0.18
ITA,MF,34,1983,7,206,29,6.0,2.3,2,,0,5,,25,0.86,1,5,-4,-1.75,-1.02,2.9,5.0,-2.1,-0.92,-0.9
ITA,MF,17,1999,0,,,,,0,,0,0,,18,,,,,,,,,,,
ITA,FW,26,1991,20,1314,66,38.4,14.6,15,,6,5,,2,0.95,11,19,-8,-0.55,0.39,16.6,17.1,-0.5,-0.03,0.06
ITA,FW,22,1994,31,2296,74,67.1,25.5,29,,12,2,,0,1.13,17,37,-20,-0.78,0.02,30.1,30.6,-0.5,-0.02,0.14
ITA,DF,23,1993,13,1153,89,33.7,12.8,13,,10,0,,8,1.31,10,14,-4,-0.31,0.72,16.4,14.3,2.0,0.16,0.34
ITA,DF,33,1984,31,2594,84,75.8,28.8,28,,26,3,,4,1.1,22,41,-19,-0.66,0.54,36.6,35.7,0.9,0.03,0.4
ITA,"FW,MF",23,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA,DF,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,46.3,48.9,-2.6,-0.07,
ITA,MF,20,1997,10,458,46,13.4,5.1,5,,3,5,,25,1.4,7,10,-3,-0.59,0.23,4.3,8.0,-3.6,-0.72,-0.75
ITA,MF,32,1984,32,2494,78,72.9,27.7,30,,18,2,,3,1.13,17,39,-22,-0.79,-0.02,33.7,32.4,1.4,0.05,0.43
ITA,GK,36,1981,2,104,52,3.0,1.2,1,,1,1,,34,0.5,0,1,-1,-0.87,-0.08,1.3,1.4,-0.1,-0.1,-0.04
ITA,"FW,MF",18,1999,3,23,8,0.7,0.3,0,,0,3,,15,0.0,0,0,0,0.0,0.79,0.9,0.3,0.6,2.3,2.39
SEN,FW,24,1993,13,750,58,21.9,8.3,8,,4,5,,3,1.23,7,16,-9,-1.08,-0.37,9.2,9.1,0.1,0.02,0.11
ITA,GK,19,1998,0,,,,,0,,0,0,,24,,,,,,,,,,,
ITA,MF,21,1995,20,1017,51,29.7,11.3,10,,5,10,,18,0.9,11,23,-12,-1.06,-0.39,12.4,16.6,-4.1,-0.37,-0.42
ITA,DF,19,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
ITA,DF,32,1985,9,739,82,21.6,8.2,9,,6,0,,11,0.78,4,12,-8,-0.97,-0.24,10.6,11.3,-0.7,-0.08,-0.02
ITA,FW,23,1993,36,2812,78,82.2,31.2,33,,15,3,,2,1.19,23,49,-26,-0.83,-0.24,39.0,39.8,-0.8,-0.03,0.24
URU,DF,21,1995,8,701,88,20.5,7.8,8,,6,0,,9,1.63,7,14,-7,-0.9,-0.14,6.7,10.0,-3.3,-0.42,-0.45
ITA,"MF,FW",18,1998,3,43,14,1.3,0.5,0,,0,3,,23,0.0,0,0,0,0.0,0.8,0.1,0.6,-0.5,-1.05,-1.0
ITA,DF,36,1981,19,1443,76,42.2,16.0,16,,16,3,,0,1.11,9,28,-19,-1.19,-0.68,20.3,23.9,-3.6,-0.22,-0.27
ITA,FW,25,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP,"DF,FW",19,1997,24,2025,84,59.2,22.5,22,,22,2,,6,1.0,17,37,-20,-0.89,-0.24,27.8,29.7,-1.9,-0.09,-0.04
BRA,DF,19,1998,13,910,70,26.6,10.1,10,,8,3,,22,1.46,9,12,-3,-0.3,0.67,10.4,12.1,-1.7,-0.17,-0.14
ITA,MF,31,1986,35,2918,83,85.3,32.4,33,,25,2,,2,1.14,25,44,-19,-0.59,1.39,41.1,39.7,1.4,0.04,0.75
ITA,MF,21,1995,17,1041,61,30.4,11.6,10,,7,7,,10,1.12,10,21,-11,-0.95,-0.23,13.6,18.2,-4.5,-0.39,-0.46
NED,DF,24,1993,7,416,59,12.2,4.6,5,,4,2,,6,0.86,3,6,-3,-0.65,0.16,6.2,6.6,-0.4,-0.1,-0.03
SRB,"MF,FW",25,1991,27,2166,80,63.3,24.1,23,,21,4,,6,1.3,36,31,5,0.21,-0.01,29.6,31.8,-2.1,-0.09,-0.17
GHA,MF,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.7
ITA,DF,18,1999,1,9,9,0.3,0.1,0,,0,1,,2,3.0,0,0,0,0.0,-0.21,0.0,0.0,0.0,-0.46,-0.44
ITA,DF,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA,FW,23,1993,32,2683,84,78.5,29.8,29,,27,3,,0,1.5,43,35,8,0.27,0.27,36.0,38.5,-2.5,-0.08,-0.26
ITA,DF,22,1995,9,468,52,13.7,5.2,3,,2,6,,17,1.0,8,11,-3,-0.58,-0.91,4.6,6.5,-1.9,-0.37,-0.39
CIV,MF,17,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
ARG,DF,30,1986,25,1872,75,54.7,20.8,20,,17,5,,3,1.48,26,27,-1,-0.05,-0.57,26.1,28.8,-2.7,-0.13,-0.23
ITA,DF,34,1983,20,1564,78,45.7,17.4,17,,16,3,,14,1.4,25,18,7,0.4,0.35,19.4,21.5,-2.1,-0.12,-0.17
ITA,MF,25,1992,32,2521,79,73.7,28.0,30,,18,2,,0,1.5,43,32,11,0.39,0.69,36.7,32.1,4.6,0.16,0.73
ITA,"DF,FW",25,1992,2,96,48,2.8,1.1,1,,1,1,,0,2.0,2,1,1,0.94,0.75,0.6,0.6,-0.1,-0.06,-0.03
ITA,GK,18,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,
ITA,DF,36,1981,22,1782,81,52.1,19.8,19,,17,3,,15,1.64,30,20,10,0.51,0.61,25.8,21.5,4.4,0.22,0.52
ECU,DF,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP,"FW,MF",27,1990,37,2821,76,82.5,31.3,34,,14,3,,0,1.46,47,33,14,0.45,1.35,41.6,33.2,8.4,0.27,1.68
NGA,MF,26,1991,22,1247,57,36.5,13.9,16,,3,6,,5,1.82,19,9,10,0.72,0.8,17.6,12.6,5.0,0.38,0.62
CRO,FW,18,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
ITA,"DF,MF",21,1996,6,408,68,11.9,4.5,4,,3,2,,20,1.83,13,6,7,1.54,1.51,6.3,7.7,-1.4,-0.31,-0.32
ITA,DF,19,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA,DF,29,1988,35,2955,84,86.4,32.8,35,,28,0,,2,1.43,45,34,11,0.34,0.92,40.9,36.2,4.7,0.14,1.26
ARG,FW,21,1996,11,155,14,4.5,1.7,0,,0,11,,8,1.18,2,3,-1,-0.58,-0.83,2.7,4.1,-1.4,-0.86,-0.87
BRA,DF,20,1997,4,316,79,9.2,3.5,4,,3,0,,10,1.25,7,9,-2,-0.57,-0.86,4.1,7.9,-3.8,-1.08,-1.16
SEN,FW,22,1994,26,1532,59,44.8,17.0,18,,4,8,,4,1.0,23,23,0,0.0,-0.38,19.1,18.4,0.7,0.04,0.13
ITA,FW,19,1998,0,,,,,0,,0,0,,12,,,,,,,,,,,
