nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ARG,GK,37,1979,0,,,,,0,,0,0,,30,,,,,,,,,,,
ENG,"FW,MF",21,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,
KOR,"FW,MF",28,1988,15,471,31,13.8,5.2,4,,0,11,,11,0.73,6,14,-8,-1.53,-1.38,,,,,
FRA,FW,29,1987,5,134,27,3.9,1.5,1,,0,4,,2,0.0,0,3,-3,-2.01,-1.74,,,,,
SRB,MF,25,1991,14,1224,87,35.8,13.6,14,,11,0,,0,1.57,18,16,2,0.15,0.76,,,,,
ENG,MF,17,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA,DF,26,1990,8,686,86,20.1,7.6,8,,7,0,,2,2.0,12,6,6,0.79,1.41,,,,,
ENG,"DF,MF",26,1990,29,2123,73,62.1,23.6,25,,15,4,,4,1.0,30,44,-14,-0.59,-0.66,,,,,
FRA,MF,32,1984,10,274,27,8.0,3.0,3,,1,7,,16,1.6,1,7,-6,-1.97,-1.77,,,,,
ENG,"DF,MF",18,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
AUS,MF,31,1984,1,90,90,2.6,1.0,1,,1,0,,0,0.0,0,1,-1,-1.0,-0.68,,,,,
AFG,"DF,MF",19,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
SEN,DF,26,1990,3,269,90,7.9,3.0,3,,2,0,,0,0.33,1,3,-2,-0.67,-0.35,,,,,
NED,DF,25,1990,11,714,65,20.9,7.9,8,,5,3,,1,1.45,7,14,-7,-0.88,-0.68,,,,,
ENG,DF,29,1987,23,1746,76,51.1,19.4,19,,19,4,,1,1.17,27,36,-9,-0.46,-0.25,,,,,
