playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
24,2,,1.0,45201,Neto,,Neto,1991-09-02,Brazil,Central Midfield,,,2024-11-01T22:50:30Z,5602,SC Farense,Farense,FAR,https://crests.football-data.org/5602.png,"Praça de Tânger, Ginásio Sede Faro 8005-445",http://www.scfarense1910.blogspot.com,1910.0,Black / White,Estádio de São Lúis,2023-07-06T17:34:46Z,PPL,Primeira Liga,2024
21,2,,1.0,15920,Bruno Costa,,Bruno Costa,1997-04-19,Portugal,Midfield,,,2025-05-16T09:42:48Z,5529,CD Nacional,CD Nacional,CDN,https://crests.football-data.org/5529.png,"Rua do Esmeraldo, n.º 46 Funchal 9060",http://www.cdnacional.pt,1910.0,Black / White,Estádio da Madeira,2023-06-02T09:42:46Z,PPL,Primeira Liga,2024
13,2,,,273367,Dieu Michel,Dieu-Merci,Michel,2004-02-09,Canada,Offence,,,2025-05-22T09:42:36Z,5543,Vitória SC,Vitória SC,GUI,https://crests.football-data.org/5543.png,"Dr. António Pimenta Machado, Apartado 505 Guimarães 4802-914",http://www.vitoriasc.pt,1922.0,White / Black,Estádio Dom Afonso Henriques,2022-03-06T09:31:54Z,PPL,Primeira Liga,2024
27,2,2.0,,178810,André Luiz,,André Luiz,2002-02-23,Brazil,Centre-Forward,,,2025-05-20T09:42:31Z,496,Rio Ave FC,Rio Ave,RIO,https://crests.football-data.org/496.png,"Praça da República, n.º35, Apartado 42 Vila do Conde 4481-909",http://www.rioave-fc.pt,1939.0,Green / White,Estádio do Rio Ave Futebol Clube,2022-07-26T17:38:50Z,PPL,Primeira Liga,2024
31,2,,,169570,Zé Vitor,,Zé Vítor,2001-02-09,Brazil,Defence,,,2025-05-16T09:42:48Z,5529,CD Nacional,CD Nacional,CDN,https://crests.football-data.org/5529.png,"Rua do Esmeraldo, n.º 46 Funchal 9060",http://www.cdnacional.pt,1910.0,Black / White,Estádio da Madeira,2023-06-02T09:42:46Z,PPL,Primeira Liga,2024
25,2,1.0,,53121,Tiago Esgaio,,Tiago Esgaio,1995-08-01,Portugal,Right-Back,,,2024-11-01T22:50:30Z,712,FC Arouca,Arouca,FCA,https://crests.football-data.org/712.png,Rua Doutor Ângelo Miranda Arouca 4540-140,http://www.fcarouca.eu,1952.0,Yellow / Blue,Estádio Municipal de Arouca,2022-02-25T16:58:25Z,PPL,Primeira Liga,2024
26,2,,,151363,Otavio Ataide,,Otávio,2002-04-21,Brazil,Centre-Back,,,2025-05-16T09:42:46Z,503,FC Porto,Porto,FCP,https://crests.football-data.org/503.png,"Estádio do Dragão, Entrada Poente - Piso 3 Porto 4350-451",http://www.fcporto.pt,1893.0,Blue / White,Estádio Do Dragão,2022-02-10T19:26:43Z,PPL,Primeira Liga,2024
34,2,1.0,,37393,Serginho,,Serginho,1982-12-06,Portugal,Goalkeeper,,,2023-11-28T09:46:11Z,5530,CD Santa Clara,Santa Clara,CD ,https://crests.football-data.org/5530.png,"Rua Comandante Jaime de Sousa, 21 Ponta Delgada 9500",http://www.cdsantaclara.pt,1921.0,Red / White,Cidade do Futebol,2022-02-20T08:40:31Z,PPL,Primeira Liga,2024
31,2,,,191760,Ousmane Diomande,Ousmane,Diomande,2003-12-04,Ivory Coast,Defence,,,2024-01-11T10:31:50Z,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,"Edifício Visconde de Alvalade, Apartado 42099 Lisboa 1601-801",http://www.sporting.pt,1906.0,Green / White,Estádio José Alvalade,2022-07-26T17:38:53Z,PPL,Primeira Liga,2024
27,2,1.0,,75196,Felix Bacher,Felix,Bacher,2000-10-25,Austria,Defence,,,2023-08-06T08:27:08Z,582,GD Estoril Praia,Estoril Praia,EST,https://crests.football-data.org/582.png,Estádio António Coimbra da Mota Estoril 2765,http://www.estorilpraia.pt,1939.0,Yellow / Blue,Estádio António Coimbra da Mota,2022-10-19T16:23:49Z,PPL,Primeira Liga,2024
