nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
GER,DF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,"FW,MF",26,1996,21.5,9,61,24,39.3,2.83,1.12,0.15,0.38,15.0,0,0,0,9.1,9.1,0.15,-0.1,-0.1
HUN,DF,29,1992,32.8,4,27,10,37.0,0.82,0.3,0.15,0.4,11.5,1,0,0,3.0,3.0,0.11,1.0,1.0
AUT,MF,24,1997,16.7,1,5,1,20.0,0.3,0.06,0.2,1.0,23.6,0,0,0,0.3,0.3,0.06,0.7,0.7
DEN,FW,28,1994,4.6,2,13,6,46.2,2.85,1.31,0.15,0.33,13.4,0,0,0,1.3,1.3,0.1,0.7,0.7
NOR,GK,31,1990,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
CZE,MF,24,1998,26.2,0,32,2,6.3,1.22,0.08,0.0,0.0,20.1,0,0,0,1.5,1.5,0.05,-1.5,-1.5
GER,GK,30,1992,22.6,0,1,0,0.0,0.04,0.0,0.0,,5.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
ROU,MF,27,1995,0.5,0,1,0,0.0,1.96,0.0,0.0,,26.5,1,0,0,0.0,0.0,0.04,0.0,0.0
SUI,DF,28,1994,25.7,0,10,0,0.0,0.39,0.0,0.0,,24.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
GER,MF,32,1989,9.5,0,16,2,12.5,1.69,0.21,0.0,0.0,19.0,1,0,0,0.9,0.9,0.06,-0.9,-0.9
GER,"MF,FW",32,1990,15.2,4,16,6,37.5,1.05,0.4,0.25,0.67,14.6,0,0,0,2.4,2.4,0.15,1.6,1.6
FRA,MF,30,1991,4.6,1,11,1,9.1,2.41,0.22,0.09,1.0,22.1,2,0,0,0.4,0.4,0.03,0.6,0.6
GER,MF,22,2000,5.7,0,2,1,50.0,0.35,0.18,0.0,0.0,24.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
GER,DF,22,2000,20.7,0,3,0,0.0,0.14,0.0,0.0,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
FIN,DF,28,1994,7.5,0,4,0,0.0,0.53,0.0,0.0,,33.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
SWE,"FW,MF",25,1997,5.1,0,10,0,0.0,1.94,0.0,0.0,,16.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2
GER,FW,18,2004,0.2,0,1,0,0.0,4.5,0.0,0.0,,11.5,0,0,0,0.0,0.0,0.04,0.0,0.0
TUR,FW,28,1994,10.8,1,22,8,36.4,2.03,0.74,0.05,0.13,13.8,0,0,0,2.5,2.5,0.11,-1.5,-1.5
GER,DF,19,2002,0.7,0,1,0,0.0,1.43,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0
AUT,DF,21,2001,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,10.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1
GER,DF,20,2001,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,8.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
POL,DF,30,1992,7.0,2,4,2,50.0,0.57,0.28,0.5,1.0,16.4,2,0,0,0.4,0.4,0.1,1.6,1.6
GER,"FW,MF",29,1993,28.9,11,64,23,35.9,2.22,0.8,0.11,0.3,18.4,1,4,4,9.0,6.1,0.1,2.0,0.9
JPN,DF,33,1988,28.4,0,12,2,16.7,0.42,0.07,0.0,0.0,13.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0
GER,"DF,FW",20,2002,6.3,0,5,0,0.0,0.79,0.0,0.0,,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
SUI,FW,28,1994,9.6,0,27,9,33.3,2.8,0.93,0.0,0.0,15.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7
GER,DF,23,1999,10.5,0,10,3,30.0,0.95,0.29,0.0,0.0,9.7,0,0,0,1.0,1.0,0.1,-1.0,-1.0
GER,GK,33,1988,11.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
URU,"MF,FW",22,1999,14.7,1,38,13,34.2,2.59,0.89,0.03,0.08,21.6,10,0,0,3.1,3.1,0.08,-2.1,-2.1
GER,FW,31,1991,7.0,2,12,7,58.3,1.71,1.0,0.17,0.29,9.8,0,0,0,2.0,2.0,0.17,0.0,0.0
NED,DF,20,2001,7.7,1,5,1,20.0,0.65,0.13,0.2,1.0,13.0,0,0,0,0.6,0.6,0.12,0.4,0.4
GER,FW,19,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,FW,34,1988,20.3,5,43,19,44.2,2.12,0.94,0.12,0.26,12.4,0,0,1,6.3,5.5,0.13,-1.3,-0.5
JPN,"FW,MF",21,2000,4.2,1,14,6,42.9,3.32,1.42,0.07,0.17,18.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1
NED,DF,25,1996,10.0,0,5,1,20.0,0.5,0.1,0.0,0.0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
GER,"FW,MF",25,1996,4.9,1,11,4,36.4,2.25,0.82,0.09,0.25,23.7,1,0,0,0.5,0.5,0.05,0.5,0.5
FRA,DF,30,1991,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,"DF,MF",26,1995,9.3,0,12,1,8.3,1.29,0.11,0.0,0.0,19.3,1,0,0,0.6,0.6,0.05,-0.6,-0.6
GER,MF,21,2001,27.9,2,25,9,36.0,0.89,0.32,0.08,0.22,19.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2
COL,"MF,FW",29,1993,2.6,0,1,1,100.0,0.38,0.38,0.0,0.0,17.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1
AUS,FW,21,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
,MF,25,1996,21.8,0,6,0,0.0,0.28,0.0,0.0,,20.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
CRO,DF,24,1998,21.7,2,15,6,40.0,0.69,0.28,0.13,0.33,20.7,6,0,0,1.0,1.0,0.07,1.0,1.0
GER,"FW,MF",24,1998,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0,1,1,3.6,2.9,0.07,1.4,1.1
ENG,DF,21,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA,DF,23,1999,14.1,0,13,3,23.1,0.92,0.21,0.0,0.0,11.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7
MKD,FW,22,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA,MF,20,2002,9.9,0,17,7,41.2,1.72,0.71,0.0,0.0,18.0,1,0,0,1.2,1.2,0.07,-1.2,-1.2
GER,GK,27,1995,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,GK,24,1997,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
JPN,MF,31,1991,8.3,0,5,1,20.0,0.6,0.12,0.0,0.0,24.8,1,0,0,0.3,0.3,0.06,-0.3,-0.3
POR,FW,25,1996,4.4,1,10,4,40.0,2.26,0.9,0.1,0.25,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5
JPN,DF,23,1999,28.5,1,21,7,33.3,0.74,0.25,0.05,0.14,32.9,2,0,0,0.8,0.8,0.04,0.2,0.2
GER,DF,21,2000,16.4,2,25,5,20.0,1.52,0.3,0.08,0.4,13.9,0,0,0,2.9,2.9,0.12,-0.9,-0.9
COL,FW,22,2000,4.6,1,2,1,50.0,0.43,0.22,0.5,1.0,10.6,0,0,0,0.2,0.2,0.09,0.8,0.8
GRE,DF,24,1997,25.4,2,48,12,25.0,1.89,0.47,0.04,0.17,15.5,0,0,0,4.0,4.0,0.08,-2.0,-2.0
GER,MF,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,"MF,FW",19,2002,2.7,0,8,0,0.0,2.99,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
GER,FW,25,1996,7.8,0,12,1,8.3,1.54,0.13,0.0,0.0,13.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
FRA,MF,20,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.4,22.1,0,0,0,0.8,0.8,0.05,1.2,1.2
DEN,"DF,MF",22,2000,5.3,0,4,0,0.0,0.76,0.0,0.0,,23.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
GER,DF,26,1996,3.7,0,2,0,0.0,0.54,0.0,0.0,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0
AUT,FW,25,1997,2.6,0,5,1,20.0,1.93,0.39,0.0,0.0,10.8,0,0,0,0.5,0.5,0.1,-0.5,-0.5
GUI,FW,26,1996,18.3,11,47,18,38.3,2.57,0.98,0.19,0.5,15.7,4,2,2,10.8,9.2,0.2,0.2,-0.2
COD,"FW,MF",23,1998,22.1,5,42,16,38.1,1.9,0.72,0.1,0.25,16.1,0,1,1,6.5,5.7,0.14,-1.5,-1.7
FRA,"FW,DF",21,2001,3.6,4,11,6,54.5,3.04,1.66,0.27,0.5,19.4,0,1,1,2.3,1.5,0.14,1.7,1.5
GRE,"FW,DF",19,2003,0.8,0,2,1,50.0,2.5,1.25,0.0,0.0,13.7,0,0,0,0.3,0.3,0.13,-0.3,-0.3
POR,"FW,MF",20,2002,14.3,3,34,13,38.2,2.37,0.91,0.09,0.23,19.1,0,0,0,2.9,2.9,0.09,0.1,0.1
GER,DF,26,1996,32.6,1,24,5,20.8,0.74,0.15,0.04,0.2,18.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6
JPN,MF,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0,0,0,3.8,3.8,0.09,1.2,1.2
HUN,MF,23,1999,9.6,0,7,1,14.3,0.73,0.1,0.0,0.0,23.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
TUN,MF,25,1996,9.7,2,6,2,33.3,0.62,0.21,0.33,1.0,16.4,0,0,0,0.8,0.8,0.14,1.2,1.2
AUT,DF,35,1987,20.1,0,14,3,21.4,0.7,0.15,0.0,0.0,17.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7
NED,DF,24,1998,24.6,5,17,9,52.9,0.69,0.37,0.29,0.56,11.6,0,0,0,1.9,1.9,0.11,3.1,3.1
POR,DF,23,1999,25.0,0,12,0,0.0,0.48,0.0,0.0,,14.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8
DEN,GK,29,1992,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
JPN,MF,31,1991,5.5,0,6,1,16.7,1.08,0.18,0.0,0.0,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
GER,"FW,MF",21,2001,2.9,1,9,5,55.6,3.06,1.7,0.11,0.2,16.7,0,0,0,0.7,0.7,0.07,0.3,0.3
GER,MF,28,1994,24.3,5,32,14,43.8,1.32,0.58,0.16,0.36,19.0,0,0,0,3.3,3.3,0.1,1.7,1.7
USA,FW,26,1996,15.1,4,32,6,18.8,2.12,0.4,0.13,0.67,12.2,0,0,2,4.5,2.9,0.09,-0.5,1.1
CRO,DF,26,1995,10.4,2,6,1,16.7,0.58,0.1,0.17,1.0,29.6,2,1,1,1.6,0.8,0.14,0.4,0.2
NOR,DF,24,1997,11.5,0,16,5,31.3,1.39,0.43,0.0,0.0,24.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7
FRA,DF,29,1993,10.6,0,9,2,22.2,0.85,0.19,0.0,0.0,22.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
GER,FW,31,1991,17.1,8,35,14,40.0,2.05,0.82,0.23,0.57,11.7,0,0,0,4.8,4.8,0.14,3.2,3.2
GER,GK,23,1999,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,MF,26,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
SRB,MF,26,1996,2.3,1,5,2,40.0,2.18,0.87,0.2,0.5,18.4,0,0,1,1.4,0.6,0.11,-0.4,0.4
NOR,MF,26,1996,9.3,1,9,3,33.3,0.97,0.32,0.11,0.33,13.7,0,0,0,0.8,0.8,0.09,0.2,0.2
GER,DF,30,1991,14.5,0,20,3,15.0,1.38,0.21,0.0,0.0,20.2,2,0,0,1.1,1.1,0.06,-1.1,-1.1
GER,DF,24,1998,13.3,1,2,2,100.0,0.15,0.15,0.5,0.5,11.3,0,0,0,0.1,0.1,0.07,0.9,0.9
GER,MF,27,1995,7.7,1,15,4,26.7,1.95,0.52,0.07,0.25,23.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2
GER,MF,28,1994,32.0,2,24,3,12.5,0.75,0.09,0.08,0.67,22.1,0,0,0,1.7,1.7,0.07,0.3,0.3
GER,DF,30,1992,31.9,2,8,1,12.5,0.25,0.03,0.13,1.0,16.0,0,1,2,2.4,0.8,0.1,-0.4,0.2
SUR,FW,27,1995,28.4,11,67,26,38.8,2.36,0.92,0.16,0.42,18.3,0,0,0,6.5,6.5,0.1,4.5,4.5
GER,"FW,MF",32,1990,5.5,3,15,2,13.3,2.73,0.36,0.13,1.0,24.2,0,1,1,1.7,0.9,0.06,1.3,1.1
GER,"DF,MF",25,1996,0.6,0,4,2,50.0,6.79,3.4,0.0,0.0,22.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
GER,DF,26,1996,6.2,0,4,2,50.0,0.64,0.32,0.0,0.0,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
POL,DF,23,1999,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,DF,24,1998,21.7,2,11,4,36.4,0.51,0.18,0.18,0.5,13.0,0,0,0,0.7,0.7,0.07,1.3,1.3
GER,"DF,FW",30,1991,29.1,2,17,6,35.3,0.58,0.21,0.12,0.33,17.0,0,0,0,1.3,1.3,0.08,0.7,0.7
GER,MF,33,1989,21.0,1,5,1,20.0,0.24,0.05,0.2,1.0,26.0,0,0,0,0.2,0.2,0.03,0.8,0.8
TOG,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,"FW,MF",20,2001,2.6,0,6,0,0.0,2.34,0.0,0.0,,15.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ITA,DF,17,2005,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
NGA,"DF,FW",22,1999,0.5,0,1,0,0.0,1.84,0.0,0.0,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0
BUL,MF,22,2000,17.6,0,6,1,16.7,0.34,0.06,0.0,0.0,22.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
GER,MF,22,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
DEN,MF,25,1996,20.6,3,19,7,36.8,0.92,0.34,0.16,0.43,12.5,0,0,0,3.1,3.1,0.16,-0.1,-0.1
CZE,GK,30,1992,32.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG,"DF,FW",21,2001,5.2,1,5,1,20.0,0.95,0.19,0.2,1.0,22.1,0,0,0,0.3,0.3,0.06,0.7,0.7
GER,"MF,DF",28,1993,18.1,3,25,9,36.0,1.38,0.5,0.12,0.33,22.3,2,0,0,1.4,1.4,0.05,1.6,1.6
AUT,DF,24,1998,28.8,0,6,1,16.7,0.21,0.03,0.0,0.0,20.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5
GER,FW,28,1994,31.7,12,94,43,45.7,2.97,1.36,0.13,0.28,19.1,14,0,1,11.3,10.5,0.11,0.7,1.5
GER,"FW,MF",28,1994,4.9,1,11,3,27.3,2.24,0.61,0.09,0.33,16.0,0,0,0,2.0,2.0,0.18,-1.0,-1.0
GER,GK,27,1995,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
SRB,DF,26,1995,25.2,1,4,2,50.0,0.16,0.08,0.25,0.5,8.7,0,0,0,0.5,0.5,0.12,0.5,0.5
GER,"DF,FW",28,1994,28.0,2,28,8,28.6,1.0,0.29,0.07,0.25,17.9,0,0,0,2.6,2.6,0.09,-0.6,-0.6
GER,FW,29,1993,27.5,16,74,32,43.2,2.69,1.16,0.15,0.34,16.0,0,5,5,12.8,8.6,0.12,3.2,2.4
GER,"MF,DF",25,1996,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
GER,MF,24,1998,12.1,3,21,9,42.9,1.74,0.75,0.14,0.33,21.3,2,0,0,1.6,1.6,0.08,1.4,1.4
GER,DF,27,1995,23.1,0,3,1,33.3,0.13,0.04,0.0,0.0,10.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
SCO,"FW,MF",25,1997,3.0,2,8,5,62.5,2.69,1.68,0.25,0.4,14.0,0,0,0,1.0,1.0,0.13,1.0,1.0
AUT,"MF,FW",22,2000,16.9,1,18,3,16.7,1.07,0.18,0.06,0.33,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5
BEL,MF,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
CRO,MF,22,2000,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
GER,FW,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,MF,21,2000,20.4,3,37,9,24.3,1.81,0.44,0.08,0.33,17.1,0,0,0,2.7,2.7,0.07,0.3,0.3
POL,"FW,DF",20,2002,22.9,4,39,14,35.9,1.71,0.61,0.1,0.29,15.9,0,0,0,5.0,4.8,0.12,-1.0,-0.8
DEN,FW,23,1999,14.3,6,29,10,34.5,2.02,0.7,0.21,0.6,13.4,0,0,1,5.2,4.4,0.15,0.8,1.6
CRO,"MF,FW",24,1998,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
FRA,"DF,MF",31,1990,13.1,1,6,1,16.7,0.46,0.08,0.17,1.0,11.9,0,0,0,0.5,0.5,0.09,0.5,0.5
FRA,"MF,DF",29,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
USA,"FW,MF",19,2003,5.9,1,4,2,50.0,0.68,0.34,0.25,0.5,21.4,0,0,0,0.2,0.2,0.04,0.8,0.8
GER,"DF,FW",21,2000,5.6,0,3,1,33.3,0.54,0.18,0.0,0.0,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3
BEL,GK,30,1992,34.0,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
GER,"FW,MF",26,1996,5.8,4,10,5,50.0,1.72,0.86,0.3,0.6,14.2,0,1,1,3.5,1.9,0.19,0.5,1.1
GER,FW,23,1998,10.0,4,22,7,31.8,2.2,0.7,0.18,0.57,14.1,0,0,0,3.0,3.0,0.14,1.0,1.0
CZE,MF,18,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
SWE,"MF,FW",23,1999,20.4,4,30,10,33.3,1.47,0.49,0.13,0.4,16.9,4,0,0,4.4,4.4,0.15,-0.4,-0.4
GER,"MF,FW",34,1988,3.0,0,9,2,22.2,2.98,0.66,0.0,0.0,13.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7
FRA,DF,22,2000,18.1,1,4,1,25.0,0.22,0.06,0.25,1.0,8.6,0,0,0,0.5,0.5,0.13,0.5,0.5
GER,MF,28,1994,30.7,5,29,12,41.4,0.94,0.39,0.07,0.17,31.4,6,3,5,5.0,1.0,0.04,0.0,1.0
GER,FW,28,1994,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,18.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
NED,DF,21,2001,33.0,1,16,1,6.3,0.48,0.03,0.06,1.0,17.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
FRA,DF,23,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
EGY,FW,23,1999,16.4,5,48,16,33.3,2.93,0.98,0.1,0.31,15.0,1,0,0,6.1,6.1,0.13,-1.1,-1.1
AUT,"FW,MF",21,2001,18.3,4,31,14,45.2,1.69,0.76,0.13,0.29,13.9,0,0,0,4.4,4.4,0.14,-0.4,-0.4
BRA,DF,27,1994,22.7,0,19,1,5.3,0.84,0.04,0.0,0.0,23.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8
GER,"DF,FW",24,1998,28.7,5,28,12,42.9,0.98,0.42,0.18,0.42,19.1,0,0,0,2.9,2.9,0.1,2.1,2.1
BEL,DF,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0,0,0,0.4,0.4,0.1,0.6,0.6
GER,MF,28,1994,20.7,6,27,13,48.1,1.3,0.63,0.22,0.46,12.0,0,0,0,5.7,5.7,0.21,0.3,0.3
BEL,"MF,DF",19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,19.9,2,0,0,1.8,1.8,0.09,1.2,1.2
GER,MF,24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.4,22.2,3,0,0,1.5,1.5,0.07,0.5,0.5
CRO,"FW,MF",21,2002,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0
KVX,MF,25,1997,22.1,2,28,3,10.7,1.27,0.14,0.04,0.33,24.3,0,1,1,1.7,1.0,0.03,0.3,0.0
BIH,"FW,MF",25,1998,31.9,15,77,32,41.6,2.41,1.0,0.16,0.38,14.0,0,3,4,13.5,10.3,0.13,1.5,1.7
GER,GK,25,1998,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FIN,"MF,FW",25,1997,14.9,2,14,5,35.7,0.94,0.34,0.14,0.4,18.9,0,0,0,0.9,0.9,0.06,1.1,1.1
BRA,DF,26,1997,18.0,1,18,7,38.9,1.0,0.39,0.06,0.14,16.5,0,0,0,1.4,1.4,0.08,-0.4,-0.4
FRA,"MF,DF",25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
NED,DF,32,1991,28.8,1,23,3,13.0,0.8,0.1,0.04,0.33,15.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
SUI,DF,28,1995,22.7,0,4,1,25.0,0.18,0.04,0.0,0.0,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
CRO,MF,26,1997,11.7,2,13,5,38.5,1.11,0.43,0.15,0.4,23.9,0,0,0,0.8,0.8,0.06,1.2,1.2
DEN,DF,26,1996,19.8,1,13,1,7.7,0.66,0.05,0.08,1.0,19.0,0,0,0,0.8,0.8,0.06,0.2,0.2
,MF,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
JPN,"FW,DF",27,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,DF,23,2000,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4
GER,FW,25,1998,1.4,0,5,0,0.0,3.69,0.0,0.0,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2
GER,"MF,DF",18,2005,1.3,1,2,1,50.0,1.53,0.76,0.5,1.0,16.0,0,0,0,0.2,0.2,0.1,0.8,0.8
COD,FW,21,2002,0.1,0,1,0,0.0,18.0,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0
GER,MF,25,1998,15.4,0,14,0,0.0,0.91,0.0,0.0,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7
GER,DF,25,1997,32.5,2,13,3,23.1,0.4,0.09,0.15,0.67,9.2,0,0,0,1.4,1.4,0.11,0.6,0.6
GER,DF,23,1999,5.7,0,11,0,0.0,1.94,0.0,0.0,,17.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
ESP,"MF,FW",26,1996,3.2,0,6,1,16.7,1.89,0.32,0.0,0.0,15.0,0,0,0,1.0,1.0,0.17,-1.0,-1.0
GER,FW,26,1997,26.5,8,52,18,34.6,1.96,0.68,0.15,0.44,15.1,1,0,0,8.2,8.2,0.16,-0.2,-0.2
POL,DF,25,1998,5.3,0,3,1,33.3,0.56,0.19,0.0,0.0,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
SUI,"MF,FW",24,1998,21.8,4,49,17,34.7,2.25,0.78,0.08,0.24,17.4,3,0,0,3.9,3.9,0.08,0.1,0.1
GER,"FW,MF",33,1990,6.5,2,12,5,41.7,1.85,0.77,0.08,0.2,20.7,0,1,2,2.4,0.8,0.07,-0.4,0.2
GER,MF,21,2002,7.0,0,3,0,0.0,0.43,0.0,0.0,,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
CZE,GK,30,1992,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,MF,19,2004,13.6,2,8,2,25.0,0.59,0.15,0.25,1.0,16.0,0,0,0,1.2,1.2,0.15,0.8,0.8
CAN,DF,22,2000,22.9,2,13,4,30.8,0.57,0.17,0.15,0.5,22.2,0,0,0,1.0,1.0,0.08,1.0,1.0
SEN,DF,31,1992,1.2,0,1,1,100.0,0.85,0.85,0.0,0.0,5.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2
ESP,"FW,MF",22,2001,2.0,0,7,4,57.1,3.44,1.97,0.0,0.0,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ISR,GK,23,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA,DF,24,1998,19.6,1,11,4,36.4,0.56,0.2,0.09,0.25,10.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7
ENG,DF,29,1994,13.0,0,9,3,33.3,0.69,0.23,0.0,0.0,10.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
CMR,"MF,FW",34,1989,8.0,2,26,11,42.3,3.26,1.38,0.08,0.18,12.5,0,0,0,4.5,4.5,0.17,-2.5,-2.5
GER,DF,20,2003,0.6,0,2,2,100.0,3.21,3.21,0.0,0.0,19.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3
ENG,FW,30,1993,31.5,36,141,61,43.3,4.47,1.93,0.22,0.51,14.4,4,5,5,30.6,26.7,0.19,5.4,4.3
GER,"MF,FW",20,2003,19.5,10,58,21,36.2,2.97,1.08,0.17,0.48,15.8,0,0,0,7.9,7.9,0.14,2.1,2.1
DEN,FW,17,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER,"MF,DF",28,1995,24.2,1,25,7,28.0,1.03,0.29,0.04,0.14,24.6,3,0,0,1.1,1.1,0.05,-0.1,-0.1
KOR,DF,26,1996,21.9,1,10,3,30.0,0.46,0.14,0.1,0.33,10.4,0,0,0,0.8,0.8,0.08,0.2,0.2
