nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
ENG,MF,33,1982,12.3,1,12,3,25.0,0.98,0.24,0.08,0.33,,,0,0,,,,,
ENG,DF,23,1993,4.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ISL,"FW,MF",25,1990,11.1,1,17,8,47.1,1.53,0.72,0.06,0.13,,,0,0,,,,,
IRL,DF,25,1990,3.0,0,1,0,0.0,0.33,0.0,0.0,,,,0,0,,,,,
ENG,FW,27,1989,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,DF,27,1989,36.0,0,6,2,33.3,0.17,0.06,0.0,0.0,,,0,0,,,,,
ENG,DF,23,1993,35.0,2,23,7,30.4,0.66,0.2,0.09,0.29,,,0,0,,,,,
ENG,"FW,MF",30,1986,1.2,0,1,1,100.0,0.87,0.87,0.0,0.0,,,0,0,,,,,
ENG,"FW,MF",22,1993,0.4,0,1,0,0.0,2.31,0.0,0.0,,,,0,0,,,,,
ENG,GK,36,1979,3.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
IRL,"DF,FW",24,1992,8.0,1,19,3,15.8,2.38,0.38,0.05,0.33,,,0,0,,,,,
WAL,FW,26,1989,22.9,10,57,23,40.4,2.49,1.0,0.14,0.35,,,2,2,,,,,
CAN,MF,27,1988,23.4,1,44,7,15.9,1.88,0.3,0.02,0.14,,,0,0,,,,,
IRL,"DF,FW",30,1985,35.9,1,7,1,14.3,0.2,0.03,0.14,1.0,,,0,0,,,,,
BEL,MF,28,1988,11.9,1,8,6,75.0,0.67,0.51,0.13,0.17,,,0,0,,,,,
ENG,GK,30,1986,35.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
BIH,GK,29,1987,2.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
SRB,DF,32,1984,6.5,0,8,2,25.0,1.22,0.31,0.0,0.0,,,0,0,,,,,
ESP,"FW,MF",29,1987,14.9,5,26,9,34.6,1.75,0.6,0.19,0.56,,,0,0,,,,,
ESP,"DF,MF",26,1989,38.0,1,18,6,33.3,0.47,0.16,0.06,0.17,,,0,0,,,,,
BRA,"DF,MF",29,1987,32.8,1,32,10,31.3,0.97,0.3,0.03,0.1,,,0,0,,,,,
ESP,FW,27,1988,34.2,20,111,41,36.9,3.24,1.2,0.18,0.49,,,0,1,,,,,
BEL,"FW,MF",25,1991,33.1,16,77,32,41.6,2.32,0.97,0.18,0.44,,,2,3,,,,,
ENG,DF,30,1985,36.6,6,24,11,45.8,0.66,0.3,0.25,0.55,,,0,0,,,,,
ENG,DF,35,1980,5.5,1,8,2,25.0,1.45,0.36,0.13,0.5,,,0,0,,,,,
BRA,"FW,MF",20,1996,0.8,0,3,0,0.0,3.65,0.0,0.0,,,,0,0,,,,,
FRA,DF,21,1994,2.8,0,1,0,0.0,0.36,0.0,0.0,,,,0,0,,,,,
ESP,"DF,MF",25,1990,29.9,6,46,17,37.0,1.54,0.57,0.13,0.35,,,0,0,,,,,
BEL,FW,22,1993,2.8,5,17,8,47.1,6.02,2.83,0.29,0.63,,,0,0,,,,,
FRA,MF,25,1991,34.9,1,27,7,25.9,0.77,0.2,0.04,0.14,,,0,0,,,,,
NED,"DF,MF",21,1995,1.1,0,1,0,0.0,0.91,0.0,0.0,,,,0,0,,,,,
ENG,"DF,MF",21,1994,1.9,0,1,1,100.0,0.54,0.54,0.0,0.0,,,0,0,,,,,
SRB,MF,27,1988,29.9,1,20,7,35.0,0.67,0.23,0.05,0.14,,,0,0,,,,,
NGA,"DF,MF",19,1996,0.3,0,1,1,100.0,3.46,3.46,0.0,0.0,,,0,0,,,,,
BRA,"FW,MF",24,1991,5.1,0,12,2,16.7,2.37,0.4,0.0,0.0,,,0,0,,,,,
ESP,"FW,MF",29,1987,23.8,9,59,18,30.5,2.48,0.76,0.15,0.5,,,0,0,,,,,
ENG,MF,20,1996,0.4,0,1,1,100.0,2.57,2.57,0.0,0.0,,,0,0,,,,,
BEL,GK,24,1992,36.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
NGA,"DF,FW",25,1990,27.6,3,45,15,33.3,1.63,0.54,0.07,0.2,,,0,0,,,,,
BRA,"FW,MF",27,1988,17.0,8,44,15,34.1,2.58,0.88,0.18,0.53,,,0,0,,,,,
ENG,"FW,MF",25,1991,28.0,3,56,13,23.2,2.0,0.46,0.05,0.23,,,0,0,,,,,
MLI,"FW,MF",28,1988,1.6,0,4,1,25.0,2.54,0.63,0.0,0.0,,,0,0,,,,,
