playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
31,4,1.0,,217935,Kodai Sano,Kodai,Sano,2003-09-25,Japan,Left Winger,,,2024-08-24T08:13:28Z,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,Stadionplein 1 Nijmegen 6532 AJ,http://www.nec-nijmegen.nl,1900,Red / Green / Black,Goffertstadion,2022-03-06T09:55:52Z,DED,Eredivisie,2023
30,4,7.0,,48670,Yukinari Sugawara,Yukinari,Sugawara,2000-06-28,Japan,Right-Back,,,2024-08-23T10:11:35Z,682,AZ,AZ,AZ,https://crests.football-data.org/682.png,Stadionweg 1 Alkmaar 1812 AZ,http://www.az.nl,1967,Red / White,AFAS Stadion,2022-03-22T10:11:18Z,DED,Eredivisie,2023
19,3,1.0,,130880,Yorbe Vertessen,Yorbe,Vertessen,2001-01-08,Belgium,Centre-Forward,,,2024-10-09T09:41:21Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,DED,Eredivisie,2023
30,3,,,11010,Paweł Bochniewicz,Paweł,Bochniewicz,1996-01-30,Poland,Centre-Back,,,2024-08-24T08:13:26Z,673,SC Heerenveen,Heerenveen,HEE,https://crests.football-data.org/673.png,Abe Lenstra Boulevard 19 Heerenveen 8448 JA,http://www.sc-heerenveen.nl,1920,Blue / White,Abe Lenstra Stadion,2022-02-20T08:40:47Z,DED,Eredivisie,2023
29,3,3.0,,156856,Youri Baas,Youri,Baas,2003-03-17,Netherlands,Left-Back,,,2024-08-24T08:13:27Z,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,Stadionplein 1 Nijmegen 6532 AJ,http://www.nec-nijmegen.nl,1900,Red / Green / Black,Goffertstadion,2022-03-06T09:55:52Z,DED,Eredivisie,2023
32,3,,,159299,Oscar Uddenäs,Oscar,Uddenäs,2002-08-17,Sweden,Midfield,,,2023-07-31T10:04:08Z,670,SBV Excelsior,Excelsior,EXC,https://crests.football-data.org/670.png,Honingerdijk 110 Rotterdam 3062 NX,http://www.sbvexcelsior.nl,1902,Red / Black,Van Donge & De Roo Stadion,2022-08-07T11:18:32Z,DED,Eredivisie,2023
16,3,4.0,,146022,Mayckel Lahdo,Mayckel,Lahdo,2002-12-30,Sweden,Right Winger,,,2024-08-24T08:13:27Z,682,AZ,AZ,AZ,https://crests.football-data.org/682.png,Stadionweg 1 Alkmaar 1812 AZ,http://www.az.nl,1967,Red / White,AFAS Stadion,2022-03-22T10:11:18Z,DED,Eredivisie,2023
33,3,,,7350,Robin Pröpper,Robin,Pröpper,1993-09-23,Netherlands,Defence,,,2023-07-30T23:06:53Z,666,FC Twente '65,Twente,TWE,https://crests.football-data.org/666.png,Colosseum 65 Enschede 7521 PP,http://www.fctwente.nl,1965,Red / White,De Grolsch Veste,2022-03-24T17:06:27Z,DED,Eredivisie,2023
34,3,4.0,,8902,Siebe Horemans,Siebe,Horemans,1998-06-02,Belgium,Right-Back,,2.0,2024-08-24T08:13:26Z,670,SBV Excelsior,Excelsior,EXC,https://crests.football-data.org/670.png,Honingerdijk 110 Rotterdam 3062 NX,http://www.sbvexcelsior.nl,1902,Red / Black,Van Donge & De Roo Stadion,2022-08-07T11:18:32Z,DED,Eredivisie,2023
33,3,,,114742,Enric Llansana,Enric,Llansana,2001-04-12,Netherlands,Defensive Midfield,,3.0,2024-08-24T08:13:28Z,718,Go Ahead Eagles,Go Ahead,GOA,https://crests.football-data.org/718.png,Vetkampstraat 1 Deventer 7416 WK,http://www.ga-eagles.nl,1902,Red / Yellow,De Adelaarshorst,2022-03-22T10:09:14Z,DED,Eredivisie,2023
