nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ENG,"FW,MF",30,1985,17.1,8,0,0,23,11,8,98,18,11,0,0,0,,,,
SWE,FW,34,1981,27.1,7,0,0,54,20,37,18,12,6,0,0,0,,,,
ENG,MF,27,1989,31.2,10,0,0,52,44,0,24,68,54,0,0,0,,,,
ENG,MF,24,1991,29.9,4,0,0,34,33,1,51,36,42,1,0,0,,,,
ESP,"FW,MF",20,1996,17.1,1,0,0,20,42,1,79,7,26,0,0,0,,,,
ALG,MF,30,1985,1.6,0,0,0,2,1,0,6,3,5,0,0,0,,,,
GHA,"DF,FW",28,1987,1.4,0,0,0,3,2,0,9,2,4,0,0,0,,,,
ESP,"DF,MF",29,1987,24.4,5,0,0,26,20,1,72,61,54,0,0,0,,,,
ENG,DF,23,1993,38.0,4,0,0,19,16,1,0,59,27,0,0,0,,,,
COL,DF,27,1989,10.8,2,0,0,17,7,1,2,21,17,0,1,0,,,,
USA,GK,31,1984,10.0,0,0,0,0,1,0,0,1,1,0,1,0,,,,
ENG,"DF,MF",21,1995,24.0,4,0,0,23,11,1,22,50,38,0,1,0,,,,
URU,"FW,MF",29,1986,15.0,4,0,0,21,30,4,26,10,26,0,0,0,,,,
ESP,DF,25,1990,10.2,3,0,0,15,3,1,6,27,8,0,0,0,,,,
ENG,FW,31,1985,0.5,0,0,0,2,0,0,2,0,1,0,0,0,,,,
EQG,"DF,FW",26,1989,3.6,0,0,0,4,4,0,5,6,2,0,0,0,,,,
BRA,DF,26,1990,20.5,8,0,0,29,21,4,71,37,51,0,0,0,,,,
URU,"FW,MF",25,1990,17.1,10,1,1,36,30,1,81,15,37,0,0,0,,,,
ENG,"DF,MF",28,1987,21.8,4,0,0,29,24,0,36,56,49,0,0,0,,,,
ENG,MF,30,1986,7.9,1,0,0,8,7,0,20,9,12,0,0,0,,,,
ENG,DF,22,1994,0.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SCO,FW,26,1990,2.3,0,0,0,3,3,2,1,0,1,0,0,0,,,,
NED,"DF,MF",25,1991,30.8,8,0,0,65,23,3,24,46,50,0,2,0,,,,
ENG,"FW,MF",22,1993,3.2,1,0,0,8,9,1,4,4,5,0,0,0,,,,
BEN,FW,27,1988,5.9,3,0,0,8,12,3,2,3,6,0,0,0,,,,
ENG,"FW,MF",32,1984,24.6,1,0,0,9,14,6,165,34,20,0,0,0,,,,
DEN,"FW,MF",22,1994,4.9,0,0,0,1,7,3,16,1,4,0,0,0,,,,
ESP,GK,34,1982,28.0,1,0,0,0,4,0,0,3,1,0,0,0,,,,
ESP,FW,30,1985,31.9,5,0,0,46,31,17,11,11,17,1,0,0,,,,
ENG,FW,27,1989,10.4,1,0,0,14,22,8,9,4,12,0,0,0,,,,
CUW,"DF,MF",26,1989,6.6,0,0,0,4,5,1,37,14,9,0,0,0,,,,
POR,"DF,MF",24,1991,27.9,7,0,0,22,19,2,144,37,61,0,0,0,,,,
SRB,"FW,MF",27,1988,26.8,4,0,0,30,41,9,186,19,16,0,1,0,,,,
ENG,GK,28,1988,38.0,3,0,0,0,0,0,1,0,2,0,0,0,,,,
ENG,MF,21,1995,0.7,0,0,0,1,0,0,0,5,2,0,0,0,,,,
ENG,DF,22,1994,16.3,1,0,0,15,5,1,5,27,18,0,1,0,,,,
ENG,MF,21,1994,20.9,4,0,0,27,18,1,144,19,21,0,0,0,,,,
ENG,"FW,MF",27,1989,9.9,0,0,0,15,8,10,8,2,6,0,0,0,,,,
NED,MF,25,1991,11.3,3,0,0,15,6,0,9,15,9,0,1,0,,,,
ENG,MF,19,1997,2.3,0,0,0,2,3,0,8,1,3,0,0,0,,,,
POR,DF,32,1983,17.0,2,0,0,17,12,0,3,37,20,0,2,0,,,,
FRA,"DF,FW",27,1989,1.4,0,0,0,1,3,0,13,3,2,0,0,0,,,,
ITA,FW,24,1991,8.0,1,0,0,9,10,10,3,3,3,0,0,0,,,,
URU,DF,29,1987,1.0,0,0,0,0,0,0,0,1,1,0,0,0,,,,
ENG,"DF,MF",20,1995,4.1,0,0,0,2,3,0,25,8,8,0,0,0,,,,
JPN,DF,27,1988,23.0,2,0,0,18,20,1,9,48,21,2,1,0,,,,
ENG,"FW,MF",22,1994,32.2,2,1,0,38,47,14,65,15,27,0,1,0,,,,
ESP,MF,24,1991,34.1,11,0,0,64,35,1,3,95,90,0,0,0,,,,
DEN,MF,20,1995,14.5,2,0,0,17,30,0,21,31,31,0,0,0,,,,
ENG,"DF,MF",26,1989,27.9,3,0,0,24,36,2,98,48,26,0,1,0,,,,
ENG,MF,21,1995,6.8,0,0,0,3,3,0,37,15,11,1,0,0,,,,
IRL,FW,29,1987,14.0,2,0,0,27,37,13,25,5,11,2,0,0,,,,
MAR,"FW,MF",22,1993,12.3,5,0,0,25,22,1,35,7,26,0,0,0,,,,
NIR,MF,31,1985,29.4,3,0,0,18,13,1,71,26,41,0,1,0,,,,
NED,DF,25,1991,20.6,5,2,1,18,17,0,1,54,30,0,0,0,,,,
ESP,"FW,MF",25,1990,5.3,1,0,0,4,10,0,25,3,5,1,0,0,,,,
NED,DF,24,1992,35.0,4,0,0,25,10,2,4,66,42,0,0,0,,,,
SCO,MF,30,1985,16.6,7,0,0,41,26,0,86,24,17,0,0,0,,,,
NED,"DF,MF",27,1988,35.0,5,0,0,58,58,1,111,58,78,0,0,0,,,,
USA,"DF,MF",31,1985,18.1,1,0,0,17,19,2,14,34,36,0,0,0,,,,
COD,MF,23,1992,8.8,1,0,0,3,12,0,8,4,10,0,0,1,,,,
ENG,DF,31,1984,21.7,1,0,0,12,19,0,34,42,37,0,0,0,,,,
IRL,MF,32,1984,25.3,5,0,0,18,21,0,24,41,31,0,0,1,,,,
NED,"FW,MF",30,1986,4.3,0,0,0,3,7,2,15,5,2,0,0,0,,,,
ENG,GK,23,1993,5.0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
WAL,MF,26,1990,32.6,9,0,0,29,59,0,51,63,52,1,0,0,,,,
IRL,"FW,MF",32,1983,14.5,1,0,0,13,23,12,37,7,7,1,0,0,,,,
BEL,"FW,MF",18,1997,0.5,0,0,0,0,1,0,3,0,1,0,0,0,,,,
ENG,GK,33,1983,28.0,1,0,0,0,2,0,0,1,1,0,0,0,,,,
SEN,"FW,MF",28,1987,15.4,3,0,0,28,23,9,26,18,26,0,0,0,,,,
ESP,"DF,MF",24,1992,7.2,2,0,0,9,7,0,7,21,12,0,0,0,,,,
AUT,"FW,MF",27,1989,30.2,9,1,0,40,31,33,112,29,27,0,0,0,,,,
ENG,FW,35,1981,14.9,3,0,0,26,18,7,0,3,4,0,0,0,,,,
SCO,DF,31,1985,13.0,6,2,1,25,16,0,28,30,27,0,1,0,,,,
GER,DF,27,1989,2.0,1,0,0,1,2,1,0,4,3,0,0,0,,,,
EGY,MF,19,1997,9.5,2,0,0,10,9,3,7,5,20,0,0,0,,,,
ENG,DF,28,1987,35.0,6,0,0,34,23,2,2,56,36,1,1,2,,,,
BDI,"FW,MF",22,1993,8.0,0,0,0,11,1,6,1,1,6,0,0,0,,,,
IRL,GK,40,1976,5.0,1,0,0,0,1,0,0,0,0,0,0,1,,,,
CIV,FW,27,1988,7.6,1,0,0,11,13,2,1,3,3,0,0,0,,,,
SUI,"FW,MF",24,1991,18.9,2,0,0,16,28,5,129,10,6,1,0,0,,,,
BEL,"FW,MF",21,1995,18.1,5,1,1,26,38,3,66,9,15,0,0,0,,,,
ENG,DF,29,1987,25.2,8,0,0,25,12,0,44,50,43,0,0,0,,,,
CRC,"DF,MF",26,1990,9.4,1,0,0,12,10,0,27,18,27,0,0,0,,,,
IRL,MF,28,1987,7.1,4,0,0,12,0,0,12,13,11,0,0,0,,,,
GAB,"DF,MF",22,1994,28.0,5,0,0,39,28,4,39,50,64,1,1,0,,,,
SCO,"DF,MF",21,1994,6.8,1,0,0,8,4,0,20,15,14,0,0,0,,,,
ENG,"FW,MF",22,1994,11.4,1,0,0,10,22,4,22,9,11,1,0,0,,,,
ITA,"FW,MF",25,1991,19.3,5,0,0,28,43,0,37,23,16,0,0,0,,,,
ENG,"FW,MF",21,1994,2.6,1,0,0,4,8,2,9,4,8,0,0,0,,,,
ENG,"DF,MF",25,1991,16.6,4,0,0,23,12,1,8,19,29,0,0,0,,,,
GER,"DF,MF",25,1990,4.8,1,0,0,8,1,0,1,11,10,0,0,0,,,,
BEL,DF,21,1995,20.9,2,0,0,18,9,1,10,36,26,0,1,1,,,,
ESP,DF,22,1994,15.9,2,0,0,14,13,5,36,25,22,0,0,0,,,,
NED,"FW,MF",28,1987,0.8,0,0,0,1,3,0,2,2,2,0,0,0,,,,
ENG,FW,33,1982,36.9,1,0,0,25,30,36,19,4,14,1,0,0,,,,
SWE,"FW,MF",17,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
IRL,"DF,MF",35,1981,24.0,5,0,0,17,9,0,0,41,20,0,0,0,,,,
ENG,DF,33,1982,1.4,0,0,0,2,1,0,0,4,0,0,0,0,,,,
ENG,GK,22,1994,29.0,0,0,0,0,6,0,0,3,0,0,0,0,,,,
CIV,DF,27,1989,28.3,4,0,0,15,10,2,3,51,28,0,0,0,,,,
ENG,MF,28,1988,7.0,4,0,0,12,9,0,3,22,8,0,0,0,,,,
USA,"DF,FW",20,1995,4.1,3,0,0,8,6,0,13,6,11,0,0,0,,,,
NIR,"DF,MF",21,1995,3.9,0,0,0,6,3,0,7,5,6,0,0,1,,,,
SEN,DF,27,1988,17.5,6,1,1,22,16,2,5,54,18,0,0,0,,,,
NED,DF,25,1990,19.8,2,0,0,11,15,6,56,46,28,0,1,0,,,,
SWE,MF,31,1985,16.3,4,1,0,30,8,0,72,17,31,0,1,0,,,,
RSA,MF,34,1982,8.9,7,1,1,16,26,0,12,17,15,0,0,0,,,,
NGA,FW,28,1988,13.5,2,0,0,25,33,7,38,9,8,0,0,0,,,,
ITA,GK,28,1988,9.0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
TUN,"FW,MF",25,1991,9.4,6,0,0,20,16,7,71,9,10,0,0,0,,,,
FRA,DF,30,1986,1.0,0,0,0,0,1,0,1,1,0,0,0,0,,,,
ENG,DF,22,1994,27.0,1,0,0,10,19,0,1,29,24,0,1,2,,,,
ESP,FW,23,1992,6.2,0,0,0,4,9,4,6,4,2,0,0,0,,,,
ARG,DF,27,1989,27.0,7,0,0,26,16,0,5,50,30,0,2,0,,,,
ESP,FW,31,1985,27.1,2,0,0,51,31,12,8,2,17,0,0,0,,,,
ISL,"FW,MF",26,1989,37.0,2,0,0,19,33,1,308,37,33,2,0,0,,,,
ENG,"DF,MF",27,1989,24.8,7,0,0,24,32,1,21,57,46,0,0,2,,,,
SCO,MF,22,1994,7.7,2,0,0,10,11,1,5,7,20,0,0,0,,,,
ECU,"FW,MF",26,1989,5.4,0,0,0,1,9,2,38,1,5,0,0,0,,,,
GHA,"FW,MF",24,1991,9.6,1,0,0,18,22,6,19,8,12,0,0,0,,,,
IDN,DF,24,1992,15.7,5,0,0,26,5,0,0,31,23,0,2,0,,,,
KOR,MF,27,1989,14.3,3,0,0,18,22,1,10,21,18,1,1,0,,,,
SWE,GK,27,1989,1.0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
ENG,DF,27,1988,30.2,5,0,0,25,22,0,77,39,57,0,1,1,,,,
ENG,MF,33,1982,12.9,3,0,0,6,9,0,0,24,15,0,0,0,,,,
NED,MF,26,1990,26.7,9,0,0,48,50,1,15,23,41,0,0,0,,,,
NED,"FW,MF",25,1990,4.6,0,0,0,3,9,1,26,3,0,0,0,0,,,,
SWE,"DF,MF",28,1988,13.9,2,0,0,12,24,0,57,11,7,0,0,0,,,,
NED,DF,23,1992,7.4,1,0,0,13,9,0,0,19,8,0,1,0,,,,
GAM,"FW,MF",23,1992,12.7,1,0,0,13,36,10,59,6,18,0,0,0,,,,
ENG,"FW,MF",28,1987,2.4,0,0,0,4,7,0,6,3,4,0,0,0,,,,
WAL,"DF,MF",27,1989,10.2,1,0,0,13,4,0,28,26,18,0,0,0,,,,
SCO,FW,20,1996,0.9,0,0,0,1,0,0,1,0,1,0,0,0,,,,
SCO,DF,22,1994,11.5,0,0,0,3,7,0,46,9,10,0,0,0,,,,
ENG,MF,24,1992,15.4,1,0,0,13,10,0,38,18,27,0,0,0,,,,
ENG,"FW,MF",31,1985,21.4,1,0,0,28,14,9,82,16,20,0,0,0,,,,
ESP,DF,33,1982,9.2,1,0,0,10,10,1,11,26,23,0,1,0,,,,
POL,GK,31,1985,37.0,1,0,0,0,4,0,0,1,2,0,1,0,,,,
WAL,"DF,MF",23,1993,19.3,1,0,0,13,26,2,75,12,30,0,0,0,,,,
DEN,"FW,MF",24,1992,35.1,0,0,0,20,27,2,246,25,35,0,0,0,,,,
ENG,"DF,MF",26,1990,17.0,8,0,0,29,48,1,65,22,34,0,0,0,,,,
ENG,"FW,MF",20,1996,33.7,4,0,0,50,76,11,22,13,40,4,0,0,,,,
ENG,"DF,MF",22,1994,33.8,6,0,0,25,19,3,20,37,34,0,0,0,,,,
SVK,MF,20,1996,0.1,0,0,0,0,0,0,0,0,1,0,0,0,,,,
CMR,"FW,MF",21,1995,0.6,0,0,0,1,3,0,7,0,1,0,0,0,,,,
ENG,FW,23,1993,28.0,3,0,0,23,45,17,29,7,15,1,0,0,,,,
ENG,MF,20,1996,5.5,1,0,0,10,10,0,7,6,8,0,0,0,,,,
FRA,GK,29,1986,33.4,0,0,0,0,4,0,0,2,0,0,0,0,,,,
BEL,DF,29,1987,32.2,5,0,0,21,21,0,9,44,37,0,0,0,,,,
ENG,"FW,MF",19,1997,0.2,0,0,0,0,1,1,1,0,2,0,0,0,,,,
AUT,DF,23,1992,4.0,3,0,0,4,1,0,1,5,2,0,0,1,,,,
ENG,"DF,MF",25,1990,6.3,1,0,0,8,6,1,29,7,14,0,0,0,,,,
ENG,"DF,MF",26,1990,30.0,8,0,0,36,33,3,96,38,53,0,0,0,,,,
NED,GK,32,1983,4.6,0,0,0,0,1,0,0,0,1,0,0,0,,,,
BEL,MF,29,1987,22.8,5,0,0,43,21,0,3,26,55,1,0,0,,,,
FRA,"FW,MF",26,1989,10.1,3,0,0,21,10,2,34,7,12,0,0,0,,,,
KOR,"FW,MF",24,1992,22.9,2,0,0,10,33,22,62,7,13,2,0,0,,,,
BEL,DF,27,1989,28.9,1,0,0,9,5,0,6,26,35,0,0,0,,,,
ENG,MF,24,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
KEN,MF,25,1991,33.5,10,0,0,64,37,0,15,39,64,0,0,0,,,,
NED,FW,22,1994,9.4,0,0,0,31,25,8,10,4,14,1,1,0,,,,
ARG,"FW,MF",24,1992,6.6,1,0,0,13,11,1,26,4,12,0,1,0,,,,
MLI,"FW,MF",23,1993,15.1,4,0,0,12,5,0,6,22,13,0,0,0,,,,
ALG,MF,30,1985,8.0,2,0,0,21,8,1,27,10,17,0,0,0,,,,
JAM,DF,29,1986,6.2,0,0,0,4,4,2,1,14,16,0,0,0,,,,
ENG,DF,18,1997,0.6,0,0,0,0,0,0,1,2,1,0,0,0,,,,
ENG,MF,31,1985,0.6,0,1,0,2,0,0,0,4,1,0,0,0,,,,
ENG,"DF,MF",18,1997,1.3,0,0,0,3,2,0,0,3,1,0,0,0,,,,
BEL,DF,25,1991,8.6,1,0,0,15,4,0,10,16,13,0,0,0,,,,
ROU,GK,29,1987,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,,,
NIR,DF,27,1989,12.9,3,0,0,13,2,0,6,16,18,0,0,0,,,,
NED,DF,27,1989,18.0,2,0,0,16,4,5,54,23,30,0,0,0,,,,
ATG,MF,17,1999,0.3,0,0,0,0,0,0,1,0,0,0,0,0,,,,
BRA,GK,35,1981,37.1,1,0,0,0,4,0,0,3,0,0,1,1,,,,
SCO,"FW,MF",28,1988,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
NGA,"FW,MF",20,1996,5.8,2,0,0,12,24,1,13,6,12,0,0,0,,,,
ENG,FW,19,1996,1.3,0,0,0,4,3,0,0,0,0,0,0,0,,,,
GRE,"DF,MF",32,1984,32.3,14,0,0,43,24,1,166,58,47,0,0,0,,,,
COL,"DF,MF",30,1985,9.2,1,0,0,5,22,0,11,19,16,1,0,0,,,,
BRA,"FW,MF",20,1996,0.2,0,0,0,1,1,0,1,0,0,0,0,0,,,,
SEN,"FW,MF",21,1994,13.8,2,0,0,24,31,5,37,10,6,0,0,0,,,,
CZE,"FW,MF",24,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ARG,"FW,MF",29,1987,2.3,0,0,0,1,7,0,5,0,1,1,0,0,,,,
ENG,FW,18,1998,0.1,0,0,0,1,0,0,0,0,0,0,0,0,,,,
URU,DF,31,1985,25.4,10,2,2,36,24,2,13,52,33,0,1,0,,,,
MAR,"FW,MF",29,1987,23.2,4,0,0,47,36,2,129,27,35,0,1,0,,,,
NGA,FW,27,1989,14.3,1,0,0,18,15,9,6,4,8,0,0,0,,,,
ARG,"DF,FW",25,1991,11.5,2,1,0,8,18,2,32,8,6,0,0,0,,,,
AUT,"DF,MF",29,1987,30.8,12,1,1,40,26,1,3,55,28,1,1,0,,,,
ITA,FW,26,1989,10.6,5,0,0,29,22,11,5,1,10,0,0,0,,,,
ENG,MF,26,1989,16.0,3,0,0,16,10,0,59,19,20,0,0,0,,,,
ENG,FW,28,1988,32.7,7,0,0,42,28,20,16,18,16,0,0,1,,,,
SUI,"DF,MF",31,1985,22.6,7,0,0,29,40,0,3,34,56,0,0,0,,,,
FRA,DF,30,1986,20.2,2,0,0,20,7,0,11,47,20,0,0,0,,,,
FRA,MF,28,1988,35.6,5,0,0,52,46,1,80,61,44,0,0,0,,,,
CMR,"DF,MF",28,1988,29.3,8,0,0,50,19,2,78,61,55,0,1,0,,,,
ENG,GK,33,1983,38.0,2,0,0,0,5,0,0,2,0,0,0,0,,,,
ZIM,DF,20,1996,2.7,0,0,0,6,3,0,3,7,6,0,1,0,,,,
NIR,"DF,MF",31,1984,27.5,5,0,0,17,10,2,174,33,27,0,0,0,,,,
ARG,MF,29,1987,26.9,9,0,0,39,34,0,3,60,65,0,0,0,,,,
ENG,DF,26,1990,36.4,10,0,0,55,37,2,85,61,46,0,0,0,,,,
ENG,MF,29,1986,2.4,1,0,0,8,2,0,12,2,3,0,0,0,,,,
SCO,MF,32,1984,35.9,0,0,0,22,24,1,31,44,30,0,0,0,,,,
NIR,DF,36,1979,34.9,5,0,0,26,12,0,6,74,37,0,1,1,,,,
WAL,"FW,MF",27,1989,7.8,3,0,0,28,24,5,11,4,4,0,0,0,,,,
ENG,MF,26,1989,14.5,2,0,0,17,8,0,3,19,21,0,0,0,,,,
IRL,"DF,FW",27,1989,16.4,9,0,0,30,17,7,97,19,41,0,0,0,,,,
SCO,"FW,MF",30,1986,19.3,3,0,0,18,16,3,22,22,19,0,0,0,,,,
SWE,DF,33,1983,6.6,3,0,0,12,6,2,0,11,2,0,0,0,,,,
ENG,"FW,MF",17,1999,2.0,0,0,0,0,5,0,11,2,0,0,0,0,,,,
NIR,DF,28,1988,29.3,8,0,0,30,27,0,9,82,26,0,0,0,,,,
IRL,"DF,MF",28,1987,2.8,3,0,0,5,2,0,6,5,3,0,0,0,,,,
SCO,"DF,FW",25,1991,24.2,2,0,0,12,10,3,145,21,14,0,0,0,,,,
BEL,"FW,MF",26,1989,23.7,2,0,0,17,16,3,58,22,20,0,0,0,,,,
ENG,FW,34,1982,0.1,0,0,0,1,0,0,0,1,0,0,0,0,,,,
BDI,"FW,MF",22,1993,2.7,1,0,0,9,5,2,0,0,2,0,0,0,,,,
VEN,FW,26,1989,32.1,2,0,0,41,59,29,9,8,14,0,0,0,,,,
ENG,MF,18,1998,3.1,2,0,0,5,2,0,7,4,6,0,0,0,,,,
ENG,"DF,MF",26,1989,23.5,4,2,1,11,8,4,97,25,16,0,0,0,,,,
ESP,GK,29,1987,16.0,1,0,0,0,3,0,0,0,0,0,0,0,,,,
GHA,"FW,MF",26,1989,16.0,1,0,0,13,27,6,7,11,12,0,0,0,,,,
ENG,FW,27,1989,14.6,3,0,0,25,29,5,10,6,3,0,0,0,,,,
ITA,DF,28,1988,19.5,2,0,0,13,5,0,4,39,24,0,1,0,,,,
COD,"DF,MF",22,1993,10.8,1,0,0,16,10,0,30,26,32,0,1,0,,,,
ENG,FW,20,1995,4.1,2,0,0,9,5,1,6,0,2,0,0,0,,,,
SEN,"DF,MF",26,1989,30.3,3,0,0,45,39,2,15,78,53,0,1,0,,,,
IRL,GK,29,1987,22.0,1,0,0,0,2,0,0,1,0,0,0,0,,,,
ENG,"DF,MF",17,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEN,FW,26,1989,2.0,0,0,0,3,3,6,2,0,1,0,0,0,,,,
FRA,"FW,MF",29,1987,16.8,2,0,0,7,35,1,156,6,7,1,0,0,,,,
SUI,"DF,MF",20,1996,11.1,4,0,0,16,7,1,11,20,14,0,0,0,,,,
ECU,"FW,MF",26,1989,2.3,0,0,0,9,3,3,2,4,1,0,0,0,,,,
TUR,"FW,MF",24,1992,2.7,0,0,0,4,2,1,13,0,3,0,0,0,,,,
NOR,"DF,MF",26,1990,10.6,2,0,0,11,8,0,8,24,16,0,1,0,,,,
WAL,DF,32,1983,18.4,3,0,0,7,7,1,0,37,18,0,0,0,,,,
ARG,FW,22,1993,6.0,0,0,0,10,8,9,16,4,5,0,0,0,,,,
POR,DF,32,1983,15.6,2,0,0,11,5,0,4,39,14,0,2,0,,,,
ARG,"FW,MF",23,1993,30.1,9,0,0,20,38,7,73,51,34,0,0,0,,,,
ENG,MF,29,1987,26.5,10,0,0,27,43,1,24,42,32,0,0,0,,,,
JAM,"FW,MF",26,1990,27.0,6,2,1,30,49,18,94,28,28,1,1,0,,,,
EQG,MF,24,1992,19.6,7,0,0,27,39,0,8,33,57,0,0,0,,,,
SCO,"FW,MF",28,1987,9.3,0,0,0,14,10,3,74,4,10,0,0,0,,,,
ENG,"DF,MF",22,1993,13.9,7,1,1,20,13,2,27,44,20,0,0,0,,,,
ITA,FW,25,1991,5.1,2,0,0,11,6,6,4,3,4,0,0,0,,,,
ALG,"FW,MF",26,1989,11.6,1,1,0,11,18,2,64,14,13,0,1,0,,,,
NZL,DF,28,1988,28.7,10,1,1,33,36,1,4,86,29,2,0,0,,,,
ESP,DF,33,1983,2.9,3,0,0,5,3,0,6,9,4,0,0,0,,,,
WAL,MF,26,1990,20.5,0,0,0,28,33,0,17,24,27,2,0,0,128,10,15,40.0
ENG,"DF,MF",19,1997,10.2,1,0,0,10,5,0,20,12,17,0,1,0,73,6,14,30.0
NGA,"MF,FW",21,1996,20.3,1,0,0,11,12,1,20,7,15,0,0,0,110,3,14,17.6
ENG,DF,23,1993,2.7,0,0,0,1,1,1,16,6,3,0,0,0,22,4,6,40.0
FRA,FW,26,1991,24.5,1,0,0,28,28,23,16,7,17,1,0,0,53,29,60,32.6
CHI,"MF,FW",28,1988,16.7,4,0,0,21,44,16,54,6,9,0,0,0,48,14,24,36.8
ENG,DF,22,1995,9.6,1,0,0,10,5,0,7,18,10,0,1,0,71,28,29,49.1
ENG,"FW,MF",26,1990,13.3,1,0,0,13,20,4,2,11,13,0,0,0,38,23,33,41.1
COL,GK,28,1988,4.2,0,0,0,0,4,0,0,0,0,0,0,0,13,2,0,100.0
ENG,FW,18,1999,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
FRA,"MF,DF",26,1991,1.9,0,0,0,2,1,0,0,3,4,0,0,0,11,2,2,50.0
SUI,MF,24,1992,36.2,10,0,0,57,42,0,102,37,57,0,0,0,261,46,50,47.9
ARM,"FW,MF",28,1989,8.8,0,0,0,12,17,2,32,8,13,1,1,0,47,9,14,39.1
ESP,DF,22,1995,33.9,5,0,0,36,7,4,64,23,43,0,2,0,175,35,57,38.0
ENG,MF,25,1992,13.3,6,0,0,15,37,1,3,8,10,0,0,0,101,7,7,50.0
ENG,MF,17,1999,0.9,0,0,0,3,0,0,0,1,2,0,0,0,1,0,3,0.0
GRE,DF,19,1997,2.2,0,1,0,2,3,0,0,6,1,0,0,0,14,3,6,33.3
FRA,DF,31,1985,24.7,4,0,0,14,26,2,5,54,21,0,0,0,160,77,59,56.6
GER,"MF,FW",28,1988,24.0,4,0,0,18,22,12,98,12,13,1,0,0,100,1,12,7.7
EGY,MF,25,1992,9.6,3,1,0,4,6,1,8,10,6,0,0,0,79,6,13,31.6
ESP,DF,31,1986,24.9,3,0,0,19,17,2,31,56,32,0,1,0,155,62,62,50.0
FRA,FW,30,1986,4.3,0,0,0,7,2,2,3,1,4,0,0,0,8,23,18,56.1
GER,DF,32,1984,4.1,0,0,0,2,4,0,0,6,2,0,0,0,32,22,6,78.6
CZE,GK,35,1982,33.8,1,0,0,0,4,0,0,0,1,0,0,0,47,14,1,93.3
GAB,FW,28,1989,11.7,0,0,0,1,8,10,16,3,4,0,0,0,29,8,28,22.2
ENG,"FW,MF",17,1999,1.6,0,0,0,0,2,0,1,3,3,0,0,0,10,1,0,100.0
ENG,DF,21,1995,9.1,3,0,0,9,5,0,0,21,14,0,0,0,67,27,20,57.4
BIH,DF,24,1993,23.9,3,0,0,32,10,1,42,26,37,0,0,0,134,47,32,59.5
GER,DF,25,1992,25.3,6,0,0,26,12,2,12,57,46,0,0,0,158,121,73,62.4
ENG,"FW,MF",28,1989,0.8,0,0,0,1,0,5,3,1,0,0,0,0,1,0,2,0.0
ENG,"DF,MF",26,1991,23.0,6,0,0,23,39,1,35,31,36,0,0,0,105,13,27,32.5
ENG,MF,30,1986,20.6,2,0,0,9,14,1,21,16,12,0,0,0,123,32,44,42.1
BIH,GK,30,1987,38.0,2,0,0,2,7,0,0,2,0,0,1,0,23,8,2,80.0
COD,FW,24,1993,6.8,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7
ENG,FW,25,1992,22.0,0,0,0,37,35,20,15,3,5,0,0,0,64,21,79,21.0
ENG,"DF,MF",30,1986,33.4,0,0,0,7,18,0,106,31,34,0,1,0,214,43,44,49.4
ENG,MF,27,1990,21.6,8,0,0,38,25,2,6,25,25,0,1,0,151,54,55,49.5
USA,MF,21,1996,0.6,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
IRL,MF,27,1989,10.7,4,0,0,9,15,0,5,9,16,0,0,0,66,6,2,75.0
ENG,DF,20,1996,0.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
ENG,FW,34,1982,12.1,1,0,0,12,8,9,5,4,9,0,0,0,21,2,17,10.5
ENG,"MF,FW",21,1995,22.2,1,0,0,10,41,2,109,10,12,0,0,0,101,3,15,16.7
NOR,"FW,MF",25,1992,27.3,3,0,0,45,56,4,34,4,26,1,0,0,132,67,82,45.0
ENG,"MF,FW",27,1989,14.3,1,0,0,6,2,1,71,6,8,0,0,0,74,10,25,28.6
ENG,MF,20,1997,24.9,5,0,0,33,20,1,29,35,35,0,0,0,198,14,26,35.0
FRA,"FW,MF",21,1996,6.6,1,0,0,11,10,0,9,3,5,0,0,0,24,8,22,26.7
ENG,"MF,FW",30,1987,10.9,2,0,0,7,9,2,32,13,3,0,0,0,48,7,15,31.8
NED,DF,22,1995,37.3,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9
SCO,"MF,DF",23,1994,22.3,0,0,0,6,45,1,138,17,8,0,0,0,103,8,25,24.2
