Jogadores Utilizados,Idade Média,Posse (%),Partidas,Titularidades,Minutos Jogados,Jogos (90min),Gols,Assistências,Gols+Assistências,Gols sem Pênalti,Pênaltis Convertidos,Pênaltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols/90min,Assist/90min,G+A/90min,Gols SP/90min,G+A SP/90min,URL
31,27.6,38.3,34,374,3060,34,28,16,44,23,5,7,76,5,0.82,0.47,1.29,0.68,1.15,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats
27,25.3,62.0,34,374,3060,34,71,49,120,66,5,7,57,,2.09,1.44,3.53,1.94,3.38,/en/squads/add600ae/2016-2017/Dortmund-Stats
26,25.9,49.9,34,374,3060,34,35,24,59,33,2,6,86,1,1.03,0.71,1.74,0.97,1.68,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats
25,24.7,46.7,34,374,3060,34,42,28,70,36,6,8,56,0,1.24,0.82,2.06,1.06,1.88,/en/squads/a486e511/2016-2017/Freiburg-Stats
24,25.3,53.9,34,374,3060,34,44,27,71,43,1,4,50,2,1.29,0.79,2.09,1.26,2.06,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats
29,25.8,43.8,34,374,3060,34,32,26,58,32,0,2,77,2,0.94,0.76,1.71,0.94,1.71,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats
26,27.1,48.5,34,374,3060,34,42,26,68,37,5,5,67,2,1.24,0.76,2.0,1.09,1.85,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats
23,25.0,56.2,34,374,3060,34,64,47,111,59,5,5,63,0,1.88,1.38,3.26,1.74,3.12,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats
22,26.9,45.9,34,374,3060,34,35,20,55,29,6,8,75,3,1.03,0.59,1.62,0.85,1.44,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats
26,26.2,43.4,34,374,3060,34,49,36,85,46,3,4,74,1,1.44,1.06,2.5,1.35,2.41,/en/squads/bc357bf7/2016-2017/Koln-Stats
24,24.2,54.3,34,374,3060,34,53,39,92,49,4,9,56,3,1.56,1.15,2.71,1.44,2.59,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats
28,25.1,46.0,34,374,3060,34,43,28,71,36,7,7,73,3,1.26,0.82,2.09,1.06,1.88,/en/squads/a224b06a/2016-2017/Mainz-05-Stats
23,24.0,53.0,34,374,3060,34,62,49,111,59,3,4,68,1,1.82,1.44,3.26,1.74,3.18,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats
29,25.3,51.8,34,374,3060,34,45,30,75,43,2,4,69,0,1.32,0.88,2.21,1.26,2.15,/en/squads/c539e393/2016-2017/Schalke-04-Stats
