players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
32,49.8,38,21344,2127,6507,9961,5150,706,21341,479,292,61.0,187,39.0,11100,57832,29476,599,457,138,578,309,12789,1474,/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats
25,52.5,38,25312,2417,7654,11562,6304,1012,25303,454,260,57.3,193,42.5,14452,75884,42467,766,517,198,543,262,18210,1695,/en/squads/d609edc0/2020-2021/Internazionale-Stats
30,56.9,38,27067,2595,7973,12836,6507,1068,27057,684,451,65.9,233,34.1,15418,85068,46167,949,696,272,581,300,19722,1756,/en/squads/e0652b02/2020-2021/Juventus-Stats
30,53.0,38,24888,2487,7653,11527,5958,883,24878,553,297,53.7,256,46.3,14348,81890,44030,785,618,171,553,304,16794,1677,/en/squads/7213da33/2020-2021/Lazio-Stats
29,51.7,38,23790,2347,7303,10849,5914,944,23770,670,415,61.9,254,37.9,13083,73292,39841,784,562,187,616,299,15747,1474,/en/squads/dc56fe14/2020-2021/Milan-Stats
25,55.1,38,25980,2237,7377,12383,6476,987,25972,628,386,61.5,242,38.5,16098,84118,43648,884,614,236,482,255,18764,1699,/en/squads/d48ad4ff/2020-2021/Napoli-Stats
42,47.8,38,22445,2749,8081,10168,4419,646,22440,589,362,61.5,227,38.5,12613,65609,35173,607,448,136,561,292,14679,1306,/en/squads/eab4234c/2020-2021/Parma-Stats
31,52.2,38,23629,2212,6881,11582,5423,832,23621,663,397,59.9,266,40.1,13394,78708,41907,863,613,198,510,224,16417,1571,/en/squads/cf74a709/2020-2021/Roma-Stats
27,45.2,38,21722,2527,7324,9501,5135,697,21716,484,292,60.3,192,39.7,11277,58754,29752,588,441,115,566,287,13319,1353,/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
28,60.3,38,27668,2623,8138,13259,6493,844,27654,718,428,59.6,290,40.4,16435,85562,46650,770,625,182,573,313,20177,1733,/en/squads/e2befd26/2020-2021/Sassuolo-Stats
35,51.9,38,23299,2444,7772,10506,5279,757,23294,528,322,61.0,206,39.0,13645,72056,35873,625,453,174,606,295,15418,1377,/en/squads/68449f6d/2020-2021/Spezia-Stats
29,47.3,38,21242,2335,7170,9771,4561,660,21236,635,388,61.1,246,38.7,11765,63238,32606,617,474,99,576,297,13252,1125,/en/squads/105360fe/2020-2021/Torino-Stats
33,46.3,38,21424,2297,6915,9602,5119,737,21420,611,376,61.5,233,38.1,12449,66592,34279,672,502,145,604,330,13800,1397,/en/squads/04eea015/2020-2021/Udinese-Stats
