nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
SRB,"FW,MF",22,1994,11.2,,12,,,,,,,,,,,14,,,
NOR,"DF,MF",24,1992,7.1,,9,,,,,,,,,,,5,,,
ENG,DF,32,1983,19.1,,12,,,,,,,,,,,29,,,
NOR,"DF,MF",24,1991,6.8,,4,,,,,,,,,,,10,,,
SEN,"FW,MF",26,1990,12.2,,10,,,,,,,,,,,2,,,
SCO,"FW,MF",28,1987,19.0,,22,,,,,,,,,,,11,,,
ENG,MF,25,1991,10.3,,10,,,,,,,,,,,14,,,
ENG,MF,25,1990,35.4,,60,,,,,,,,,,,52,,,
SCO,"FW,MF",33,1983,3.1,,6,,,,,,,,,,,1,,,
ENG,MF,29,1986,22.5,,25,,,,,,,,,,,48,,,
IRL,"FW,MF",23,1993,3.1,,0,,,,,,,,,,,1,,,
NGA,"FW,MF",23,1992,8.5,,12,,,,,,,,,,,11,,,
WAL,MF,27,1988,16.1,,29,,,,,,,,,,,26,,,
ENG,"DF,MF",19,1996,7.8,,15,,,,,,,,,,,27,,,
AUT,"DF,MF",30,1986,34.5,,76,,,,,,,,,,,68,,,
GHA,"DF,MF",21,1994,18.6,,29,,,,,,,,,,,27,,,
ENG,MF,26,1990,27.4,,58,,,,,,,,,,,42,,,
ENG,DF,29,1987,33.2,,41,,,,,,,,,,,69,,,
JAM,"FW,MF",20,1996,11.7,,14,,,,,,,,,,,11,,,
ALG,FW,28,1988,14.2,,10,,,,,,,,,,,3,,,
ENG,FW,29,1987,31.1,,14,,,,,,,,,,,10,,,
GHA,"DF,FW",23,1992,1.6,,5,,,,,,,,,,,0,,,
DEN,GK,29,1986,29.6,,2,,,,,,,,,,,1,,,
ARG,FW,30,1986,5.0,,8,,,,,,,,,,,2,,,
ESP,DF,27,1989,3.6,,5,,,,,,,,,,,9,,,
ENG,"DF,FW",26,1989,26.8,,45,,,,,,,,,,,38,,,
POL,DF,36,1980,1.0,,1,,,,,,,,,,,2,,,
ENG,MF,25,1991,0.0,,0,,,,,,,,,,,0,,,
SEN,MF,24,1992,3.0,,1,,,,,,,,,,,6,,,
ALG,"FW,MF",25,1991,31.4,,24,,,,,,,,,,,28,,,
GER,DF,31,1984,32.5,,24,,,,,,,,,,,44,,,
GER,GK,27,1989,8.4,,0,,,,,,,,,,,0,,,
JPN,"FW,MF",30,1986,17.4,,26,,,,,,,,,,,14,,,
JAM,DF,32,1984,27.0,,15,,,,,,,,,,,56,,,
NGA,"DF,MF",19,1996,16.9,,39,,,,,,,,,,,38,,,
TUN,DF,29,1987,10.2,,15,,,,,,,,,,,27,,,
ENG,"FW,MF",28,1988,26.0,,35,,,,,,,,,,,20,,,
ESP,"DF,MF",24,1992,3.4,,6,,,,,,,,,,,2,,,
WAL,"FW,MF",16,1999,1.0,,3,,,,,,,,,,,0,,,
ENG,"FW,MF",26,1989,8.6,,1,,,,,,,,,,,3,,,
CRO,DF,27,1989,28.4,,32,,,,,,,,,,,47,,,
BEL,"FW,MF",21,1995,16.3,,11,,,,,,,,,,,2,,,
GER,"DF,MF",22,1994,26.3,,54,,,,,,,,,,,32,,,
NED,"FW,MF",25,1990,33.0,,36,,,,,,,,,,,25,,,
ENG,"DF,MF",30,1986,35.0,,64,,,,,,,,,,,44,,,
ENG,MF,26,1990,23.5,,64,,,,,,,,,,,47,,,
CMR,"DF,MF",24,1991,27.3,,37,,,,,,,,,,,49,,,
JAM,"DF,MF",22,1993,0.2,,0,,,,,,,,,,,0,,,
GER,GK,23,1993,10.0,,0,,,,,,,,,,,1,,,
BRA,MF,29,1987,12.4,,26,,,,,,,,,,,36,,,
SRB,MF,20,1996,0.5,,0,,,,,,,,,,,0,,,
ENG,DF,25,1991,36.9,,66,,,,,,,,,,,46,,,
ENG,"FW,MF",18,1997,0.1,,0,,,,,,,,,,,0,,,
BRA,"FW,MF",24,1992,24.7,,25,,,,,,,,,,,18,,,
EST,DF,30,1985,15.7,,17,,,,,,,,,,,14,,,
BRA,"FW,MF",24,1991,34.0,,42,,,,,,,,,,,25,,,
SEN,"FW,MF",24,1992,24.8,,18,,,,,,,,,,,11,,,
BEL,GK,28,1988,28.0,,1,,,,,,,,,,,1,,,
ENG,DF,17,1998,1.9,,2,,,,,,,,,,,2,,,
ESP,MF,19,1997,0.9,,2,,,,,,,,,,,4,,,
SRB,DF,30,1985,28.2,,35,,,,,,,,,,,47,,,
FRA,DF,33,1983,15.0,,16,,,,,,,,,,,23,,,
CHI,GK,33,1983,21.9,,0,,,,,,,,,,,0,,,
ESP,"FW,MF",30,1986,30.7,,32,,,,,,,,,,,20,,,
ENG,"DF,MF",26,1989,2.5,,4,,,,,,,,,,,7,,,
BRA,"DF,MF",31,1985,30.6,,55,,,,,,,,,,,65,,,
BRA,"DF,MF",29,1987,6.3,,14,,,,,,,,,,,14,,,
BRA,"FW,MF",19,1997,7.2,,7,,,,,,,,,,,3,,,
FRA,DF,31,1985,23.6,,34,,,,,,,,,,,53,,,
ESP,"DF,FW",30,1985,11.8,,18,,,,,,,,,,,21,,,
ENG,DF,22,1994,22.4,,22,,,,,,,,,,,42,,,
NGA,"FW,MF",19,1996,6.0,,5,,,,,,,,,,,0,,,
BEL,"FW,MF",25,1991,32.0,,35,,,,,,,,,,,24,,,
GER,"FW,MF",20,1996,19.8,,22,,,,,,,,,,,17,,,
ARG,DF,28,1988,28.8,,50,,,,,,,,,,,83,,,
ESP,"FW,MF",29,1986,8.6,,11,,,,,,,,,,,6,,,
ARG,"DF,MF",31,1985,11.8,,28,,,,,,,,,,,27,,,
ENG,"FW,MF",21,1994,27.9,,20,,,,,,,,,,,20,,,
FRA,"FW,MF",29,1987,0.2,,0,,,,,,,,,,,0,,,
ARG,FW,28,1988,26.7,,14,,,,,,,,,,,4,,,
BEL,DF,30,1986,9.1,,11,,,,,,,,,,,19,,,
ARG,GK,34,1981,16.1,,1,,,,,,,,,,,0,,,
CIV,MF,33,1983,21.6,,31,,,,,,,,,,,19,,,
GER,MF,25,1990,7.8,,9,,,,,,,,,,,9,,,
ESP,MF,26,1989,27.4,,63,,,,,,,,,,,86,,,
ENG,"FW,MF",15,2000,0.0,,0,,,,,,,,,,,0,,,
FRA,"FW,MF",20,1995,17.3,,16,,,,,,,,,,,9,,,
ECU,"DF,MF",30,1985,27.6,,44,,,,,,,,,,,43,,,
ENG,"DF,FW",31,1985,8.4,,16,,,,,,,,,,,15,,,
COD,DF,18,1997,3.4,,4,,,,,,,,,,,7,,,
ENG,DF,26,1989,13.5,,10,,,,,,,,,,,13,,,
NED,"DF,MF",26,1990,20.3,,34,,,,,,,,,,,44,,,
ESP,GK,25,1990,35.0,,0,,,,,,,,,,,0,,,
ENG,"DF,MF",19,1997,1.0,,4,,,,,,,,,,,3,,,
CIV,DF,22,1994,22.9,,43,,,,,,,,,,,66,,,
ARM,"FW,MF",27,1989,15.0,,18,,,,,,,,,,,22,,,
ENG,"FW,MF",23,1992,15.1,,16,,,,,,,,,,,15,,,
POR,GK,20,1996,1.0,,0,,,,,,,,,,,0,,,
ENG,MF,20,1995,1.0,,3,,,,,,,,,,,0,,,
ESP,"FW,MF",28,1988,17.9,,18,,,,,,,,,,,13,,,
ENG,"DF,MF",21,1995,7.6,,7,,,,,,,,,,,14,,,
ARG,DF,26,1990,18.5,,22,,,,,,,,,,,35,,,
ENG,"FW,MF",18,1997,19.0,,14,,,,,,,,,,,14,,,
BEL,MF,28,1987,17.8,,41,,,,,,,,,,,30,,,
ITA,"DF,MF",26,1989,14.8,,28,,,,,,,,,,,38,,,
NED,"FW,MF",22,1994,0.3,,1,,,,,,,,,,,0,,,
ENG,MF,35,1981,17.8,,18,,,,,,,,,,,44,,,
FRA,MF,26,1989,0.2,,0,,,,,,,,,,,1,,,
FRA,MF,23,1993,29.0,,40,,,,,,,,,,,37,,,
ENG,"DF,MF",24,1992,17.6,,25,,,,,,,,,,,27,,,
SCO,MF,19,1996,1.1,,1,,,,,,,,,,,2,,,
ARG,GK,29,1987,2.0,,0,,,,,,,,,,,0,,,
NED,DF,18,1998,1.1,,4,,,,,,,,,,,2,,,
ENG,"FW,MF",30,1985,17.1,,11,,,,,,,,,,,18,,,
SWE,FW,34,1981,27.1,,6,,,,,,,,,,,12,,,
ENG,MF,27,1989,31.2,,54,,,,,,,,,,,68,,,
ENG,MF,24,1991,29.9,,42,,,,,,,,,,,36,,,
ESP,"FW,MF",20,1996,17.1,,26,,,,,,,,,,,7,,,
ALG,MF,30,1985,1.6,,5,,,,,,,,,,,3,,,
GHA,"DF,FW",28,1987,1.4,,4,,,,,,,,,,,2,,,
ESP,"DF,MF",29,1987,24.4,,54,,,,,,,,,,,61,,,
ENG,DF,23,1993,38.0,,27,,,,,,,,,,,59,,,
COL,DF,27,1989,10.8,,17,,,,,,,,,,,21,,,
USA,GK,31,1984,10.0,,1,,,,,,,,,,,1,,,
ENG,"DF,MF",21,1995,24.0,,38,,,,,,,,,,,50,,,
URU,"FW,MF",29,1986,15.0,,26,,,,,,,,,,,10,,,
ESP,DF,25,1990,10.2,,8,,,,,,,,,,,27,,,
ENG,FW,31,1985,0.5,,1,,,,,,,,,,,0,,,
EQG,"DF,FW",26,1989,3.6,,2,,,,,,,,,,,6,,,
BRA,DF,26,1990,20.5,,51,,,,,,,,,,,37,,,
URU,"FW,MF",25,1990,17.1,,37,,,,,,,,,,,15,,,
ENG,"DF,MF",28,1987,21.8,,49,,,,,,,,,,,56,,,
ENG,MF,30,1986,7.9,,12,,,,,,,,,,,9,,,
ENG,DF,22,1994,0.6,,0,,,,,,,,,,,0,,,
SCO,FW,26,1990,2.3,,1,,,,,,,,,,,0,,,
NED,"DF,MF",25,1991,30.8,,50,,,,,,,,,,,46,,,
ENG,"FW,MF",22,1993,3.2,,5,,,,,,,,,,,4,,,
BEN,FW,27,1988,5.9,,6,,,,,,,,,,,3,,,
ENG,"FW,MF",32,1984,24.6,,20,,,,,,,,,,,34,,,
DEN,"FW,MF",22,1994,4.9,,4,,,,,,,,,,,1,,,
ESP,GK,34,1982,28.0,,1,,,,,,,,,,,3,,,
ESP,FW,30,1985,31.9,,17,,,,,,,,,,,11,,,
ENG,FW,27,1989,10.4,,12,,,,,,,,,,,4,,,
CUW,"DF,MF",26,1989,6.6,,9,,,,,,,,,,,14,,,
POR,"DF,MF",24,1991,27.9,,61,,,,,,,,,,,37,,,
SRB,"FW,MF",27,1988,26.8,,16,,,,,,,,,,,19,,,
ENG,GK,28,1988,38.0,,2,,,,,,,,,,,0,,,
ENG,MF,21,1995,0.7,,2,,,,,,,,,,,5,,,
ENG,DF,22,1994,16.3,,18,,,,,,,,,,,27,,,
ENG,MF,21,1994,20.9,,21,,,,,,,,,,,19,,,
ENG,"FW,MF",27,1989,9.9,,6,,,,,,,,,,,2,,,
NED,MF,25,1991,11.3,,9,,,,,,,,,,,15,,,
ENG,MF,19,1997,2.3,,3,,,,,,,,,,,1,,,
POR,DF,32,1983,17.0,,20,,,,,,,,,,,37,,,
FRA,"DF,FW",27,1989,1.4,,2,,,,,,,,,,,3,,,
ITA,FW,24,1991,8.0,,3,,,,,,,,,,,3,,,
URU,DF,29,1987,1.0,,1,,,,,,,,,,,1,,,
ENG,"DF,MF",20,1995,4.1,,8,,,,,,,,,,,8,,,
JPN,DF,27,1988,23.0,,21,,,,,,,,,,,48,,,
ENG,"FW,MF",22,1994,32.2,,27,,,,,,,,,,,15,,,
ESP,MF,24,1991,34.1,,90,,,,,,,,,,,95,,,
DEN,MF,20,1995,14.5,,31,,,,,,,,,,,31,,,
ENG,"DF,MF",26,1989,27.9,,26,,,,,,,,,,,48,,,
ENG,MF,21,1995,6.8,,11,,,,,,,,,,,15,,,
IRL,FW,29,1987,14.0,,11,,,,,,,,,,,5,,,
MAR,"FW,MF",22,1993,12.3,,26,,,,,,,,,,,7,,,
NIR,MF,31,1985,29.4,,41,,,,,,,,,,,26,,,
NED,DF,25,1991,20.6,,30,,,,,,,,,,,54,,,
ESP,"FW,MF",25,1990,5.3,,5,,,,,,,,,,,3,,,
NED,DF,24,1992,35.0,,42,,,,,,,,,,,66,,,
SCO,MF,30,1985,16.6,,17,,,,,,,,,,,24,,,
NED,"DF,MF",27,1988,35.0,,78,,,,,,,,,,,58,,,
USA,"DF,MF",31,1985,18.1,,36,,,,,,,,,,,34,,,
COD,MF,23,1992,8.8,,10,,,,,,,,,,,4,,,
ENG,DF,31,1984,21.7,,37,,,,,,,,,,,42,,,
IRL,MF,32,1984,25.3,,31,,,,,,,,,,,41,,,
NED,"FW,MF",30,1986,4.3,,2,,,,,,,,,,,5,,,
ENG,GK,23,1993,5.0,,0,,,,,,,,,,,0,,,
