nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
GER,MF,26,1997,13.6,15,12,7,8,0,8,26,30.8,18,8,6,2,14,29,8,0
FRA,"DF,FW",26,1996,26.1,25,13,13,10,2,11,20,55.0,9,22,3,19,9,34,35,1
ARM,"MF,FW",20,2003,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
USA,DF,20,2002,24.8,41,28,21,17,3,23,40,57.5,17,31,11,20,18,59,78,2
SUI,GK,29,1994,7.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0
USA,FW,27,1996,15.8,10,4,0,8,2,3,8,37.5,5,12,3,9,5,15,28,0
GER,MF,27,1995,30.7,66,40,28,32,6,41,67,61.2,26,47,14,33,48,114,61,1
JPN,"DF,MF",26,1997,17.7,34,21,17,15,2,16,26,61.5,10,32,18,14,22,56,62,0
GER,DF,20,2003,24.7,38,22,19,16,3,23,43,53.5,20,36,10,26,22,60,76,1
GER,"DF,FW",19,2004,0.5,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,1,0
FRA,MF,22,2001,17.3,45,26,20,20,5,17,25,68.0,8,22,1,21,15,60,16,1
GER,DF,27,1995,17.4,23,15,16,6,1,12,20,60.0,8,28,20,8,17,40,87,0
AUT,DF,25,1998,23.0,66,31,40,25,1,31,53,58.5,22,47,26,21,38,104,111,0
GER,GK,25,1997,27.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,12,5
CMR,"FW,MF",23,2000,15.4,37,22,17,18,2,16,34,47.1,18,22,0,22,5,42,17,1
SUI,DF,26,1996,27.6,33,18,22,10,1,18,24,75.0,6,40,25,15,43,76,150,2
GER,"FW,DF",32,1991,1.0,4,4,2,1,1,2,2,100.0,0,1,0,1,1,5,2,0
GER,"FW,MF",24,1998,15.0,15,8,6,7,2,4,17,23.5,13,16,0,16,14,29,21,0
GER,MF,21,2002,23.7,61,36,28,29,4,28,55,50.9,27,61,20,41,44,105,31,1
JPN,"FW,MF",19,2004,0.4,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0
AUT,"DF,MF",30,1992,8.3,23,16,15,8,0,14,24,58.3,10,13,6,7,5,28,28,0
CZE,FW,22,2000,10.0,4,3,0,2,2,1,3,33.3,2,5,1,4,2,6,8,0
GER,"DF,MF",33,1990,0.3,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,4,0
LUX,"MF,FW",19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,"MF,FW",26,1997,10.8,22,13,8,12,2,9,24,37.5,15,17,0,17,4,26,15,0
GER,DF,26,1997,22.5,40,24,25,14,1,19,35,54.3,16,27,17,10,16,56,101,1
GER,MF,27,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,"MF,FW",30,1992,5.0,9,6,4,4,1,5,11,45.5,6,3,2,1,4,13,13,0
GER,"FW,MF",21,2001,29.4,32,18,16,13,3,19,48,39.6,29,40,4,36,12,44,21,0
GER,"MF,FW",27,1995,3.6,4,4,3,0,1,2,3,66.7,1,2,0,2,2,6,2,0
GER,MF,24,1999,22.2,48,26,26,20,2,21,42,50.0,21,37,7,30,26,74,57,0
GER,"FW,MF",24,1999,28.9,77,49,35,24,18,28,55,50.9,27,48,1,47,18,95,31,0
GER,DF,27,1996,31.0,44,24,24,14,6,19,36,52.8,17,34,19,15,31,75,70,0
GER,GK,32,1991,34.0,3,0,3,0,0,3,5,60.0,2,0,0,0,0,3,6,1
GER,"MF,FW",23,2000,11.2,17,10,9,6,2,7,16,43.8,9,12,1,11,4,21,17,0
USA,MF,23,1999,25.4,43,26,14,24,5,25,59,42.4,34,33,9,24,25,68,88,0
GER,DF,28,1994,6.6,11,9,6,3,2,7,12,58.3,5,9,2,7,10,21,12,0
GER,"MF,FW",23,1999,16.8,19,12,5,11,3,8,20,40.0,12,28,4,24,12,31,21,0
AUT,"MF,FW",29,1994,7.3,14,9,2,10,2,5,25,20.0,20,9,0,9,1,15,3,0
GER,"MF,DF",36,1987,14.0,24,16,13,7,4,13,22,59.1,9,16,6,10,14,38,21,0
GER,DF,25,1998,27.5,60,33,33,21,6,32,56,57.1,24,32,7,25,40,100,54,1
GER,DF,28,1994,34.0,85,49,58,24,3,38,74,51.4,36,66,32,34,49,134,158,1
GER,"MF,FW",29,1994,1.7,1,1,0,1,0,0,3,0.0,3,2,0,2,1,2,6,0
GER,"MF,FW",23,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,FW,27,1995,31.9,21,12,6,11,4,7,25,28.0,18,32,8,24,12,33,58,0
GER,DF,23,2000,10.1,27,11,21,6,0,8,20,40.0,12,16,10,6,21,48,29,1
CRO,"MF,FW",32,1991,24.4,11,2,5,4,2,6,13,46.2,7,14,2,12,10,21,12,2
GER,MF,22,2001,0.9,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0
GER,MF,24,1998,25.8,73,42,40,27,6,33,63,52.4,30,38,12,26,72,145,67,1
HUN,DF,25,1998,3.2,3,1,3,0,0,1,4,25.0,3,6,2,4,1,4,7,0
GER,"MF,FW",20,2003,0.5,3,3,2,0,1,1,1,100.0,0,0,0,0,0,3,0,0
CZE,DF,22,2000,5.5,14,11,13,1,0,7,17,41.2,10,7,2,5,3,17,22,1
GER,MF,25,1998,0.7,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0
MLI,MF,27,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
GER,MF,23,2000,6.7,10,9,8,2,0,4,17,23.5,13,9,1,8,1,11,10,0
AUT,"DF,MF",27,1995,25.5,54,28,31,19,4,22,54,40.7,32,41,20,21,52,106,90,2
GER,MF,28,1995,23.8,32,18,11,15,6,14,32,43.8,18,22,6,16,22,54,36,0
TOG,"FW,DF",29,1994,18.2,22,12,10,8,4,8,16,50.0,8,13,2,11,14,36,15,0
USA,DF,30,1993,17.1,28,15,17,10,1,15,30,50.0,15,29,17,12,27,55,109,1
GER,"FW,MF",25,1998,0.5,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
GHA,DF,28,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NGA,DF,28,1995,12.2,35,18,22,12,1,26,35,74.3,9,28,8,20,18,53,32,0
GER,DF,31,1991,14.7,14,10,7,7,0,8,13,61.5,5,16,13,3,9,23,54,0
GER,"DF,FW",30,1993,15.0,18,11,9,5,4,12,23,52.2,11,17,3,14,10,28,20,0
GER,"DF,FW",,,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
GER,"FW,MF",20,2002,26.9,20,12,5,11,4,4,19,21.1,15,21,1,20,9,29,12,0
GER,FW,25,1998,1.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
GER,GK,33,1990,34.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,19,2
TUR,DF,23,2000,25.4,48,35,32,14,2,19,33,57.6,14,43,21,22,46,94,106,2
CZE,"DF,FW",31,1992,26.8,31,19,10,15,6,18,40,45.0,22,22,8,14,23,54,68,0
DEN,"DF,FW",27,1996,14.0,24,16,15,8,1,17,36,47.2,19,17,4,13,10,34,23,1
FRA,DF,24,1999,7.0,21,10,12,8,1,17,29,58.6,12,13,2,11,8,29,33,0
GER,DF,18,2005,6.4,16,9,12,4,0,8,17,47.1,9,12,8,4,8,24,14,0
GER,"MF,FW",18,2005,2.0,8,4,6,1,1,2,9,22.2,7,3,0,3,1,9,2,0
GER,MF,18,2004,11.2,16,12,9,7,0,6,19,31.6,13,11,1,10,6,22,12,0
NED,FW,30,1992,22.0,13,6,4,7,2,9,15,60.0,6,25,8,17,6,19,24,0
GER,DF,28,1994,12.8,27,15,20,7,0,17,34,50.0,17,19,4,15,7,34,29,0
USA,"FW,MF",19,2004,2.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0
GER,FW,28,1995,14.1,4,2,1,3,0,0,2,0.0,2,5,3,2,0,4,20,0
AUT,"MF,FW",25,1997,22.8,43,27,20,18,5,20,43,46.5,23,22,2,20,18,61,11,0
BIH,MF,22,2001,18.1,38,18,17,15,6,20,31,64.5,11,26,1,25,13,51,14,0
GER,DF,29,1993,6.3,12,5,6,6,0,8,12,66.7,4,6,1,5,3,15,28,0
GER,MF,21,2002,27.3,70,43,32,34,4,37,67,55.2,30,65,19,46,43,113,80,0
GER,"FW,MF",22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1
GER,"FW,MF",24,1998,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
AUT,"MF,FW",30,1992,24.4,28,20,8,13,7,17,39,43.6,22,20,6,14,13,41,23,1
DEN,MF,22,2001,2.4,10,6,7,3,0,4,7,57.1,3,8,2,6,4,14,4,0
GER,"FW,DF",21,2002,17.5,28,18,13,9,6,12,24,50.0,12,31,6,25,8,36,28,0
GER,DF,25,1998,30.0,59,42,40,17,2,35,59,59.3,24,66,43,23,45,104,145,0
GER,"FW,MF",18,2004,1.9,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,1
KVX,DF,28,1994,11.9,21,11,9,9,3,11,22,50.0,11,17,5,12,10,31,30,1
GER,"FW,MF",24,1999,21.1,18,15,11,5,2,9,28,32.1,19,12,1,11,6,24,12,0
GER,DF,23,1999,7.1,16,9,15,1,0,9,14,64.3,5,12,5,7,7,23,28,0
GER,"MF,FW",27,1996,12.7,19,12,4,12,3,5,16,31.3,11,18,3,15,6,25,8,1
GER,"MF,FW",31,1991,4.1,8,4,2,3,3,4,12,33.3,8,6,0,6,1,9,2,0
GER,GK,28,1995,34.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,10,1
LUX,"MF,FW",22,2001,1.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
GER,"DF,FW",19,2004,19.5,65,39,40,25,0,39,74,52.7,35,35,10,25,22,87,39,0
DEN,"DF,FW",22,2000,18.4,47,22,23,20,4,31,56,55.4,25,38,9,29,20,67,50,2
ARM,"FW,MF",30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0
GER,FW,25,1998,8.1,10,6,4,5,1,3,7,42.9,4,4,2,2,1,11,12,0
GER,DF,27,1996,30.9,68,47,51,14,3,49,80,61.3,31,54,28,26,63,131,168,1
CZE,"MF,FW",21,2002,5.1,10,4,2,4,4,3,7,42.9,4,4,1,3,2,12,1,0
MAR,"MF,FW",23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0
BRA,DF,20,2003,2.0,4,3,2,0,2,2,2,100.0,0,1,1,0,0,4,7,0
ESP,FW,30,1993,2.8,1,0,0,1,0,0,1,0.0,1,2,0,2,1,2,1,0
BFA,DF,24,1999,23.2,34,25,17,15,2,17,24,70.8,7,21,10,11,24,58,52,3
ARG,MF,24,1998,20.3,60,34,28,26,6,26,53,49.1,27,24,0,24,29,89,20,2
GER,MF,20,2003,26.4,27,18,7,14,6,9,29,31.0,20,36,2,34,9,36,3,0
SUI,MF,30,1992,31.3,29,21,11,14,4,9,30,30.0,21,29,8,21,19,48,42,0
COL,"DF,MF",20,2003,0.5,5,3,2,2,1,1,2,50.0,1,2,0,2,0,5,0,0
NED,DF,22,2000,25.0,26,17,12,7,7,8,20,40.0,12,26,0,26,7,33,17,0
GER,MF,31,1992,24.5,20,14,6,9,5,10,24,41.7,14,18,0,18,8,28,6,0
GER,DF,27,1996,29.2,19,9,10,7,2,5,16,31.3,11,28,23,5,23,42,97,1
CRO,DF,23,2000,14.0,38,20,19,13,6,22,33,66.7,11,18,3,15,9,47,26,0
FIN,GK,33,1989,33.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,10,2
CZE,GK,23,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,MF,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0
NGA,"DF,MF",24,1999,9.1,13,8,6,5,2,5,10,50.0,5,10,0,10,3,16,8,0
BEL,MF,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
CIV,DF,22,2001,20.1,30,20,11,12,7,15,26,57.7,11,27,3,24,27,57,43,1
CZE,FW,27,1996,11.8,6,4,0,3,3,1,5,20.0,4,2,0,2,1,7,7,0
ECU,DF,21,2002,16.5,35,22,14,17,4,13,17,76.5,4,18,7,11,13,48,43,0
GER,"MF,DF",28,1994,18.8,30,18,8,14,8,13,24,54.2,11,15,4,11,20,50,17,0
NGA,FW,22,2000,17.2,6,4,0,1,5,1,4,25.0,3,6,1,5,0,6,13,0
ESP,DF,27,1995,30.9,45,24,26,10,9,30,55,54.5,25,32,7,25,22,67,41,0
NOR,DF,26,1997,11.0,20,12,10,8,2,10,16,62.5,6,10,4,6,11,31,41,0
FRA,DF,26,1997,27.6,56,23,30,25,1,27,44,61.4,17,43,7,36,32,88,45,0
GER,MF,24,1998,1.9,3,0,2,0,1,2,4,50.0,2,5,0,5,2,5,5,0
NED,"MF,DF",28,1995,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
MAR,"MF,FW",25,1998,3.6,9,5,2,6,1,3,6,50.0,3,7,0,7,2,11,1,0
GER,"MF,FW",19,2004,18.2,22,14,5,11,6,14,24,58.3,10,15,0,15,5,27,4,0
GER,GK,32,1991,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
GER,DF,30,1993,9.2,18,9,9,7,2,9,19,47.4,10,17,4,13,16,34,24,0
GER,"FW,DF",22,2000,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
GER,"DF,MF",29,1994,24.3,65,42,36,25,4,36,57,63.2,21,27,6,21,43,108,58,0
SUI,DF,27,1996,14.3,25,16,15,9,1,16,24,66.7,8,14,6,8,22,47,52,0
GER,"FW,MF",23,2000,2.0,1,1,0,1,0,0,0,,0,3,1,2,3,4,0,0
GER,"FW,MF",23,2000,17.1,12,8,2,6,4,4,11,36.4,7,16,3,13,3,15,2,0
FRA,DF,32,1990,4.5,15,10,10,5,0,6,7,85.7,1,13,7,6,13,28,21,0
AUT,"FW,MF",31,1992,16.6,17,8,4,6,7,6,11,54.5,5,18,4,14,2,19,7,0
LUX,MF,23,2000,29.0,65,40,19,37,9,30,50,60.0,20,45,16,29,36,101,53,0
KOR,"MF,FW",30,1992,23.5,33,20,11,16,6,13,39,33.3,26,22,2,20,27,60,23,0
FRA,FW,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0
GER,"MF,FW",25,1997,8.0,10,4,5,3,2,4,11,36.4,7,9,0,9,2,12,1,0
GER,MF,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,DF,25,1998,4.2,6,3,5,1,0,3,6,50.0,3,2,0,2,4,10,13,0
GER,"MF,DF",22,2001,2.9,5,4,2,3,0,0,4,0.0,4,1,0,1,4,9,2,0
GER,MF,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0
GER,"FW,MF",18,2005,1.4,2,1,2,0,0,2,3,66.7,1,1,0,1,1,3,0,0
AUT,DF,29,1994,22.2,34,15,15,16,3,16,33,48.5,17,27,3,24,17,51,47,0
GER,GK,28,1994,30.0,2,2,2,0,0,2,5,40.0,3,1,0,1,1,3,19,1
NED,DF,21,2001,31.5,38,23,20,15,3,15,26,57.7,11,66,36,30,43,81,159,2
SUI,DF,30,1993,13.8,23,10,12,8,3,17,28,60.7,11,18,5,13,16,39,37,0
GER,DF,31,1991,7.4,8,8,7,1,0,4,8,50.0,4,7,5,2,6,14,30,0
GER,MF,22,2001,15.0,57,33,22,31,4,21,58,36.2,37,33,4,29,17,74,28,0
MLI,MF,25,1998,17.0,42,27,24,16,2,23,41,56.1,18,28,6,22,21,63,37,0
GER,DF,26,1997,28.1,68,39,32,26,10,27,58,46.6,31,49,4,45,33,101,37,0
SVN,FW,20,2003,17.0,13,5,2,7,4,2,9,22.2,7,23,2,21,3,16,27,0
FRA,DF,20,2002,24.3,19,12,10,9,0,10,12,83.3,2,35,13,22,12,31,94,2
AUT,"MF,FW",23,1999,12.9,26,13,10,12,4,14,38,36.8,24,20,1,19,5,31,14,0
GER,"DF,MF",28,1994,0.5,2,1,2,0,0,1,1,100.0,0,0,0,0,2,4,2,0
ESP,MF,25,1998,16.1,26,18,14,8,4,10,22,45.5,12,7,0,7,13,39,12,1
GER,DF,25,1998,30.4,58,35,24,29,5,34,58,58.6,24,51,9,42,27,85,82,2
FRA,"DF,MF",18,2005,0.4,1,0,1,0,0,0,0,,0,0,0,0,1,2,4,0
MKD,"MF,FW",23,1999,3.0,8,6,1,6,1,6,8,75.0,2,5,0,5,1,9,2,0
SWE,"MF,FW",31,1991,5.2,7,3,2,5,0,5,12,41.7,7,7,0,7,0,7,5,0
POR,MF,20,2002,1.8,3,1,0,2,1,1,3,33.3,2,8,0,8,0,3,1,0
GER,GK,32,1991,21.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,7,3
NOR,MF,16,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SVN,MF,32,1990,15.1,19,8,8,9,2,10,21,47.6,11,19,7,12,11,30,14,1
BEL,FW,23,2000,30.0,3,3,0,1,2,0,6,0.0,6,19,3,16,5,8,14,0
GER,DF,27,1996,16.0,15,10,7,7,1,4,13,30.8,9,25,12,13,13,28,64,1
FRA,DF,23,2000,23.8,48,29,28,19,1,32,44,72.7,12,36,14,22,29,77,69,0
AUT,MF,22,2001,8.0,33,18,16,15,2,16,25,64.0,9,12,2,10,8,41,15,0
GAM,FW,17,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HUN,GK,33,1990,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1
GER,"FW,MF",27,1996,2.3,2,1,0,1,1,0,0,,0,1,0,1,1,3,0,0
HUN,DF,30,1992,17.6,20,12,8,10,2,9,18,50.0,9,22,13,9,16,36,76,1
AUT,MF,25,1997,27.5,81,50,35,38,8,21,53,39.6,32,41,8,33,19,100,27,0
NED,MF,20,2003,29.5,30,17,10,11,9,15,31,48.4,16,23,0,23,16,46,4,0
DEN,FW,29,1994,13.5,13,8,1,9,3,4,14,28.6,10,13,3,10,4,17,15,0
GER,GK,26,1996,30.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,13,4
GER,MF,22,2001,29.9,55,33,15,34,6,24,42,57.1,18,41,13,28,28,83,25,2
FRA,DF,22,2001,11.2,21,12,14,5,2,13,21,61.9,8,14,8,6,8,29,28,0
,MF,26,1996,29.1,72,44,23,38,11,29,60,48.3,31,37,8,29,27,99,43,0
CRO,"FW,DF",25,1998,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
GER,"FW,MF",25,1998,28.5,30,19,6,14,10,16,37,43.2,21,31,0,31,7,37,7,0
FRA,DF,24,1999,16.1,21,14,16,5,0,4,8,50.0,4,23,18,5,20,41,78,1
GER,"FW,MF",27,1996,23.2,28,13,6,8,14,4,15,26.7,11,17,0,17,6,34,5,0
FRA,"MF,FW",21,2002,24.9,40,22,9,21,10,18,39,46.2,21,24,2,22,16,56,7,1
GER,GK,28,1995,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
JPN,MF,32,1991,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
JPN,DF,24,1999,24.8,19,18,13,6,0,11,26,42.3,15,29,17,12,29,48,86,2
GER,"FW,MF",22,2001,16.9,18,10,4,6,8,5,17,29.4,12,21,1,20,5,23,13,0
KOR,"MF,FW",23,1999,7.0,15,9,6,8,1,6,8,75.0,2,5,0,5,7,22,5,0
GER,DF,22,2000,13.1,28,18,15,11,2,15,30,50.0,15,11,5,6,2,30,16,1
SRB,"FW,MF",18,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SUI,DF,21,2002,6.6,15,8,7,7,1,9,13,69.2,4,8,1,7,5,20,13,0
GER,"MF,DF",20,2002,1.2,4,1,3,1,0,2,4,50.0,2,3,1,2,1,5,0,0
GER,"FW,MF",18,2005,0.3,3,1,2,1,0,0,0,,0,2,0,2,0,3,0,0
GER,MF,27,1996,2.5,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0
GER,DF,26,1997,23.4,91,51,46,39,6,53,89,59.6,36,36,6,30,46,137,65,0
GER,DF,27,1996,11.8,18,8,7,9,2,10,30,33.3,20,22,8,14,15,33,26,0
GER,"FW,DF",22,2000,0.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
GER,MF,18,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
GUI,FW,27,1996,24.5,6,3,1,4,1,2,5,40.0,3,8,1,7,6,12,29,0
COD,"FW,MF",24,1998,10.0,5,3,3,2,0,3,12,25.0,9,9,0,9,0,5,4,0
GER,DF,27,1996,32.1,39,25,21,16,2,23,42,54.8,19,33,20,13,40,79,150,1
CZE,MF,25,1998,15.2,19,14,7,10,2,8,20,40.0,12,15,4,11,11,30,30,0
GER,GK,31,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
GER,MF,18,2004,0.3,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0
HUN,MF,24,1999,13.5,29,16,9,15,5,11,20,55.0,9,25,4,21,20,49,25,0
TUN,MF,26,1996,11.9,21,12,4,12,5,4,12,33.3,8,26,2,24,12,33,14,2
GER,"FW,MF",22,2001,14.2,17,11,5,7,5,7,22,31.8,15,28,0,28,4,21,3,0
USA,"MF,FW",22,2000,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
CIV,"FW,MF",27,1996,1.6,2,1,0,2,0,0,1,0.0,1,3,0,3,0,2,2,0
AUT,DF,36,1987,18.3,23,15,12,10,1,13,33,39.4,20,16,3,13,13,36,57,0
NED,DF,25,1998,24.0,34,23,18,16,0,15,21,71.4,6,46,25,21,38,72,111,1
CIV,"FW,MF",20,2002,7.6,10,7,3,5,2,4,9,44.4,5,4,0,4,0,10,5,0
POR,DF,24,1999,30.0,52,36,31,15,6,25,51,49.0,26,48,22,26,47,99,155,1
DEN,GK,30,1992,33.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,20,2
GER,"MF,DF",29,1994,13.6,36,24,16,13,7,22,45,48.9,23,21,4,17,12,48,18,0
USA,FW,27,1996,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
CRO,DF,27,1995,14.4,20,14,11,7,2,10,21,47.6,11,17,3,14,12,32,27,1
FRA,DF,30,1993,8.4,16,9,6,7,3,8,12,66.7,4,13,4,9,5,21,26,0
GER,FW,32,1991,14.0,13,10,3,7,3,1,4,25.0,3,7,2,5,6,19,19,0
GER,DF,31,1991,14.7,10,9,6,4,0,6,12,50.0,6,22,15,7,7,17,72,2
GER,"FW,MF",31,1992,14.9,22,9,8,8,6,8,20,40.0,12,8,0,8,6,28,12,0
ITA,DF,36,1987,5.1,6,5,2,4,0,4,4,100.0,0,5,3,2,7,13,16,0
FRA,MF,26,1997,17.5,35,20,14,17,4,17,37,45.9,20,32,9,23,25,60,41,0
DEN,FW,22,2001,5.4,6,3,2,3,1,3,10,30.0,7,12,0,12,1,7,4,0
SRB,MF,27,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
GER,DF,25,1998,2.6,7,2,4,3,0,5,9,55.6,4,3,2,1,4,11,7,0
GER,MF,29,1994,14.9,35,22,15,19,1,17,26,65.4,9,12,5,7,22,57,38,0
GER,"DF,MF",29,1994,25.4,63,44,25,31,7,30,44,68.2,14,52,9,43,36,99,75,0
GER,DF,31,1992,21.3,34,22,27,7,0,19,30,63.3,11,27,19,8,13,47,73,0
SUR,"FW,MF",28,1995,7.2,3,3,0,2,1,0,2,0.0,2,2,0,2,0,3,2,0
BEL,"FW,MF",22,2001,6.6,3,2,0,3,0,1,4,25.0,3,8,0,8,1,4,3,0
GER,DF,25,1998,6.6,14,11,8,6,0,7,13,53.8,6,12,7,5,9,23,36,1
GER,DF,31,1991,28.7,37,23,21,14,2,18,33,54.5,15,39,17,22,24,61,102,0
GER,"DF,MF",34,1989,8.9,21,16,11,9,1,11,25,44.0,14,17,6,11,13,34,28,1
POL,FW,26,1997,4.2,1,1,1,0,0,1,4,25.0,3,3,1,2,0,1,1,0
NGA,"DF,MF",23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0
BUL,MF,23,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
NOR,MF,18,2004,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
DEN,MF,26,1996,25.9,52,22,21,23,8,18,50,36.0,32,42,23,19,23,75,55,0
CZE,GK,31,1992,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
USA,FW,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ARG,DF,22,2001,6.7,18,13,12,3,3,16,24,66.7,8,8,1,7,13,31,26,0
GER,FW,22,2000,11.3,5,1,2,2,1,3,9,33.3,6,9,1,8,2,7,6,0
GER,"FW,DF",18,2005,0.2,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
GER,MF,29,1993,17.5,42,18,20,17,5,15,39,38.5,24,18,1,17,13,55,6,0
AUT,DF,25,1998,24.4,53,32,38,15,0,36,48,75.0,12,45,29,16,35,88,129,0
GER,FW,29,1994,30.0,8,3,4,3,1,6,14,42.9,8,2,0,2,4,12,25,0
GER,GK,28,1995,27.0,3,1,3,0,0,3,3,100.0,0,0,0,0,0,3,7,3
SRB,DF,27,1995,21.3,31,15,17,13,1,16,31,51.6,15,31,20,11,17,48,57,0
GER,"DF,MF",29,1994,29.3,64,38,29,25,10,31,53,58.5,22,36,6,30,20,84,43,0
GUI,"MF,DF",28,1995,1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,2,3,1,0
GER,"FW,MF",21,2002,13.2,34,23,7,20,7,15,21,71.4,6,12,0,12,5,39,17,0
GER,FW,30,1993,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0
GER,DF,26,1996,0.8,3,2,2,1,0,2,2,100.0,0,2,0,2,2,5,8,0
GER,DF,28,1995,12.1,26,15,13,11,2,12,18,66.7,6,14,7,7,19,45,61,1
SCO,FW,26,1997,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
BEL,DF,23,2000,15.2,28,15,21,4,3,18,38,47.4,20,24,8,16,14,42,49,1
COL,FW,27,1995,11.0,10,7,2,4,4,5,16,31.3,11,8,2,6,2,12,10,0
AUT,"MF,FW",23,2000,28.9,35,20,7,22,6,14,46,30.4,32,36,7,29,11,46,17,2
BEL,MF,24,1999,20.0,64,38,33,27,4,30,70,42.9,40,41,8,33,41,105,56,0
FRA,MF,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0
SWE,"FW,MF",22,2001,4.3,3,2,1,2,0,1,2,50.0,1,6,1,5,2,5,1,0
BEL,MF,20,2002,12.8,32,15,11,11,10,15,28,53.6,13,17,6,11,14,46,29,0
GER,FW,17,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
SUI,DF,25,1998,18.2,19,9,13,4,2,10,22,45.5,12,32,21,11,15,34,88,1
GER,FW,18,2005,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
