nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
ARG,GK,32,1984,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
SVN,GK,32,1984,37.0,47,5,,,,,,,,,,,,,,,,,,,,,,,
IDN,GK,19,1997,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,38,1978,29.5,24,1,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,27,1989,7.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,33,1983,16.5,22,1,,,,,,,,,,,,,,,,,,,,,,,
CRO,GK,29,1987,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ALB,GK,21,1995,20.5,26,4,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,17,1999,38.0,45,5,,,,,,,,,,,,,,,,,,,,,,,
ESP,GK,33,1982,37.0,38,3,,,,,,,,,,,,,,,,,,,,,,,
BRA,GK,26,1990,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA,"FW,GK",21,1994,9.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
CRO,GK,20,1996,29.0,63,5,,,,,,,,,,,,,,,,,,,,,,,
ARG,GK,38,1977,29.0,68,5,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,26,1990,9.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
POL,GK,26,1990,38.0,38,2,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,35,1981,21.0,35,4,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,30,1985,17.0,20,2,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,29,1987,37.0,56,5,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,30,1985,2.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
ENG,GK,29,1987,36.0,62,6,,,,,,,,,,,,,,,,,,,,,,,
GRE,GK,31,1985,32.9,45,7,,,,,,,,,,,,,,,,,,,,,,,
ITA,GK,20,1996,5.1,11,1,,,,,,,,,,,,,,,,,,,,,,,
ALB,GK,28,1989,31.0,34,1,2,2,0,33.3,0.32,-0.7,-0.02,183,412,44.4,609,169,36.5,34.5,233,81.5,54.0,396,18,4.5,25,0.81,14.1
ITA,GK,26,1991,0.1,1,0,0,1,0,0.3,0.17,-0.7,-7.43,1,1,100.0,3,2,33.3,33.3,0,,,1,0,0.0,0,0.0,
ITA,GK,22,1995,6.9,4,0,0,1,0,5.6,0.34,1.6,0.24,22,51,43.1,145,24,17.2,29.9,50,52.0,44.9,90,2,2.2,5,0.72,15.7
ITA,GK,25,1991,12.5,31,2,0,6,0,26.0,0.35,-5.0,-0.4,87,263,33.1,384,63,47.7,39.4,116,69.0,51.1,204,20,9.8,27,2.16,16.3
ITA,GK,36,1981,13.1,26,5,0,3,0,24.8,0.31,-1.2,-0.09,84,194,43.3,359,88,32.6,32.9,120,64.2,44.0,206,18,8.7,15,1.15,14.1
SVN,GK,27,1990,12.4,27,3,1,1,2,28.9,0.36,3.9,0.32,54,171,31.6,264,70,42.0,37.4,108,55.6,43.4,209,13,6.2,9,0.73,11.4
BRA,GK,33,1983,4.0,5,1,0,1,0,5.0,0.24,0.0,-0.01,32,76,42.1,123,30,36.6,34.0,42,73.8,51.2,58,1,1.7,5,1.25,17.3
ITA,GK,34,1983,33.0,46,2,1,4,3,41.8,0.28,-1.2,-0.04,334,683,48.9,942,138,47.8,38.5,318,73.3,49.3,632,17,2.7,37,1.12,14.1
DOM,GK,25,1992,1.0,1,0,0,0,0,1.1,0.22,0.1,0.08,15,37,40.5,31,4,71.0,47.5,15,100.0,57.1,25,2,8.0,1,1.0,11.5
ITA,GK,23,1994,28.2,47,6,4,1,1,43.7,0.28,-2.3,-0.08,219,484,45.2,548,127,48.5,38.6,255,85.5,56.9,454,26,5.7,15,0.53,10.6
ITA,GK,19,1998,1.0,3,1,0,0,0,2.5,0.49,-0.5,-0.53,2,10,20.0,12,3,25.0,30.8,10,70.0,48.3,18,0,0.0,0,0.0,8.8
BRA,GK,35,1982,8.8,11,1,0,3,0,12.1,0.29,1.1,0.13,64,157,40.8,158,25,53.8,40.1,91,79.1,49.1,153,4,2.6,3,0.34,9.5
ITA,GK,38,1979,38.0,59,4,2,11,4,56.3,0.27,1.3,0.03,249,620,40.2,799,176,45.3,36.8,394,65.5,42.7,651,16,2.5,14,0.37,10.3
ITA,GK,34,1983,38.0,66,6,3,13,0,63.7,0.29,-2.3,-0.06,312,916,34.1,824,98,71.5,47.8,355,92.1,58.6,691,8,1.2,32,0.84,13.8
POL,GK,19,1997,2.4,8,0,1,1,0,5.6,0.34,-2.4,-1.01,10,30,33.3,41,6,56.1,42.7,10,70.0,49.3,31,1,3.2,1,0.41,11.0
ITA,GK,25,1992,35.6,38,2,2,4,0,36.7,0.26,-1.3,-0.04,152,376,40.4,773,202,32.3,32.1,270,46.7,38.7,508,31,6.1,23,0.65,12.1
ITA,GK,27,1989,1.0,1,0,0,0,0,2.1,0.7,1.1,1.09,8,14,57.1,14,1,50.0,42.3,8,87.5,56.6,17,0,0.0,0,0.0,9.0
ITA,GK,24,1992,37.0,42,4,1,2,2,42.2,0.23,2.2,0.06,330,769,42.9,919,125,51.9,40.8,347,84.1,56.0,541,24,4.4,25,0.68,13.1
ITA,GK,26,1991,2.0,7,0,0,1,0,4.7,0.19,-2.3,-1.13,11,25,44.0,30,10,26.7,30.2,24,70.8,49.0,33,0,0.0,0,0.0,11.0
BRA,GK,29,1988,36.0,71,6,4,9,2,64.5,0.25,-4.5,-0.13,363,878,41.3,1038,247,53.4,41.1,399,81.2,55.0,728,49,6.7,32,0.89,12.7
SVN,GK,33,1984,38.0,30,2,1,1,4,30.5,0.25,4.5,0.12,127,280,45.4,808,250,18.7,26.1,312,41.3,35.9,546,20,3.7,23,0.61,14.0
ITA,GK,27,1990,0.3,1,0,0,0,0,0.7,0.36,-0.3,-0.87,0,0,,5,3,0.0,27.0,0,,,7,1,14.3,0,0.0,7.0
ITA,GK,39,1978,20.7,14,3,0,2,2,17.5,0.25,5.5,0.26,84,191,44.0,474,97,28.1,31.9,150,38.7,36.8,242,3,1.2,19,0.92,14.0
POL,GK,27,1990,17.0,9,0,1,2,0,11.5,0.36,2.5,0.15,84,165,50.9,361,84,29.4,32.8,96,61.5,43.7,196,11,5.6,13,0.76,14.3
ALB,GK,22,1995,38.0,49,9,2,3,2,51.3,0.27,4.3,0.11,217,466,46.6,884,180,38.6,34.2,307,40.7,38.8,437,18,4.1,35,0.92,14.8
ITA,GK,18,1999,38.0,42,2,0,4,1,38.9,0.28,-2.1,-0.05,174,392,44.4,968,150,28.0,29.7,267,45.3,37.8,487,16,3.3,39,1.03,14.1
ITA,GK,26,1991,1.0,0,0,0,0,0,0.6,0.65,0.6,0.65,2,4,50.0,14,2,14.3,25.4,5,40.0,37.0,7,2,28.6,0,0.0,13.8
ESP,GK,34,1982,37.0,29,2,2,3,0,26.3,0.25,-2.7,-0.07,147,333,44.1,950,177,26.0,30.0,235,36.6,36.5,353,8,2.3,57,1.54,18.8
BRA,GK,24,1992,37.0,28,3,0,2,0,35.4,0.23,7.4,0.2,213,416,51.2,1069,239,28.9,32.1,252,42.5,41.0,469,17,3.6,90,2.43,18.9
POL,GK,26,1991,1.0,0,0,0,0,0,0.6,0.21,0.6,0.64,7,13,53.8,30,11,30.0,31.4,7,57.1,37.9,15,0,0.0,2,2.0,20.7
ITA,GK,20,1997,12.9,16,3,0,2,2,19.6,0.26,5.6,0.43,93,247,37.7,264,30,54.2,40.3,131,79.4,50.3,211,3,1.4,0,0.0,10.7
SEN,GK,23,1993,25.1,43,6,1,5,2,44.8,0.27,3.8,0.15,161,486,33.1,571,103,59.2,44.1,221,67.0,48.8,415,13,3.1,20,0.8,13.8
ITA,GK,21,1996,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,0,0,,,0,,,0,0,,0,0.0,
ITA,GK,36,1981,9.0,12,3,0,1,0,16.4,0.27,4.4,0.49,52,128,40.6,234,58,38.9,34.4,78,47.4,41.3,148,10,6.8,21,2.33,16.6
ITA,GK,31,1985,27.0,43,2,1,5,2,40.8,0.28,-0.2,-0.01,179,437,41.0,632,80,46.0,38.8,226,64.6,49.5,429,13,3.0,19,0.7,13.1
SVN,GK,27,1990,2.0,5,1,0,1,0,4.4,0.23,-0.6,-0.28,7,23,30.4,70,10,27.1,26.5,16,25.0,32.8,35,0,0.0,4,2.0,20.5
ITA,GK,30,1987,36.8,58,2,3,7,1,50.5,0.29,-6.5,-0.18,277,599,46.2,813,182,47.4,39.3,296,72.3,49.0,606,22,3.6,23,0.62,11.9
ITA,GK,36,1981,1.2,1,0,0,0,1,1.3,0.21,1.3,1.1,3,23,13.0,27,7,51.9,39.3,12,75.0,45.9,19,0,0.0,0,0.0,5.0
ITA,GK,30,1987,37.0,45,5,3,5,0,47.0,0.25,2.0,0.05,237,541,43.8,987,198,35.6,34.1,319,59.6,44.3,621,32,5.2,49,1.32,13.8
SRB,GK,20,1997,1.0,1,0,0,0,0,0.5,0.26,-0.5,-0.48,5,21,23.8,40,6,35.0,36.6,8,87.5,62.8,16,1,6.3,1,1.0,12.5
ARG,GK,39,1977,32.0,52,2,1,9,4,44.6,0.29,-3.4,-0.11,253,576,43.9,791,141,45.5,38.0,300,72.0,48.8,525,25,4.8,30,0.94,13.1
ITA,GK,21,1996,6.0,11,0,0,2,1,8.5,0.28,-1.5,-0.26,28,93,30.1,115,23,51.3,38.6,42,81.0,51.3,80,1,1.3,2,0.33,11.1
ALB,GK,29,1989,18.0,25,1,1,5,3,18.2,0.27,-3.8,-0.21,91,199,45.7,345,90,26.4,30.3,135,80.0,51.7,208,8,3.8,19,1.06,14.5
ITA,GK,27,1991,0.0,0,0,0,0,0,0.0,,0.0,0.0,1,1,100.0,1,0,100.0,50.0,0,,,0,0,,0,0.0,
ITA,GK,23,1995,20.0,21,3,2,1,0,21.2,0.27,0.2,0.01,95,257,37.0,454,83,34.4,33.2,137,73.7,53.8,240,4,1.7,30,1.5,17.8
POL,GK,27,1991,38.0,56,4,1,4,1,50.6,0.27,-4.4,-0.11,251,543,46.2,776,225,41.1,36.4,353,63.5,46.7,599,32,5.3,14,0.37,11.3
ITA,GK,24,1994,38.0,54,8,2,4,2,61.5,0.26,9.5,0.25,337,722,46.7,884,175,48.6,36.9,369,79.1,53.6,646,25,3.9,31,0.82,12.8
CRO,GK,20,1998,6.0,8,0,0,1,0,8.1,0.26,0.1,0.02,44,115,38.3,143,26,47.6,39.8,52,90.4,55.1,148,11,7.4,3,0.5,9.1
ITA,GK,28,1990,1.0,7,0,0,1,0,4.7,0.4,-2.3,-2.26,6,13,46.2,19,3,52.6,37.1,5,60.0,47.0,6,0,0.0,2,1.98,19.7
ITA,GK,39,1979,31.0,60,2,2,6,2,49.6,0.28,-8.4,-0.27,201,462,43.5,603,94,45.8,37.0,296,62.8,41.6,506,8,1.6,8,0.26,9.6
POL,GK,20,1997,14.0,24,3,0,3,0,25.7,0.23,1.7,0.12,57,198,28.8,333,91,35.7,34.3,153,51.6,45.2,237,10,4.2,22,1.57,14.7
ITA,GK,24,1994,16.0,36,3,0,4,1,29.3,0.26,-5.7,-0.36,73,185,39.5,361,103,35.5,34.5,123,46.3,40.0,279,12,4.3,8,0.5,12.2
ITA,GK,28,1990,8.0,10,0,0,1,1,9.4,0.27,0.4,0.05,26,71,36.6,168,36,32.7,31.7,71,22.5,31.5,112,1,0.9,3,0.38,10.9
FRA,GK,19,1999,33.5,40,5,1,5,3,32.7,0.21,-4.3,-0.13,158,436,36.2,750,164,39.6,36.2,262,53.1,42.8,522,15,2.9,29,0.87,14.2
POL,GK,20,1997,2.5,2,0,0,0,0,2.1,0.27,0.1,0.05,20,52,38.5,74,10,47.3,38.1,31,54.8,42.4,29,0,0.0,1,0.4,9.9
ITA,GK,28,1990,2.0,3,0,0,0,0,2.7,0.24,-0.3,-0.15,6,23,26.1,53,16,34.0,32.0,11,45.5,36.9,32,1,3.1,5,2.5,17.2
ITA,GK,26,1992,3.0,5,0,1,0,0,3.8,0.32,-1.2,-0.41,13,40,32.5,59,15,49.2,36.1,15,73.3,50.9,34,3,8.8,0,0.0,7.0
ITA,GK,26,1992,35.0,64,5,2,8,1,54.7,0.25,-8.3,-0.24,178,532,33.5,882,222,36.4,34.8,341,61.9,47.5,584,20,3.4,21,0.6,13.8
ITA,GK,35,1983,4.0,10,0,0,1,1,7.4,0.43,-1.6,-0.39,25,51,49.0,80,11,40.0,35.3,34,55.9,46.7,58,0,0.0,6,1.5,22.1
ROU,GK,21,1997,33.0,46,5,0,7,1,45.2,0.27,0.2,0.01,242,698,34.7,661,100,64.8,46.7,294,91.8,61.7,522,14,2.7,14,0.42,11.6
BRA,GK,25,1993,1.0,1,0,0,1,0,0.9,0.34,-0.1,-0.09,12,23,52.2,26,3,69.2,44.2,6,83.3,54.0,10,0,0.0,1,1.0,25.0
SVN,GK,34,1984,38.0,33,3,1,3,3,33.1,0.24,3.1,0.08,140,299,46.8,901,203,21.0,27.3,265,41.5,37.1,492,16,3.3,27,0.71,14.5
ITA,GK,28,1990,1.0,2,0,1,0,0,1.0,0.32,-1.0,-1.03,6,10,60.0,22,6,22.7,30.8,14,35.7,35.8,15,0,0.0,0,0.0,5.0
ITA,GK,25,1992,9.0,8,1,0,1,0,8.4,0.28,0.4,0.05,36,79,45.6,161,39,29.8,31.0,68,45.6,40.0,116,2,1.7,3,0.33,10.1
POL,GK,28,1990,28.0,20,1,0,3,1,25.1,0.29,6.1,0.22,140,255,54.9,537,122,32.0,32.7,205,40.5,38.9,358,9,2.5,27,0.96,15.7
ITA,GK,22,1996,1.0,3,0,0,1,0,2.0,0.5,-1.0,-1.0,2,8,25.0,26,8,15.4,27.3,9,44.4,40.7,16,0,0.0,2,2.0,16.0
BEL,GK,35,1983,2.0,4,0,0,0,0,4.2,0.33,0.2,0.1,17,35,48.6,42,5,50.0,41.4,22,63.6,47.0,37,1,2.7,2,1.0,19.2
ALB,GK,23,1995,35.0,39,5,2,4,3,43.7,0.29,7.7,0.22,173,452,38.3,848,170,39.9,34.8,243,46.9,41.4,476,11,2.3,27,0.77,15.9
ITA,GK,19,1999,34.3,31,3,1,5,1,34.8,0.25,4.8,0.14,146,305,47.9,873,203,20.6,27.5,300,41.7,36.5,546,15,2.7,22,0.64,12.8
ESP,GK,35,1982,3.7,5,1,0,0,0,4.2,0.24,-0.8,-0.23,14,40,35.0,90,18,31.1,32.3,24,50.0,42.7,51,4,7.8,2,0.55,11.4
ITA,GK,21,1997,12.8,9,2,0,1,0,10.0,0.17,1.0,0.07,29,100,29.0,252,42,21.0,28.8,99,47.5,40.3,190,2,1.1,8,0.63,12.9
COL,GK,29,1988,16.2,20,1,1,3,0,16.4,0.25,-3.6,-0.22,43,134,32.1,347,70,23.9,29.5,115,44.3,38.9,186,12,6.5,10,0.62,13.0
GRE,GK,33,1985,9.0,7,1,0,0,0,8.1,0.26,1.1,0.13,28,99,28.3,182,38,33.5,32.4,63,60.3,46.6,109,4,3.7,6,0.67,14.1
ITA,GK,27,1991,37.0,59,8,1,8,4,55.7,0.25,0.7,0.02,319,736,43.3,752,140,49.5,39.8,466,78.1,51.5,831,36,4.3,13,0.35,9.4
ITA,GK,32,1985,1.0,2,0,0,0,1,0.9,0.11,-0.1,-0.13,5,16,31.3,24,5,37.5,35.0,15,46.7,37.3,29,0,0.0,0,0.0,6.5
ITA,GK,35,1983,11.0,6,0,0,2,0,10.5,0.26,4.5,0.41,72,160,45.0,227,41,39.6,35.4,91,76.9,51.3,166,2,1.2,6,0.55,13.3
SWE,GK,28,1990,27.0,42,4,0,5,1,37.0,0.26,-4.0,-0.15,142,324,43.8,652,159,32.8,33.4,214,51.4,45.1,413,10,2.4,25,0.93,14.5
SEN,GK,24,1993,19.2,27,1,0,7,0,23.0,0.3,-4.0,-0.21,113,286,39.5,531,121,38.8,34.0,151,53.0,42.9,263,7,2.7,10,0.52,12.1
ITA,GK,32,1985,16.9,25,4,0,2,0,24.0,0.24,-1.0,-0.06,120,275,43.6,421,45,44.2,37.6,163,54.6,43.6,239,5,2.1,9,0.53,12.3
ITA,GK,30,1988,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,0,0.0,18.7,0,,,0,0,,0,0.0,17.0
SRB,GK,21,1997,1.8,4,0,0,1,0,3.0,0.18,-1.0,-0.58,8,32,25.0,57,20,36.8,33.7,21,52.4,49.3,27,1,3.7,1,0.55,10.1
IDN,GK,21,1997,36.0,51,7,2,6,1,49.5,0.3,-0.5,-0.01,123,370,33.2,860,181,25.9,28.7,297,49.5,39.1,587,25,4.3,48,1.33,15.0
BRA,GK,28,1990,2.0,0,0,0,0,0,0.2,0.1,0.2,0.1,11,24,45.8,45,8,35.6,34.7,14,57.1,45.0,19,0,0.0,1,0.5,16.5
ITA,GK,31,1987,35.7,56,4,0,10,2,54.3,0.31,0.3,0.01,178,436,40.8,887,159,34.6,32.7,286,45.1,37.6,590,16,2.7,29,0.81,13.7
ITA,GK,37,1981,2.3,4,0,0,2,0,3.8,0.34,-0.2,-0.1,17,37,45.9,45,9,40.0,35.1,29,65.5,44.2,33,1,3.0,0,0.0,7.3
URU,GK,26,1992,2.8,2,1,0,1,0,2.6,0.18,0.6,0.22,24,55,43.6,60,9,55.0,41.5,27,81.5,49.9,43,1,2.3,1,0.36,12.0
ITA,GK,31,1987,35.2,35,2,0,4,0,40.7,0.28,5.7,0.16,287,635,45.2,823,119,47.3,38.0,300,82.0,51.0,539,26,4.8,36,1.02,13.9
ARG,GK,24,1994,29.0,40,8,0,6,1,42.4,0.25,3.4,0.12,237,540,43.9,559,106,51.0,38.6,313,81.5,51.2,593,17,2.9,10,0.34,9.8
ITA,GK,22,1996,9.0,13,1,0,0,0,13.4,0.33,0.4,0.05,65,140,46.4,171,33,44.4,36.0,93,68.8,46.0,142,2,1.4,4,0.44,10.0
ITA,GK,28,1991,0.1,1,0,0,0,0,0.4,0.45,-0.6,-4.53,1,1,100.0,3,1,33.3,30.3,0,,,0,0,,0,0.0,
ITA,GK,27,1992,5.8,5,0,0,0,0,4.8,0.26,-0.2,-0.04,9,28,32.1,124,32,12.1,26.9,26,50.0,38.8,52,3,5.8,10,1.71,19.7
ITA,GK,24,1995,32.0,42,6,2,4,3,36.7,0.26,-2.3,-0.07,165,381,43.3,766,161,32.1,34.0,208,64.9,50.0,314,5,1.6,57,1.78,18.1
BRA,GK,35,1983,1.0,1,0,0,0,0,0.2,0.1,-0.8,-0.79,0,2,0.0,22,4,9.1,27.0,4,0.0,15.8,8,0,0.0,1,1.0,33.0
POL,GK,28,1991,37.0,64,6,2,6,1,53.9,0.26,-9.1,-0.25,161,364,44.2,848,218,29.7,31.5,291,38.5,33.6,474,44,9.3,29,0.78,12.7
ITA,GK,31,1988,3.1,4,0,0,0,0,2.6,0.23,-1.4,-0.47,8,27,29.6,56,9,35.7,33.3,24,29.2,29.0,54,0,0.0,4,1.29,12.9
FIN,GK,26,1993,29.0,59,9,0,8,3,53.6,0.25,-2.4,-0.08,138,380,36.3,579,164,44.9,36.9,275,43.6,38.3,530,17,3.2,12,0.41,9.0
ITA,GK,24,1995,5.9,16,0,1,1,0,12.8,0.29,-3.2,-0.54,24,60,40.0,96,45,28.1,31.8,66,50.0,40.8,98,3,3.1,1,0.17,10.1
ITA,GK,25,1994,16.0,21,1,0,2,1,21.6,0.22,1.6,0.1,68,224,30.4,314,74,45.5,37.0,156,51.9,39.9,274,12,4.4,7,0.44,10.6
BRA,GK,37,1982,5.0,11,2,0,0,0,7.6,0.33,-3.4,-0.68,33,71,46.5,109,18,51.4,37.0,46,32.6,31.3,98,3,3.1,3,0.59,11.1
SWE,GK,29,1990,16.9,24,4,0,1,2,23.2,0.22,1.2,0.07,87,246,35.4,328,62,49.7,40.2,159,52.2,42.4,293,8,2.7,5,0.3,10.1
POL,GK,21,1997,31.0,43,6,2,5,0,42.7,0.25,-0.3,-0.01,109,338,32.2,677,196,34.9,33.6,221,46.2,39.1,440,13,3.0,30,0.97,14.2
ITA,GK,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,1,100.0,2,0,0.0,24.0,1,100.0,66.0,0,0,,0,0.0,18.0
ITA,GK,29,1990,6.9,5,3,0,0,0,7.5,0.2,2.5,0.36,18,78,23.1,149,36,38.9,35.2,59,33.9,34.7,103,6,5.8,5,0.72,12.2
ROU,GK,22,1997,17.0,35,6,2,4,1,31.3,0.26,-2.7,-0.16,61,169,36.1,504,90,29.0,31.0,152,15.1,26.1,252,8,3.2,7,0.41,11.1
ITA,GK,26,1992,21.0,38,1,1,3,1,34.6,0.33,-2.4,-0.12,129,373,34.6,538,90,51.3,40.1,189,51.3,41.6,341,18,5.3,12,0.57,12.8
SRB,GK,23,1996,3.0,8,2,1,1,0,6.2,0.28,-1.8,-0.59,12,33,36.4,47,10,42.6,37.3,14,92.9,65.6,23,0,0.0,1,0.33,12.6
ITA,GK,28,1991,35.0,43,7,1,6,1,44.9,0.24,2.9,0.08,182,687,26.5,650,74,63.1,43.7,330,83.9,55.3,547,17,3.1,15,0.43,11.0
ITA,GK,33,1985,3.0,4,1,0,2,0,3.7,0.34,-0.3,-0.1,3,17,17.6,69,14,20.3,29.9,24,12.5,25.2,55,2,3.6,2,0.67,12.2
SVN,GK,35,1984,35.0,32,2,0,3,1,29.3,0.24,-1.7,-0.05,111,222,50.0,853,189,18.2,27.2,267,25.1,28.9,490,24,4.9,19,0.54,11.8
ITA,GK,29,1990,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,0,0.0,17.0,2,0.0,19.0,0,0,,0,0.0,
ITA,GK,41,1978,9.0,10,1,0,0,0,7.6,0.2,-2.4,-0.27,12,26,46.2,154,42,13.6,25.1,54,9.3,21.5,109,3,2.8,7,0.78,13.6
POL,GK,29,1990,28.8,33,8,1,3,0,37.1,0.23,4.1,0.14,82,165,49.7,560,155,23.4,29.4,195,17.4,25.8,355,11,3.1,37,1.29,16.9
ALB,GK,24,1995,38.0,42,7,1,7,1,44.4,0.24,3.4,0.09,148,368,40.2,938,143,32.0,31.2,291,23.4,26.0,474,10,2.1,18,0.47,13.6
BRA,GK,26,1992,33.3,76,10,1,9,3,70.4,0.27,-2.6,-0.08,124,310,40.0,646,194,31.1,32.0,326,33.4,30.7,597,27,4.5,15,0.45,11.0
ITA,GK,29,1990,4.7,9,1,0,1,0,8.7,0.3,-0.3,-0.06,21,53,39.6,100,27,35.0,32.2,48,37.5,30.3,90,2,2.2,3,0.64,12.0
BIH,GK,32,1987,1.4,3,1,0,0,0,4.0,0.43,1.0,0.73,3,10,30.0,26,5,26.9,30.5,12,25.0,33.1,16,0,0.0,0,0.0,
ITA,GK,20,1999,35.6,42,4,0,4,1,39.7,0.23,-1.3,-0.04,177,406,43.6,878,178,32.3,31.3,259,47.1,36.9,473,27,5.7,37,1.04,13.9
ESP,GK,36,1982,1.0,1,0,1,0,0,1.8,0.14,0.8,0.83,8,14,57.1,28,6,32.1,34.9,7,71.4,45.0,17,2,11.8,2,2.0,12.0
ITA,GK,22,1997,21.7,33,5,0,2,1,27.7,0.27,-4.3,-0.2,31,103,30.1,466,86,17.2,25.5,139,16.5,22.9,241,4,1.7,15,0.69,14.3
COL,GK,30,1988,16.3,17,2,1,2,0,14.8,0.25,-2.2,-0.13,34,77,44.2,383,55,16.2,25.7,85,17.6,22.1,184,11,6.0,17,1.04,16.2
ITA,GK,28,1991,34.0,53,6,1,10,0,54.8,0.25,1.8,0.05,225,471,47.8,801,115,42.4,37.1,327,40.1,32.0,624,20,3.2,10,0.29,12.2
ITA,GK,28,1991,4.0,4,1,0,0,0,6.2,0.28,2.2,0.56,9,24,37.5,59,14,28.8,29.3,42,16.7,23.1,61,1,1.6,0,0.0,7.8
ITA,GK,36,1983,5.0,5,1,0,0,0,8.7,0.34,3.7,0.73,24,49,49.0,142,30,31.0,30.7,29,17.2,28.3,83,1,1.2,8,1.6,14.9
BRA,GK,22,1997,1.0,1,0,0,1,0,0.4,0.22,-0.6,-0.57,3,14,21.4,34,4,29.4,33.1,10,40.0,33.2,14,1,7.1,1,1.0,11.5
ESP,GK,24,1994,32.0,45,8,1,4,0,44.3,0.27,-0.7,-0.02,143,317,45.1,838,175,29.1,31.4,208,35.1,34.9,373,9,2.4,44,1.38,18.2
SEN,GK,21,1998,2.0,4,1,0,1,0,3.2,0.14,-0.8,-0.4,8,21,38.1,42,10,31.0,31.0,27,29.6,25.9,36,2,5.6,0,0.0,10.3
ALB,GK,30,1989,26.0,44,6,1,2,2,45.4,0.27,3.4,0.13,164,389,42.2,642,142,39.6,34.0,233,57.9,44.1,419,12,2.9,21,0.81,14.3
CRO,GK,22,1997,10.0,29,0,2,1,1,18.9,0.28,-9.1,-0.91,55,155,35.5,219,54,44.7,37.2,95,60.0,45.4,168,5,3.0,3,0.3,10.3
IDN,GK,22,1997,36.0,60,7,0,10,4,47.9,0.25,-8.1,-0.23,187,519,36.0,742,132,45.7,37.2,291,61.9,44.6,603,16,2.7,32,0.89,14.0
ITA,GK,24,1995,2.0,5,1,0,0,0,5.6,0.36,0.6,0.32,5,25,20.0,43,10,34.9,29.8,18,55.6,44.9,27,0,0.0,2,1.0,16.4
ITA,GK,32,1987,31.0,55,7,1,9,3,45.0,0.27,-7.0,-0.23,90,268,33.6,778,141,27.4,28.8,205,26.8,27.8,432,19,4.4,30,0.97,13.6
ITA,GK,38,1981,5.0,4,0,0,0,1,5.7,0.22,2.7,0.54,12,29,41.4,122,24,18.9,24.2,36,16.7,19.9,71,1,1.4,5,1.0,17.4
ITA,GK,17,2001,2.0,4,1,0,0,0,4.1,0.25,0.1,0.03,6,10,60.0,38,7,18.4,24.8,14,21.4,24.0,34,1,2.9,3,1.5,18.8
ITA,GK,36,1983,1.0,1,0,0,0,0,0.4,0.09,-0.6,-0.57,9,16,56.3,20,6,35.0,30.9,15,60.0,40.9,13,0,0.0,0,0.0,9.3
ITA,GK,32,1987,36.0,64,9,3,6,3,59.1,0.26,-1.9,-0.05,243,523,46.5,823,112,40.0,35.4,333,58.3,41.1,588,22,3.7,18,0.5,14.4
KVX,GK,31,1988,1.0,3,1,0,1,0,2.4,0.23,-0.6,-0.62,6,13,46.2,42,2,28.6,31.9,8,12.5,25.8,12,0,0.0,1,1.0,15.0
ARG,GK,25,1994,38.0,51,8,2,4,0,52.1,0.22,1.1,0.03,184,421,43.7,812,171,34.5,32.7,358,39.4,34.1,581,25,4.3,20,0.53,11.6
ITA,GK,28,1992,14.0,21,1,0,2,0,17.3,0.33,-3.7,-0.26,40,91,44.0,318,74,17.9,28.3,57,59.6,43.6,143,8,5.6,27,1.93,16.3
ITA,GK,25,1995,24.0,26,4,0,3,1,24.9,0.29,-0.1,0.0,92,232,39.7,550,87,28.7,32.6,116,63.8,49.7,234,6,2.6,39,1.63,17.4
ITA,GK,24,1996,37.0,74,4,0,8,6,62.3,0.34,-5.7,-0.15,204,578,35.3,966,178,43.5,36.8,271,58.3,43.4,620,19,3.1,21,0.57,11.6
ITA,GK,32,1988,1.0,1,0,0,1,0,0.9,0.18,-0.1,-0.08,1,5,20.0,24,9,8.3,25.6,7,42.9,36.9,19,2,10.5,3,3.0,13.0
