nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ESP,GK,32,1990,2,1,79,0.9,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,
DEN,GK,21,2002,36,36,3240,36.0,63,1.75,205,143,72.2,13,10,13,6,16.7,6,6,0,0,0.0
ESP,GK,40,1982,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
FRA,GK,25,1990,6,6,540,6.0,9,1.5,26,17,65.4,1,1,4,1,16.7,0,0,0,0,
SRB,GK,28,1988,9,9,810,9.0,15,1.67,32,17,56.3,1,2,6,0,0.0,1,1,0,0,0.0
FRA,GK,24,1991,23,23,2070,23.0,25,1.09,69,44,65.2,11,4,8,8,34.8,1,1,0,0,0.0
FRA,GK,31,1985,1,1,90,1.0,5,5.0,8,3,37.5,0,0,1,0,0.0,0,0,0,0,
FRA,GK,30,1985,34,34,3017,33.5,43,1.28,144,101,72.9,8,9,16,8,23.5,8,4,3,1,42.9
FRA,GK,23,1993,1,0,42,0.5,1,2.14,2,1,50.0,0,0,1,0,,0,0,0,0,
FRA,GK,22,1993,3,3,270,3.0,5,1.67,26,21,80.8,0,1,2,0,0.0,0,0,0,0,
FRA,GK,34,1981,24,24,2160,24.0,22,0.92,71,49,73.2,10,9,5,9,37.5,3,3,0,0,0.0
FRA,GK,20,1995,14,14,1260,14.0,21,1.5,68,47,70.6,5,5,4,4,28.6,1,1,0,0,0.0
FRA,GK,27,1989,2,2,180,2.0,2,1.0,11,9,90.9,1,0,1,1,50.0,1,1,0,0,0.0
FRA,GK,22,1994,3,2,197,2.2,8,3.65,16,8,50.0,0,1,1,0,0.0,0,0,0,0,
FRA,GK,36,1980,34,34,3043,33.8,55,1.63,144,89,66.7,9,6,19,8,23.5,7,7,0,0,0.0
FRA,GK,25,1990,37,37,3330,37.0,58,1.57,198,140,75.3,8,12,17,9,24.3,11,9,1,1,10.0
FRA,GK,27,1989,1,1,90,1.0,0,0.0,2,2,100.0,0,1,0,1,100.0,1,0,0,1,
SWE,GK,26,1990,37,37,3280,36.4,51,1.4,153,102,70.6,13,8,15,8,21.6,10,6,2,2,25.0
FRA,GK,32,1984,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
FRA,GK,20,1995,1,0,50,0.6,2,3.6,4,2,75.0,0,0,1,0,,1,1,0,0,0.0
FRA,GK,21,1995,7,6,566,6.3,7,1.11,28,21,75.0,3,0,3,3,50.0,0,0,0,0,
NGA,GK,33,1982,32,32,2854,31.7,40,1.26,125,85,71.2,10,7,15,8,25.0,6,4,1,1,20.0
FRA,GK,25,1991,31,31,2790,31.0,52,1.68,162,110,69.1,8,4,19,4,12.9,4,2,1,1,33.3
FRA,GK,27,1988,7,7,630,7.0,18,2.57,39,21,59.0,2,2,3,0,0.0,2,2,0,0,0.0
POR,GK,25,1990,37,37,3330,37.0,46,1.24,141,95,70.9,19,4,13,12,32.4,6,5,1,0,16.7
FRA,GK,25,1990,1,1,90,1.0,2,2.0,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
FRA,GK,33,1982,38,38,3420,38.0,41,1.08,163,122,76.1,17,11,10,18,47.4,2,2,0,0,0.0
FRA,GK,25,1990,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
JPN,GK,33,1983,5,5,450,5.0,6,1.2,23,17,73.9,2,1,2,1,20.0,1,0,1,0,100.0
FRA,GK,20,1995,32,32,2880,32.0,64,2.0,192,128,69.3,9,8,15,9,28.1,6,5,1,0,16.7
CRO,GK,31,1984,36,36,3240,36.0,28,0.78,112,84,76.8,28,5,3,17,47.2,4,2,2,0,50.0
FRA,GK,18,1998,1,0,45,0.5,0,0.0,2,2,150.0,1,0,0,1,,1,1,0,0,0.0
ITA,GK,39,1977,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
SEN,GK,20,1995,1,1,45,0.5,0,0.0,1,1,100.0,1,0,0,0,0.0,0,0,0,0,
FRA,GK,30,1986,13,13,1170,13.0,28,2.15,64,36,60.9,3,4,6,1,7.7,3,3,0,0,0.0
FRA,GK,34,1982,25,25,2250,25.0,38,1.52,106,68,67.9,7,5,13,6,24.0,4,4,0,0,0.0
CMR,GK,30,1986,23,23,2043,22.7,31,1.37,103,72,73.8,6,5,12,6,26.1,5,4,1,0,20.0
BLR,GK,28,1988,17,15,1377,15.3,21,1.37,67,46,73.1,3,3,9,5,33.3,3,3,0,0,0.0
FRA,GK,23,1993,16,16,1440,16.0,20,1.25,63,43,73.0,8,3,5,5,31.3,3,3,0,0,0.0
FRA,GK,28,1987,22,22,1980,22.0,34,1.55,88,54,68.2,6,6,10,5,22.7,6,6,0,0,0.0
ARG,GK,23,1993,3,2,215,2.4,1,0.42,6,5,83.3,0,2,0,1,50.0,0,0,0,0,
FRA,GK,22,1994,36,36,3205,35.6,35,0.98,154,119,79.9,22,10,4,11,30.6,4,4,0,0,0.0
FRA,GK,23,1993,15,14,1297,14.4,14,0.97,35,21,62.9,9,2,3,6,42.9,1,1,0,0,0.0
GER,GK,26,1990,24,24,2123,23.6,13,0.55,55,42,78.2,18,4,2,15,62.5,2,1,1,0,50.0
FRA,GK,29,1987,38,38,3420,38.0,42,1.11,143,101,71.3,12,14,12,12,31.6,4,1,1,2,50.0
FRA,GK,18,1998,2,1,168,1.9,2,1.07,12,10,83.3,0,1,1,1,100.0,0,0,0,0,
FRA,GK,30,1986,6,6,460,5.1,3,0.59,26,23,88.5,3,1,1,2,33.3,0,0,0,0,
FRA,GK,29,1986,31,31,2790,31.0,37,1.19,134,97,73.9,9,12,10,11,35.5,4,2,2,0,50.0
FRA,GK,17,1999,36,36,3240,36.0,41,1.14,158,117,79.1,10,12,14,10,27.8,9,8,1,0,11.1
URU,GK,28,1988,2,2,180,2.0,0,0.0,8,8,100.0,0,2,0,2,100.0,0,0,0,0,
FRA,GK,34,1983,1,1,90,1.0,1,1.0,7,6,85.7,0,0,1,0,0.0,0,0,0,0,
FRA,GK,30,1986,37,37,3330,37.0,41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0
FRA,GK,26,1990,13,13,1170,13.0,17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,0.0
FRA,GK,34,1983,19,19,1653,18.4,22,1.2,68,48,72.1,6,5,8,4,21.1,3,3,0,0,0.0
FRA,GK,25,1991,7,6,597,6.6,13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,0.0
FRA,GK,30,1987,36,36,3240,36.0,45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,0,50.0
FRA,GK,21,1995,2,2,180,2.0,3,1.5,9,6,66.7,0,0,2,0,0.0,0,0,0,0,
FRA,GK,23,1994,4,3,315,3.5,4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,0.0
FRA,GK,37,1980,35,35,3103,34.5,48,1.39,132,88,66.7,9,7,19,11,31.4,4,4,0,0,0.0
FRA,GK,26,1990,38,38,3420,38.0,73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,0,21.4
SWE,GK,27,1990,38,38,3420,38.0,59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,0,28.6
BFA,GK,20,1996,4,4,360,4.0,11,2.75,20,10,50.0,0,1,3,0,0.0,1,1,0,0,0.0
FRA,"MF,DF",24,1993,1,0,17,26.7,2,10.59,3,1,66.7,0,0,0,0,,1,1,0,0,0.0
FRA,GK,22,1995,34,34,3032,33.7,53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40.0
FRA,"FW,MF",26,1991,1,0,11,3.2,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,
POR,GK,26,1990,34,34,3060,34.0,37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,1,28.6
FRA,GK,26,1990,4,4,360,4.0,6,1.5,13,7,53.8,2,1,1,1,25.0,0,0,0,0,
FRA,GK,32,1985,31,31,2706,30.0,37,1.23,114,77,70.2,18,9,4,11,35.5,5,3,1,1,25.0
FRA,GK,34,1982,9,7,714,8.2,10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,0.0
JPN,GK,34,1983,29,29,2569,28.5,60,2.1,167,106,64.1,5,7,17,2,6.9,2,0,2,0,100.0
FRA,GK,23,1994,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,
FRA,GK,21,1995,9,9,810,9.0,14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,0.0
CRO,GK,32,1984,34,34,2940,32.7,41,1.26,125,85,70.4,21,8,5,10,29.4,4,4,0,0,0.0
SUI,GK,33,1983,3,2,225,2.5,0,0.0,6,6,100.0,2,0,0,3,150.0,0,0,0,0,
SEN,GK,21,1995,3,2,255,2.8,4,1.41,16,12,81.3,1,0,1,1,50.0,1,1,0,0,0.0
FRA,GK,26,1991,38,38,3420,38.0,33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0
ROU,GK,31,1986,37,37,3330,37.0,38,1.03,133,96,72.9,14,10,13,12,32.4,3,2,0,1,0.0
FRA,GK,24,1993,1,1,90,1.0,3,3.0,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
ARG,GK,24,1993,28,28,2520,28.0,36,1.29,113,76,70.8,12,8,8,7,25.0,5,3,2,0,40.0
FRA,GK,23,1994,10,10,900,10.0,16,1.6,41,26,61.0,3,1,6,3,30.0,0,0,0,0,
FRA,GK,24,1993,34,34,3060,34.0,25,0.74,102,77,76.5,26,6,2,17,50.0,3,1,1,1,50.0
GER,GK,27,1990,4,4,360,4.0,4,1.0,17,13,88.2,3,0,1,1,25.0,2,2,0,0,0.0
SEN,GK,25,1992,3,3,270,3.0,5,1.67,15,10,73.3,0,2,1,0,0.0,1,1,0,0,0.0
ALG,GK,31,1986,1,1,90,1.0,3,3.0,6,3,83.3,0,0,1,0,0.0,2,2,0,0,0.0
CZE,GK,24,1992,34,34,3060,34.0,36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,1,50.0
FRA,GK,31,1986,4,3,304,3.4,6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,0.0
FRA,GK,30,1986,35,35,3112,34.6,44,1.27,150,106,74.0,14,10,11,12,34.3,6,5,1,0,16.7
ALG,GK,29,1988,17,16,1457,16.2,29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,0,20.0
SEN,GK,20,1996,19,19,1692,18.8,32,1.7,86,54,65.1,4,6,9,2,10.5,2,2,0,0,0.0
FRA,GK,33,1983,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,
FRA,GK,18,1999,38,38,3420,38.0,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0
FRA,GK,25,1991,17,17,1530,17.0,28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,0.0
MLI,GK,27,1990,21,21,1890,21.0,31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3
FRA,GK,31,1986,38,38,3420,38.0,52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0
FRA,GK,35,1983,36,36,3239,36.0,48,1.33,161,113,72.0,9,15,12,11,30.6,5,3,2,0,40.0
FRA,GK,26,1992,2,2,180,2.0,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
FRA,GK,31,1987,37,37,3330,37.0,42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3
FRA,GK,19,1999,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
FRA,GK,24,1994,38,38,3420,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
FRA,GK,26,1991,13,13,1170,13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0
ISL,GK,23,1995,25,25,2250,25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0
SWE,GK,28,1990,17,17,1530,17.0,34,2.0,78,43,59.0,1,5,11,4,23.5,4,2,1,1,33.3
FRA,GK,24,1994,21,21,1890,21.0,34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0
FRA,GK,23,1995,38,38,3420,38.0,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0
POR,GK,27,1990,34,34,3060,34.0,42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,0.0
FRA,GK,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
FRA,GK,33,1985,31,31,2736,30.4,40,1.32,113,72,69.9,14,5,12,9,29.0,7,6,1,0,14.3
FRA,GK,35,1982,9,7,680,7.6,12,1.59,25,12,68.0,4,2,1,3,42.9,5,4,1,0,20.0
CRO,GK,33,1984,14,14,1138,12.6,12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3
SUI,GK,34,1983,23,22,2057,22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0
SEN,GK,22,1995,3,2,225,2.5,7,2.8,12,6,41.7,0,1,1,0,0.0,0,0,0,0,
FRA,GK,27,1991,37,37,3330,37.0,42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,1,25.0
COD,GK,20,1998,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
FRA,GK,22,1996,1,1,90,1.0,1,1.0,1,0,100.0,0,0,1,0,0.0,1,1,0,0,0.0
ROU,GK,32,1986,27,27,2391,26.6,30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0
FRA,GK,25,1993,11,10,939,10.4,17,1.63,34,16,55.9,5,3,2,1,10.0,3,2,1,0,33.3
ARG,GK,25,1993,35,35,3150,35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0
FRA,GK,24,1994,3,3,270,3.0,6,2.0,12,6,58.3,0,1,2,0,0.0,1,1,0,0,0.0
FRA,GK,21,1997,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
FRA,GK,25,1993,21,21,1890,21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0
ITA,GK,40,1978,17,17,1530,17.0,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0
SEN,GK,26,1992,38,38,3420,38.0,42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0
SEN,GK,26,1992,6,6,495,5.5,4,0.73,20,16,85.0,3,2,1,2,33.3,1,1,0,0,0.0
CZE,GK,25,1992,33,32,2925,32.5,48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0
FRA,GK,32,1986,1,1,90,1.0,1,1.0,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
FRA,GK,31,1986,37,37,3330,37.0,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5
JPN,GK,35,1983,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
BEL,GK,26,1992,37,37,3330,37.0,48,1.3,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2
FRA,GK,27,1990,31,31,2704,30.0,45,1.5,143,98,71.3,6,11,14,6,19.4,5,4,1,0,20.0
URU,GK,30,1988,8,7,712,7.9,12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,0.0
FRA,GK,32,1986,28,28,2520,28.0,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0
MNE,GK,26,1993,2,2,180,2.0,1,0.5,7,6,85.7,1,0,1,1,50.0,0,0,0,0,
FRA,GK,36,1983,26,26,2340,26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0
FRA,GK,32,1987,28,28,2520,28.0,34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3
GUF,GK,26,1992,2,1,122,1.4,3,2.21,11,8,81.8,1,0,0,1,100.0,1,1,0,0,0.0
FRA,GK,22,1997,27,27,2398,26.6,34,1.28,132,96,76.5,7,10,10,7,25.9,5,3,2,0,40.0
SEN,GK,25,1993,19,19,1620,18.0,20,1.11,81,62,76.5,6,7,6,6,31.6,1,1,0,0,0.0
ISL,GK,24,1995,11,9,900,10.0,17,1.7,47,31,63.8,1,2,6,0,0.0,0,0,0,0,
FRA,GK,24,1995,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0
POR,GK,28,1990,26,26,2340,26.0,25,0.96,86,64,73.3,10,7,9,8,30.8,3,2,0,1,0.0
ROU,GK,33,1986,2,2,180,2.0,2,1.0,11,9,81.8,1,0,1,1,50.0,0,0,0,0,
FRA,GK,34,1985,27,27,2371,26.3,27,1.02,92,67,75.0,15,8,4,11,40.7,4,4,0,0,0.0
FRA,GK,36,1982,2,1,149,1.7,2,1.21,7,4,71.4,1,0,0,0,0.0,1,0,1,0,100.0
ALG,GK,31,1988,27,27,2385,26.5,31,1.17,129,98,78.3,8,10,9,8,29.6,3,3,0,0,0.0
FRA,GK,30,1988,2,1,135,1.5,4,2.67,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0
FRA,GK,28,1991,28,28,2520,28.0,44,1.57,134,91,71.6,11,7,10,7,25.0,6,6,0,0,0.0
COD,GK,21,1998,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,
ARG,GK,27,1992,25,25,2250,25.0,27,1.08,119,91,79.8,11,7,7,8,32.0,5,3,2,0,40.0
POR,GK,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,
FRA,GK,20,1999,27,27,2430,27.0,29,1.07,95,64,72.6,11,4,12,10,37.0,6,3,2,1,40.0
SRB,GK,31,1988,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
ARG,GK,26,1993,26,26,2340,26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0
MTQ,GK,22,1997,2,2,180,2.0,2,1.0,7,5,85.7,2,0,0,0,0.0,1,1,0,0,0.0
FRA,GK,20,1999,4,3,316,3.5,6,1.71,19,13,68.4,0,2,1,1,33.3,0,0,0,0,
FRA,GK,22,1997,25,25,2204,24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0
FRA,GK,26,1993,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,
CRC,GK,32,1986,21,21,1890,21.0,18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,
POL,GK,19,1999,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
ESP,GK,25,1993,2,2,180,2.0,4,2.0,10,6,60.0,2,0,0,0,0.0,0,0,0,0,
FRA,GK,22,1997,1,1,90,1.0,3,3.0,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0
SRB,GK,23,1995,27,27,2430,27.0,18,0.67,87,65,80.5,10,11,6,12,44.4,5,1,4,0,80.0
SEN,GK,27,1992,24,24,2160,24.0,19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,0,25.0
FRA,GK,35,1984,5,4,360,4.0,5,1.25,19,13,73.7,2,0,2,1,25.0,1,0,1,0,100.0
FRA,GK,33,1986,5,5,450,5.0,4,0.8,23,19,91.3,2,2,1,2,40.0,2,2,0,0,0.0
FRA,GK,17,2001,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
FRA,GK,32,1986,22,22,1980,22.0,40,1.82,100,60,63.0,6,4,12,3,13.6,4,3,0,1,0.0
BEL,GK,27,1992,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3
FRA,GK,28,1990,23,22,2034,22.6,49,2.17,118,68,61.0,3,3,16,2,9.1,5,3,2,0,40.0
CRO,GK,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,
URU,GK,31,1988,2,2,180,2.0,5,2.5,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
FRA,GK,23,1997,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5
FRA,GK,33,1987,38,38,3420,38.0,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5
FRA,GK,23,1997,35,35,3150,35.0,62,1.77,169,108,68.0,10,7,18,6,17.1,10,8,1,1,11.1
FRA,GK,22,1998,3,3,270,3.0,4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,0.0
SEN,GK,26,1993,5,5,450,5.0,10,2.0,31,22,77.4,0,1,4,0,0.0,3,3,0,0,0.0
SUI,GK,21,1998,21,21,1890,21.0,33,1.57,93,59,67.7,2,6,13,3,14.3,4,3,1,0,25.0
BEN,GK,26,1993,12,12,1080,12.0,30,2.5,66,36,56.1,2,2,8,3,25.0,3,1,1,1,50.0
FRA,GK,34,1985,37,37,3313,36.8,51,1.39,136,88,69.9,15,12,10,8,21.6,10,10,0,0,0.0
VEN,GK,22,1998,3,1,107,1.2,3,2.52,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0
FRA,GK,25,1995,38,38,3420,38.0,23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,0,50.0
FRA,GK,31,1989,15,15,1350,15.0,25,1.67,56,32,66.1,5,5,5,2,13.3,6,6,0,0,0.0
FRA,GK,26,1994,23,23,2070,23.0,43,1.87,111,68,64.9,6,4,13,3,13.0,5,4,0,1,0.0
POR,GK,29,1990,38,38,3420,38.0,43,1.13,134,92,71.6,22,10,6,11,28.9,7,5,1,1,16.7
FRA,GK,35,1985,37,37,3330,37.0,45,1.22,127,83,66.9,16,12,9,8,21.6,3,3,0,0,0.0
FRA,GK,37,1982,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
ALG,GK,32,1988,34,34,3058,34.0,38,1.12,127,89,77.2,12,10,12,8,23.5,10,9,1,0,10.0
FRA,GK,26,1994,5,4,361,4.0,10,2.49,23,13,69.6,0,1,3,0,0.0,3,3,0,0,0.0
FRA,GK,29,1991,28,28,2520,28.0,27,0.96,68,42,64.7,18,5,5,13,46.4,3,3,0,0,0.0
POL,GK,20,1999,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ITA,GK,32,1988,9,9,810,9.0,14,1.56,33,19,63.6,5,1,3,2,22.2,2,2,0,0,0.0
COD,GK,22,1998,9,7,745,8.3,11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,0.0
SUI,GK,26,1994,31,31,2673,29.7,51,1.72,155,106,74.2,10,10,11,2,6.5,11,11,0,0,0.0
FRA,GK,21,1999,38,38,3420,38.0,55,1.45,168,113,73.2,9,13,16,5,13.2,12,10,1,1,9.1
ARG,GK,27,1993,38,38,3420,38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0
FRA,GK,29,1990,38,38,3420,38.0,71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,1,33.3
CRC,GK,33,1986,29,29,2520,28.0,18,0.64,92,73,81.5,21,3,5,14,48.3,2,1,1,0,50.0
POL,GK,20,1999,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
ESP,GK,26,1993,10,8,810,9.0,9,1.0,36,28,75.0,5,1,2,5,62.5,0,0,0,0,
SRB,GK,24,1995,37,37,3285,36.5,49,1.34,162,112,72.2,9,15,13,10,27.0,7,4,2,1,33.3
FRA,GK,20,1999,2,1,135,1.5,1,0.67,6,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0
SEN,GK,26,1993,22,22,1980,22.0,25,1.14,76,52,71.1,7,5,10,5,22.7,4,3,0,1,0.0
SEN,GK,28,1992,1,1,90,1.0,1,1.0,1,0,0.0,0,1,0,0,0.0,0,0,0,0,
FRA,GK,36,1984,15,15,1350,15.0,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,
ENG,GK,20,2000,8,8,720,8.0,8,1.0,28,19,78.6,4,1,3,3,37.5,4,2,1,1,33.3
FRA,GK,34,1986,29,29,2610,29.0,42,1.45,100,60,62.0,8,9,12,9,31.0,4,4,0,0,0.0
FRA,GK,18,2001,1,1,90,1.0,4,4.0,4,0,0.0,0,0,1,0,0.0,1,0,0,1,
SEN,GK,23,1996,8,8,720,8.0,14,1.75,32,19,59.4,2,0,6,2,25.0,1,1,0,0,0.0
JPN,GK,37,1983,24,24,2160,24.0,31,1.29,91,59,69.2,8,7,9,8,33.3,5,3,1,1,25.0
BEL,GK,28,1992,6,6,540,6.0,13,2.17,26,13,57.7,1,2,3,0,0.0,2,2,0,0,0.0
ALG,GK,24,1996,10,10,900,10.0,14,1.4,44,31,68.2,3,3,4,2,20.0,0,0,0,0,
MNE,GK,28,1993,15,15,1350,15.0,22,1.47,65,45,69.2,3,3,9,2,13.3,2,2,0,0,0.0
FRA,GK,24,1997,13,13,1170,13.0,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0
FRA,GK,34,1987,25,25,2250,25.0,62,2.48,133,72,57.1,3,8,14,0,0.0,5,5,0,0,0.0
FRA,GK,22,1999,13,13,1170,13.0,29,2.23,61,32,55.7,3,5,5,2,15.4,4,2,2,0,50.0
NED,GK,30,1991,38,38,3420,38.0,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0
FRA,GK,27,1994,15,15,1304,14.5,33,2.28,66,34,54.5,3,5,7,3,20.0,3,3,0,0,0.0
GNB,GK,23,1998,24,23,2116,23.5,36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,0.0
FRA,GK,35,1985,27,27,2313,25.7,33,1.28,100,66,70.0,10,8,9,5,18.5,4,3,1,0,25.0
VEN,GK,23,1998,13,11,1105,12.3,15,1.22,45,30,68.9,7,3,1,3,27.3,1,1,0,0,0.0
CRO,GK,25,1996,21,21,1890,21.0,28,1.33,85,58,69.4,8,7,6,2,9.5,2,2,0,0,0.0
BRA,GK,26,1995,17,17,1530,17.0,20,1.18,66,47,75.8,6,6,5,8,47.1,4,4,0,0,0.0
FRA,GK,32,1989,16,16,1440,16.0,25,1.56,57,32,57.9,5,4,7,7,43.8,1,1,0,0,0.0
FRA,GK,27,1994,22,22,1980,22.0,38,1.73,91,56,62.6,3,8,11,4,18.2,5,4,0,1,0.0
POR,GK,30,1990,34,34,2982,33.1,45,1.36,148,105,71.6,14,11,9,8,23.5,4,3,1,0,25.0
GER,GK,26,1994,6,4,436,4.8,6,1.24,25,19,92.0,3,0,1,1,25.0,4,4,0,0,0.0
ESP,GK,26,1994,29,29,2610,29.0,31,1.07,86,55,68.6,15,6,8,10,34.5,4,4,0,0,0.0
FRA,GK,36,1985,9,9,810,9.0,7,0.78,26,20,73.1,6,2,1,5,55.6,0,0,0,0,
ALG,GK,33,1988,21,21,1875,20.8,39,1.87,91,54,60.4,2,8,11,3,14.3,3,3,0,0,0.0
FRA,GK,27,1994,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0.0
GER,GK,24,1996,38,38,3420,38.0,40,1.05,141,104,77.3,20,9,9,11,28.9,9,8,0,1,0.0
COD,GK,23,1998,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0.0
